Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_rsrp_bs0,ue0_sinr_bs0,ue0_rsrp_bs1,ue0_sinr_bs1,ue0_rsrp_bs2,ue0_sinr_bs2,ue0_rsrp_bs3,ue0_sinr_bs3,ue0_rsrp_bs4,ue0_sinr_bs4,ue0_rsrp_bs5,ue0_sinr_bs5,ue0_rsrp_bs6,ue0_sinr_bs6
0,5300.25,5366.50,0,6,-72.68,13.66,90.00,0,-107.37,-34.87,-109.34,-36.84,-101.42,-28.92,-88.19,-15.58,-98.97,-26.46,-93.21,-20.68,-72.68,13.66
1,5300.50,5366.50,0,6,-72.80,14.40,90.00,0,-105.09,-32.44,-106.38,-33.73,-101.40,-28.74,-88.76,-16.01,-100.10,-27.45,-95.99,-23.33,-72.80,14.40
2,5300.75,5366.50,0,6,-75.28,11.95,90.00,0,-105.94,-30.93,-107.57,-32.56,-101.58,-26.57,-88.93,-13.74,-99.03,-24.01,-95.59,-20.54,-75.28,11.95
3,5301.00,5366.50,0,6,-77.36,10.94,90.00,0,-107.67,-30.65,-106.84,-29.81,-101.20,-24.16,-90.42,-13.20,-101.28,-24.24,-95.49,-18.40,-77.36,10.94
4,5301.25,5366.50,0,6,-75.42,11.69,90.00,0,-109.57,-34.43,-106.36,-31.22,-101.40,-26.26,-88.46,-13.11,-100.74,-25.59,-96.43,-21.26,-75.42,11.69
5,5301.50,5366.50,0,6,-73.87,12.90,90.00,0,-112.40,-inf,-107.19,-33.54,-99.44,-25.77,-88.60,-14.80,-96.63,-22.95,-95.65,-21.97,-73.87,12.90
6,5301.75,5366.50,0,6,-74.94,11.05,90.00,0,-112.30,-inf,-107.86,-33.24,-97.26,-22.62,-87.50,-12.66,-97.62,-22.99,-95.85,-21.20,-74.94,11.05
7,5302.00,5366.50,0,6,-74.67,10.70,90.00,0,-112.41,-inf,-107.12,-32.81,-100.76,-26.43,-86.32,-11.72,-98.14,-23.80,-96.70,-22.36,-74.67,10.70
8,5302.25,5366.50,0,6,-71.88,14.56,90.00,0,-110.61,-inf,-108.07,-36.34,-98.52,-26.78,-87.66,-15.82,-98.69,-26.95,-97.84,-26.10,-71.88,14.56
9,5302.50,5366.50,0,6,-71.93,13.97,90.00,0,-113.77,-inf,-108.28,-36.52,-98.41,-26.65,-87.17,-15.28,-95.23,-23.46,-100.41,-28.64,-71.93,13.97
10,5302.75,5366.50,0,6,-71.28,15.04,90.00,0,-114.89,-inf,-106.53,-35.38,-100.26,-29.11,-87.58,-16.33,-95.81,-24.65,-99.75,-28.59,-71.28,15.04
11,5303.00,5366.50,0,6,-71.18,16.70,90.00,0,-114.75,-inf,-107.84,-36.76,-98.39,-27.30,-90.07,-18.93,-97.60,-26.50,-96.79,-25.69,-71.18,16.70
12,5303.25,5366.50,0,6,-74.58,12.87,90.00,0,-116.02,-inf,-107.96,-33.60,-96.05,-21.66,-89.50,-15.00,-98.43,-24.05,-97.77,-23.38,-74.58,12.87
13,5303.50,5366.50,0,6,-74.81,13.15,90.00,0,-116.18,-inf,-104.89,-30.28,-97.27,-22.64,-90.09,-15.36,-97.80,-23.17,-98.73,-24.11,-74.81,13.15
14,5303.75,5366.50,0,6,-76.43,12.80,90.00,0,-117.27,-inf,-104.10,-27.88,-100.58,-24.36,-92.07,-15.74,-96.95,-20.70,-98.45,-22.21,-76.43,12.80
15,5304.00,5366.50,0,6,-76.27,12.33,90.00,0,-119.33,-inf,-103.11,-27.07,-98.92,-22.88,-90.79,-14.62,-97.29,-21.24,-100.74,-24.70,-76.27,12.33
16,5304.25,5366.50,0,6,-76.94,11.47,90.00,0,-118.44,-inf,-104.60,-27.95,-100.12,-23.46,-90.48,-13.65,-95.97,-19.27,-102.21,-25.55,-76.94,11.47
17,5304.50,5366.50,0,6,-75.55,11.21,90.00,0,-115.91,-inf,-101.97,-26.73,-99.28,-24.03,-88.09,-12.62,-96.76,-21.50,-102.13,-26.89,-75.55,11.21
18,5304.75,5366.50,0,6,-76.91,9.82,90.00,0,-117.05,-inf,-103.94,-27.46,-98.27,-21.77,-88.13,-11.35,-96.34,-19.82,-101.73,-25.24,-76.91,9.82
19,5305.00,5366.50,0,6,-78.62,8.56,90.00,0,-115.91,-inf,-104.40,-26.33,-98.52,-20.42,-88.73,-10.28,-96.25,-18.12,-102.26,-24.18,-78.62,8.56
20,5305.25,5366.50,0,6,-80.29,5.56,90.00,0,-117.79,-inf,-105.35,-26.11,-98.35,-19.07,-86.93,-6.90,-96.46,-17.15,-101.46,-22.21,-80.29,5.56
21,5305.50,5366.50,0,6,-79.54,6.02,90.00,0,-115.89,-inf,-104.46,-25.88,-98.83,-20.22,-86.70,-7.41,-94.85,-16.18,-103.00,-24.42,-79.54,6.02
22,5305.75,5366.50,0,6,-78.76,6.29,90.00,0,-114.72,-inf,-105.68,-27.83,-100.58,-22.71,-85.82,-7.23,-96.37,-18.46,-101.81,-23.95,-78.76,6.29
23,5306.00,5366.50,0,6,-77.77,5.80,90.00,0,-111.29,-inf,-106.75,-29.99,-103.64,-26.88,-84.04,-6.39,-96.50,-19.70,-102.00,-25.23,-77.77,5.80
24,5306.25,5366.50,0,6,-77.50,4.81,90.00,0,-108.93,-32.67,-105.14,-28.87,-102.90,-26.63,-82.68,-5.29,-97.01,-20.71,-101.13,-24.85,-77.50,4.81
25,5306.50,5366.50,0,6,-76.31,6.35,90.00,0,-106.45,-31.05,-103.10,-27.70,-102.20,-26.79,-83.24,-7.05,-94.53,-19.08,-100.02,-24.61,-76.31,6.35
26,5306.75,5366.50,0,6,-78.09,2.06,90.00,0,-105.00,-29.01,-103.88,-27.89,-102.06,-26.06,-80.57,-2.72,-92.60,-16.52,-99.89,-23.88,-78.09,2.06
27,5307.00,5366.50,0,6,-78.57,1.70,90.00,0,-105.33,-29.00,-103.95,-27.62,-100.44,-24.09,-80.64,-2.30,-93.92,-17.52,-100.41,-24.07,-78.57,1.70
28,5307.25,5366.50,0,6,-79.06,3.14,90.00,0,-106.34,-28.99,-103.59,-26.24,-97.30,-19.92,-82.99,-4.27,-92.44,-14.96,-100.89,-23.53,-79.06,3.14
29,5307.50,5366.50,0,6,-79.17,6.39,90.00,0,-105.22,-26.94,-103.59,-25.31,-94.45,-16.08,-87.69,-8.89,-93.29,-14.88,-101.13,-22.84,-79.17,6.39
30,5307.75,5366.50,0,6,-81.49,1.96,90.00,0,-105.76,-26.40,-101.02,-21.64,-96.99,-17.57,-86.55,-6.28,-87.57,-7.51,-98.24,-18.83,-81.49,1.96
31,5308.00,5366.50,0,6,-78.87,2.48,90.00,0,-106.97,-30.04,-102.45,-25.51,-95.20,-18.21,-86.62,-9.20,-83.39,-5.36,-100.52,-23.58,-78.87,2.48
32,5308.25,5366.50,0,6,-78.37,2.42,90.00,0,-105.99,-29.58,-101.91,-25.50,-96.26,-19.81,-85.88,-8.96,-82.80,-5.27,-100.81,-24.39,-78.37,2.42
33,5308.50,5366.50,0,6,-83.24,-2.25,90.00,0,-108.00,-29.03,-104.55,-25.58,-95.55,-16.49,-84.76,-4.47,-83.82,-3.14,-103.73,-24.75,-83.24,-2.25
34,5308.75,5366.50,0,6,-80.92,0.95,90.00,0,-108.39,-30.03,-104.90,-26.53,-97.52,-19.11,-84.53,-4.97,-85.86,-6.64,-102.34,-23.96,-80.92,0.95
35,5309.00,5366.50,0,6,-79.90,3.08,90.00,0,-107.22,-29.06,-105.65,-27.48,-96.43,-18.20,-85.04,-5.88,-88.24,-9.63,-105.24,-27.07,-79.90,3.08
36,5309.25,5366.50,0,6,-78.42,6.07,90.00,0,-105.74,-28.28,-105.41,-27.95,-99.57,-22.09,-86.80,-8.80,-89.32,-11.57,-104.48,-27.01,-78.42,6.07
37,5309.50,5366.50,0,6,-76.71,8.00,90.00,0,-104.38,-28.31,-103.13,-27.05,-99.61,-23.52,-86.37,-9.88,-91.20,-14.99,-106.29,-30.22,-76.71,8.00
38,5309.75,5366.50,0,6,-77.97,6.57,90.00,0,-106.25,-29.14,-104.70,-27.59,-97.84,-20.69,-85.49,-7.70,-94.65,-17.46,-106.79,-29.68,-77.97,6.57
39,5310.00,5366.50,0,6,-78.98,7.51,90.00,0,-107.92,-29.65,-104.10,-25.82,-99.49,-21.19,-88.19,-9.45,-93.61,-15.21,-106.51,-28.24,-78.98,7.51
40,5310.25,5366.50,0,6,-77.71,8.73,90.00,0,-106.38,-29.21,-101.55,-24.37,-99.25,-22.06,-88.06,-10.53,-94.30,-17.06,-106.24,-29.07,-77.71,8.73
41,5310.50,5366.50,0,6,-79.42,5.99,90.00,0,-108.42,-29.96,-99.44,-20.96,-97.91,-19.41,-86.84,-7.71,-94.08,-15.51,-106.18,-27.73,-79.42,5.99
42,5310.75,5366.50,0,6,-77.17,6.18,90.00,0,-108.71,-32.47,-100.28,-24.03,-95.84,-19.55,-84.57,-7.64,-92.06,-15.71,-104.20,-27.96,-77.17,6.18
43,5311.00,5366.50,0,6,-77.50,6.72,90.00,0,-107.85,-31.18,-99.99,-23.31,-96.69,-19.98,-85.61,-8.35,-92.48,-15.70,-104.31,-27.64,-77.50,6.72
44,5311.25,5366.50,0,6,-78.04,5.20,90.00,0,-107.16,-30.27,-99.16,-22.25,-96.87,-19.94,-85.03,-7.41,-89.56,-12.42,-102.71,-25.81,-78.04,5.20
45,5311.50,5366.50,0,6,-77.55,5.59,90.00,0,-107.13,-30.64,-101.41,-24.91,-94.38,-17.82,-85.58,-8.52,-88.35,-11.57,-101.80,-25.30,-77.55,5.59
46,5311.75,5366.50,0,6,-77.28,4.79,90.00,0,-107.51,-31.48,-98.90,-22.85,-94.05,-17.95,-85.03,-8.41,-86.31,-9.84,-100.64,-24.59,-77.28,4.79
47,5312.00,5366.50,0,6,-78.56,4.47,90.00,0,-107.32,-30.08,-98.85,-21.58,-95.00,-17.69,-85.99,-8.13,-87.50,-9.84,-99.56,-22.29,-78.56,4.47
48,5312.25,5366.50,0,6,-77.93,4.58,90.00,0,-107.31,-30.68,-98.56,-21.90,-94.83,-18.13,-85.20,-7.92,-87.08,-10.04,-103.47,-26.83,-77.93,4.58
49,5312.50,5366.50,0,6,-79.93,3.07,90.00,0,-105.14,-26.94,-97.64,-19.41,-98.45,-20.22,-85.29,-6.16,-88.08,-9.42,-102.95,-24.75,-79.93,3.07
50,5312.75,5366.50,0,6,-78.71,4.03,90.00,0,-102.76,-25.49,-98.63,-21.34,-99.50,-22.21,-84.69,-6.56,-88.31,-10.69,-102.81,-25.54,-78.71,4.03
51,5313.00,5366.50,0,6,-79.89,4.71,90.00,0,-102.22,-23.58,-98.95,-20.29,-98.56,-19.89,-87.62,-8.41,-89.02,-9.98,-102.33,-23.69,-79.89,4.71
52,5313.25,5366.50,0,6,-79.18,3.66,90.00,0,-103.37,-25.73,-97.60,-19.93,-97.45,-19.78,-86.96,-8.80,-85.83,-7.49,-101.31,-23.67,-79.18,3.66
53,5313.50,5366.50,0,6,-81.77,3.40,90.00,0,-102.97,-22.81,-99.30,-19.11,-97.88,-17.67,-90.00,-9.40,-88.08,-7.19,-102.43,-22.27,-81.77,3.40
54,5313.75,5366.50,0,6,-82.02,4.03,90.00,0,-107.56,-26.98,-100.62,-20.01,-96.54,-15.86,-89.78,-8.65,-90.24,-9.18,-102.05,-21.45,-82.02,4.03
55,5314.00,5366.50,0,6,-82.75,3.37,90.00,0,-106.96,-25.84,-105.20,-24.07,-94.48,-13.16,-88.72,-6.78,-92.81,-11.40,-101.65,-20.50,-82.75,3.37
56,5314.25,5366.50,0,6,-85.10,0.40,90.00,0,-106.07,-23.76,-103.33,-21.00,-93.54,-10.92,-88.17,-4.58,-92.58,-9.86,-99.05,-16.67,-85.10,0.40
57,5314.50,5366.50,0,6,-83.95,1.45,90.00,0,-104.89,-23.26,-102.59,-20.95,-93.17,-11.25,-88.29,-5.63,-92.04,-10.02,-99.72,-18.05,-83.95,1.45
58,5314.75,5366.50,0,6,-81.50,2.80,90.00,0,-103.64,-23.96,-101.68,-21.99,-93.22,-13.36,-87.71,-7.30,-89.19,-9.01,-98.82,-19.10,-81.50,2.80
59,5315.00,5366.50,0,6,-80.46,3.19,90.00,0,-104.11,-25.34,-101.25,-22.46,-89.82,-10.71,-86.86,-7.37,-90.89,-11.86,-97.41,-18.60,-80.46,3.19
60,5315.25,5366.50,0,6,-81.47,2.49,90.00,0,-104.56,-25.02,-102.25,-22.70,-90.35,-10.45,-88.73,-8.64,-89.49,-9.50,-93.61,-13.91,-81.47,2.49
61,5315.50,5366.50,0,6,-78.40,5.96,90.00,0,-104.42,-26.99,-101.13,-23.69,-90.49,-12.85,-88.31,-10.52,-91.82,-14.24,-93.72,-16.20,-78.40,5.96
62,5315.75,5366.50,0,6,-78.36,7.30,90.00,0,-104.99,-27.37,-102.22,-24.59,-93.29,-15.56,-88.60,-10.62,-94.45,-16.75,-94.98,-17.28,-78.36,7.30
63,5316.00,5366.50,0,6,-75.35,11.49,90.00,0,-105.60,-30.55,-100.97,-25.90,-91.60,-16.45,-92.27,-17.14,-94.98,-19.88,-95.83,-20.74,-75.35,11.49
64,5316.25,5366.50,0,6,-75.09,11.52,90.00,0,-104.39,-29.60,-105.02,-30.22,-91.89,-17.01,-90.81,-15.91,-93.46,-18.60,-100.52,-25.71,-75.09,11.52
65,5316.50,5366.50,0,6,-76.26,8.99,90.00,0,-106.84,-31.09,-104.16,-28.41,-90.04,-14.13,-89.56,-13.63,-91.80,-15.95,-101.53,-25.78,-76.26,8.99
66,5316.75,5366.50,0,6,-75.53,8.78,90.00,0,-107.58,-32.59,-104.69,-29.69,-88.52,-13.34,-90.02,-14.89,-89.77,-14.64,-100.02,-25.02,-75.53,8.78
67,5317.00,5366.50,0,6,-78.34,6.10,90.00,0,-109.55,-32.17,-103.07,-25.67,-90.97,-13.39,-89.25,-11.57,-88.76,-11.05,-99.28,-21.86,-78.34,6.10
68,5317.25,5366.50,0,6,-80.18,5.92,90.00,0,-108.01,-28.81,-100.08,-20.85,-93.20,-13.83,-89.52,-9.90,-92.68,-13.28,-99.83,-20.59,-80.18,5.92
69,5317.50,5366.50,0,6,-80.70,5.87,90.00,0,-105.60,-25.89,-99.37,-19.63,-93.81,-13.93,-90.29,-10.19,-92.75,-12.83,-101.07,-21.34,-80.70,5.87
70,5317.75,5366.50,0,6,-79.94,6.69,90.00,0,-103.78,-24.67,-98.69,-19.54,-93.22,-13.95,-91.17,-11.79,-92.53,-13.23,-100.13,-21.00,-79.94,6.69
71,5318.00,5366.50,0,6,-79.62,7.63,90.00,0,-106.30,-27.36,-100.58,-21.62,-95.36,-16.33,-91.13,-11.93,-92.76,-13.65,-100.81,-21.86,-79.62,7.63
72,5318.25,5366.50,0,6,-80.09,7.75,90.00,0,-109.05,-29.63,-100.14,-20.69,-98.10,-18.63,-92.54,-12.91,-92.05,-12.39,-99.97,-20.52,-80.09,7.75
73,5318.50,5366.50,0,6,-78.58,7.16,90.00,0,-107.97,-30.16,-100.15,-22.31,-97.30,-19.44,-91.08,-13.06,-88.44,-10.24,-102.30,-24.47,-78.58,7.16
