Bước;ue0_x;ue0_y;ue0_huong;ue0_BS_ketnoi;ue0_prx_hientai;ue0_SINR;ue0_PacketLoss;ue0_speed;ue0_handover
0;4755,90;4000,00;2;4,00;-103,97;-22,98;1,00;52,92;0
1;4711,80;4000,00;2;4,00;-98,55;-17,55;1,00;52,92;0
2;4667,70;4000,00;2;;;;;52,92;0
3;4623,60;4000,00;2;;;;;52,92;0
4;4579,50;4000,00;2;;;;;52,92;0
5;4535,40;4000,00;2;;;;;52,92;0
6;4491,30;4000,00;2;;;;;52,92;0
7;4447,21;4000,00;2;;;;;52,92;0
8;4403,11;4000,00;2;0,00;-118,41;-36,27;1,00;52,92;0
9;4440,99;4000,00;0;;;;;52,92;0
10;4485,09;4000,00;0;;;;;52,92;0
11;4529,19;4000,00;0;;;;;52,92;0
12;4573,29;4000,00;0;;;;;52,92;0
13;4600,00;4017,39;1;;;;;52,92;0
14;4600,00;4061,49;1;;;;;52,92;0
15;4600,00;4105,59;1;;;;;52,92;0
16;4600,00;4149,69;1;;;;;52,92;0
17;4600,00;4193,79;1;11,00;-90,09;9,91;0,37;52,92;0
18;4637,89;4200,00;0;11,00;-75,77;24,23;0,09;52,92;0
19;4681,99;4200,00;0;11,00;-99,85;-0,43;1,00;52,92;0
20;4726,09;4200,00;0;11,00;-70,91;28,11;0,06;52,92;0
21;4770,19;4200,00;0;11,00;-88,17;10,08;0,36;52,92;0
22;4814,29;4200,00;0;11,00;-64,15;32,66;0,04;52,92;0
23;4858,38;4200,00;0;11,00;-75,24;19,00;0,15;52,92;0
24;4902,48;4200,00;0;11,00;-58,21;32,01;0,04;52,92;0
25;4946,58;4200,00;0;11,00;-86,63;-1,58;1,00;52,92;0
26;4990,68;4200,00;0;4,00;-76,59;1,77;0,84;52,92;1
27;5034,78;4200,00;0;4,00;-88,86;-10,13;1,00;52,92;0
28;5078,88;4200,00;0;4,00;-80,23;-1,10;1,00;52,92;0
29;5122,98;4200,00;0;4,00;-84,96;-5,39;1,00;52,92;0
30;5167,08;4200,00;0;4,00;-124,05;-44,04;1,00;52,92;0
31;5200,00;4188,82;3;4,00;-99,24;-18,74;1,00;52,92;0
32;5200,00;4144,72;3;4,00;-103,25;-22,19;1,00;52,92;0
33;5200,00;4100,62;3;4,00;-92,74;-11,13;1,00;52,92;0
34;5200,00;4056,52;3;4,00;-94,71;-12,57;1,00;52,92;0
35;5200,00;4012,42;3;4,00;-93,22;-10,56;1,00;52,92;0
36;5168,32;4000,00;2;4,00;-113,12;-30,53;1,00;52,92;0
37;5124,22;4000,00;2;4,00;-101,53;-19,23;1,00;52,92;0
38;5080,12;4000,00;2;4,00;-84,99;-2,95;1,00;52,92;0
39;5036,03;4000,00;2;4,00;-99,09;-17,30;1,00;52,92;0
40;4991,93;4000,00;2;4,00;-105,23;-23,66;1,00;52,92;0
41;4947,83;4000,00;2;4,00;-90,05;-8,66;1,00;52,92;0
42;4903,73;4000,00;2;4,00;-87,88;-6,65;1,00;52,92;0
43;4859,63;4000,00;2;4,00;-99,96;-18,85;1,00;52,92;0
44;4815,53;4000,00;2;4,00;-91,06;-10,03;1,00;52,92;0
45;4800,00;4028,57;1;4,00;-112,37;-31,81;1,00;52,92;0
46;4800,00;4072,67;1;4,00;-121,08;-41,26;1,00;52,92;0
47;4800,00;4116,77;1;4,00;-108,81;-29,77;1,00;52,92;0
48;4800,00;4160,87;1;11,00;-100,81;-3,78;1,00;52,92;1
49;4800,00;4195,03;3;11,00;-90,32;7,00;0,50;52,92;0
50;4800,00;4150,93;3;4,00;-98,68;-20,30;1,00;52,92;1
51;4800,00;4106,83;3;4,00;-91,33;-12,11;1,00;52,92;0
52;4800,00;4062,73;3;4,00;-109,23;-29,23;1,00;52,92;0
53;4800,00;4018,63;3;4,00;-91,88;-11,16;1,00;52,92;0
54;4825,47;4000,00;0;4,00;-105,37;-24,32;1,00;52,92;0
55;4869,56;4000,00;0;4,00;-98,79;-17,65;1,00;52,92;0
56;4913,66;4000,00;0;4,00;-93,56;-12,29;1,00;52,92;0
57;4957,76;4000,00;0;4,00;-103,16;-21,73;1,00;52,92;0
58;4998,14;4000,00;2;4,00;-90,50;-8,90;1,00;52,92;0
59;4954,04;4000,00;2;4,00;-94,91;-13,50;1,00;52,92;0
60;4909,94;4000,00;2;4,00;-96,62;-15,37;1,00;52,92;0
61;4865,84;4000,00;2;4,00;-99,45;-18,31;1,00;52,92;0
62;4821,74;4000,00;2;4,00;-71,82;9,23;0,40;52,92;0
63;4777,64;4000,00;2;4,00;-104,14;-23,14;1,00;52,92;0
64;4733,54;4000,00;2;4,00;-125,74;-44,74;1,00;52,92;0
65;4689,44;4000,00;2;4,00;-103,76;-22,73;1,00;52,92;0
66;4645,34;4000,00;2;;;;;52,92;0
67;4601,24;4000,00;2;;;;;52,92;0
68;4557,14;4000,00;2;;;;;52,92;0
69;4513,04;4000,00;2;;;;;52,92;0
70;4468,94;4000,00;2;;;;;52,92;0
71;4424,85;4000,00;2;0,00;-120,85;-38,84;1,00;52,92;0
72;4419,25;4000,00;0;0,00;-116,14;-34,10;1,00;52,92;0
73;4463,35;4000,00;0;;;;;52,92;0
74;4507,45;4000,00;0;;;;;52,92;0
75;4551,55;4000,00;0;;;;;52,92;0
76;4595,65;4000,00;0;;;;;52,92;0
77;4560,25;4000,00;2;;;;;52,92;0
78;4516,15;4000,00;2;;;;;52,92;0
79;4472,05;4000,00;2;;;;;52,92;0
80;4427,95;4000,00;2;0,00;-111,25;-29,26;1,00;52,92;0
81;4416,15;4000,00;0;0,00;-107,73;-25,67;1,00;52,92;0
82;4460,25;4000,00;0;;;;;52,92;0
83;4504,35;4000,00;0;;;;;52,92;0
84;4548,45;4000,00;0;;;;;52,92;0
85;4592,55;4000,00;0;;;;;52,92;0
86;4636,65;4000,00;0;;;;;52,92;0
87;4680,74;4000,00;0;4,00;-105,57;-24,53;1,00;52,92;0
88;4724,84;4000,00;0;4,00;-103,88;-22,88;1,00;52,92;0
89;4768,94;4000,00;0;4,00;-121,35;-40,36;1,00;52,92;0
90;4813,04;4000,00;0;4,00;-101,66;-20,63;1,00;52,92;0
91;4857,14;4000,00;0;4,00;-88,73;-7,62;1,00;52,92;0
92;4901,24;4000,00;0;4,00;-101,02;-19,79;1,00;52,92;0
93;4945,34;4000,00;0;4,00;-84,08;-2,70;1,00;52,92;0
94;4989,44;4000,00;0;4,00;-91,45;-9,88;1,00;52,92;0
95;5000,00;4033,54;1;4,00;-77,19;3,94;0,67;52,92;0
96;5000,00;4077,64;1;4,00;-90,91;-10,45;1,00;52,92;0
97;5000,00;4121,74;1;4,00;-75,28;4,48;0,64;52,92;0
98;5000,00;4165,84;1;4,00;-75,26;3,77;0,69;52,92;0
99;5009,94;4200,00;0;4,00;-81,42;-2,89;1,00;52,92;0
100;5054,04;4200,00;0;4,00;-87,15;-8,25;1,00;52,92;0
