"Step","gnb1_rsrp","gnb2_rsrp","gnb3_rsrp","gnb4_rsrp","gnb5_rsrp","connected_gnb","ue0_BS_ketnoi","ue0_handover","ue0_handover_to_type","Type"
"1","-88","-82","-89","-117","-133","9","9","0","9","Xn"
"2","-86","-83","-84","-117","-130","9","9","0","9","Xn"
"3","-90","-82","-92","-112","-135","9","9","0","9","Xn"
"4","-86","-85","-89","-114","-135","9","9","0","9","Xn"
"5","-89","-86","-88","-113","-133","9","9","0","9","Xn"
"6","-87","-82","-84","-116","-131","9","9","0","9","Xn"
"7","-89","-90","-76","-124","-139","9","9","1","10","Xn"
"8","-88","-87","-82","-116","-131","10","10","0","10","Xn"
"9","-89","-84","-80","-114","-133","10","10","0","10","Xn"
"10","-86","-82","-80","-113","-139","10","10","0","10","Xn"
"11","-86","-84","-82","-118","-136","10","10","0","10","Xn"
"12","-78","-92","-90","-110","-130","10","10","1","8","Xn"
"13","-86","-93","-90","-114","-132","8","8","0","8","Xn"
"14","-84","-86","-92","-118","-135","8","8","0","8","Xn"
"15","-81","-87","-84","-118","-139","8","8","0","8","Xn"
"16","-81","-82","-90","-117","-131","8","8","0","8","Xn"
"17","-82","-88","-88","-114","-131","8","8","0","8","Xn"
"18","-82","-88","-89","-113","-136","8","8","0","8","Xn"
"19","-112","-112","-112","-108","-129","8","8","1","11","Xn"
"20","-115","-115","-120","-114","-131","11","11","0","11","Xn"
"21","-112","-110","-114","-109","-139","11","11","0","11","Xn"
"22","-113","-117","-116","-111","-137","11","11","0","11","Xn"
"23","-113","-111","-110","-109","-133","11","11","0","11","Xn"
"24","-116","-118","-113","-112","-134","11","11","0","11","Xn"
"25","-118","-115","-113","-112","-140","11","11","0","11","Xn"
"26","-118","-116","-117","-114","-133","11","11","0","11","Xn"
"27","-117","-108","-120","-122","-125","11","11","1","9","Xn"
"28","-109","-100","-112","-115","-133","9","9","0","9","Xn"
"29","-101","-92","-104","-118","-134","9","9","0","9","Xn"
"30","-93","-84","-96","-113","-132","9","9","0","9","Xn"
"31","-88","-79","-88","-117","-140","9","9","0","9","Xn"
"32","-113","-113","-113","-109","-147","9","9","1","11","Xn"
"33","-120","-117","-119","-115","-139","11","11","0","11","Xn"
"34","-120","-116","-119","-115","-131","11","11","0","11","Xn"
"35","-115","-119","-119","-113","-135","11","11","0","11","Xn"
"36","-107","-111","-111","-121","-143","11","11","1","8","Xn"
"37","-99","-103","-103","-118","-139","8","8","0","8","Xn"
"38","-91","-95","-95","-117","-135","8","8","0","8","Xn"
"39","-84","-87","-90","-115","-132","8","8","0","8","Xn"
"40","-80","-83","-84","-118","-130","8","8","0","8","Xn"
"41","-87","-89","-90","-116","-138","8","8","0","8","Xn"
"42","-95","-97","-82","-122","-130","8","8","1","10","Xn"
"43","-87","-89","-82","-118","-130","10","10","0","10","Xn"
"44","-86","-90","-84","-116","-138","10","10","0","10","Xn"
"45","-88","-83","-80","-113","-134","10","10","0","10","Xn"
"46","-90","-89","-80","-113","-138","10","10","0","10","Xn"
"47","-90","-85","-82","-114","-138","10","10","0","10","Xn"
"48","-88","-90","-83","-116","-140","10","10","0","10","Xn"
"49","-80","-85","-91","-124","-132","10","10","1","8","Xn"
"50","-83","-88","-86","-118","-138","8","8","0","8","Xn"
"51","-87","-91","-89","-116","-138","8","8","0","8","Xn"
"52","-83","-86","-89","-117","-133","8","8","0","8","Xn"
"53","-82","-87","-92","-113","-137","8","8","0","8","Xn"
"54","-83","-86","-91","-112","-136","8","8","0","8","Xn"
"55","-83","-84","-86","-113","-132","8","8","0","8","Xn"
"56","-120","-120","-120","-128","-124","8","8","1","12","Xn"
"57","-119","-116","-117","-120","-116","12","12","0","12","Xn"
"58","-120","-120","-118","-123","-117","12","12","0","12","Xn"
"59","-120","-120","-110","-115","-114","12","12","1","10","Xn"
"60","-112","-112","-102","-117","-122","10","10","0","10","Xn"
"61","-104","-104","-94","-113","-130","10","10","0","10","Xn"
"62","-96","-96","-86","-114","-138","10","10","0","10","Xn"
"63","-88","-88","-83","-114","-130","10","10","0","10","Xn"
"64","-120","-120","-120","-126","-122","10","10","1","12","Xn"
"65","-116","-117","-120","-118","-115","12","12","0","12","Xn"
"66","-120","-120","-118","-118","-117","12","12","0","12","Xn"
"67","-118","-118","-116","-116","-114","12","12","0","12","Xn"
"68","-119","-120","-120","-121","-117","12","12","0","12","Xn"
"69","-120","-120","-112","-129","-125","12","12","1","10","Xn"
"70","-112","-112","-104","-121","-132","10","10","0","10","Xn"
"71","-104","-104","-96","-115","-136","10","10","0","10","Xn"
"72","-96","-96","-88","-113","-137","10","10","0","10","Xn"
