Bước;ue0_x;ue0_y;ue0_huong;ue0_BS_ketnoi;ue0_prx_hientai;ue0_SINR;ue0_PacketLoss;ue0_speed;ue0_handover
0;48,50;1750,00;0;;;;;58,21;0
1;97,01;1750,00;0;;;;;58,21;0
2;145,51;1750,00;0;;;;;58,21;0
3;194,02;1750,00;0;5,00;-100,20;-21,79;1,00;58,21;0
4;200,00;1792,52;1;5,00;-105,86;-27,00;1,00;58,21;0
5;200,00;1841,03;1;5,00;-114,74;-35,32;1,00;58,21;0
6;200,00;1889,53;1;;;;;58,21;0
7;200,00;1938,03;1;;;;;58,21;0
8;163,46;1950,00;2;;;;;58,21;0
9;114,96;1950,00;2;;;;;58,21;0
10;66,45;1950,00;2;;;;;58,21;0
11;17,95;1950,00;2;2,00;-120,10;-38,41;1,00;58,21;0
12;30,56;1950,00;0;2,00;-115,11;-33,50;1,00;58,21;0
13;79,06;1950,00;0;;;;;58,21;0
14;127,56;1950,00;0;;;;;58,21;0
15;176,07;1950,00;0;;;;;58,21;0
16;200,00;1974,57;1;;;;;58,21;0
17;200,00;2023,08;1;;;;;58,21;0
18;221,58;2050,00;0;;;;;58,21;0
19;270,09;2050,00;0;;;;;58,21;0
20;318,59;2050,00;0;;;;;58,21;0
21;367,09;2050,00;0;;;;;58,21;0
22;415,60;2050,00;0;;;;;58,21;0
23;464,10;2050,00;0;;;;;58,21;0
24;512,61;2050,00;0;;;;;58,21;0
25;561,11;2050,00;0;;;;;58,21;0
26;600,00;2040,38;3;;;;;58,21;0
27;600,00;1991,88;3;5,00;-92,53;-12,81;1,00;58,21;0
28;593,38;1950,00;2;5,00;-105,16;-26,01;1,00;58,21;0
29;544,87;1950,00;2;5,00;-96,28;-17,06;1,00;58,21;0
30;496,37;1950,00;2;5,00;-99,92;-20,59;1,00;58,21;0
31;447,86;1950,00;2;5,00;-109,84;-30,37;1,00;58,21;0
32;399,36;1950,00;2;5,00;-101,42;-21,77;1,00;58,21;0
33;350,85;1950,00;2;5,00;-109,46;-29,61;1,00;58,21;0
34;302,35;1950,00;2;5,00;-113,45;-33,37;1,00;58,21;0
35;253,85;1950,00;2;;;;;58,21;0
36;205,34;1950,00;2;;;;;58,21;0
37;200,00;1993,16;1;;;;;58,21;0
38;200,00;2041,67;1;;;;;58,21;0
39;240,17;2050,00;0;;;;;58,21;0
40;288,68;2050,00;0;;;;;58,21;0
41;337,18;2050,00;0;;;;;58,21;0
42;385,68;2050,00;0;;;;;58,21;0
43;434,19;2050,00;0;;;;;58,21;0
44;482,69;2050,00;0;;;;;58,21;0
45;531,20;2050,00;0;;;;;58,21;0
46;579,70;2050,00;0;;;;;58,21;0
47;600,00;2021,79;3;5,00;-89,65;-9,54;1,00;58,21;0
48;600,00;1973,29;3;5,00;-101,39;-21,92;1,00;58,21;0
49;625,21;1950,00;0;5,00;-112,16;-33,03;1,00;58,21;0
50;673,72;1950,00;0;5,00;-111,73;-32,61;1,00;58,21;0
51;722,22;1950,00;0;5,00;-115,05;-35,89;1,00;58,21;0
52;770,73;1950,00;0;;;;;58,21;0
53;819,23;1950,00;0;;;;;58,21;0
54;867,74;1950,00;0;;;;;58,21;0
55;916,24;1950,00;0;;;;;58,21;0
56;964,74;1950,00;0;8,00;-120,30;-40,41;1,00;58,21;0
57;986,75;1950,00;2;8,00;-113,41;-33,42;1,00;58,21;0
58;938,25;1950,00;2;8,00;-112,52;-32,74;1,00;58,21;0
59;889,74;1950,00;2;;;;;58,21;0
60;841,24;1950,00;2;;;;;58,21;0
61;807,27;1950,00;0;;;;;58,21;0
62;855,77;1950,00;0;;;;;58,21;0
63;904,27;1950,00;0;;;;;58,21;0
64;952,78;1950,00;0;8,00;-122,50;-42,66;1,00;58,21;0
65;1000,00;1948,72;3;8,00;-105,97;-25,93;1,00;58,21;0
66;1000,00;1900,21;3;8,00;-118,43;-38,97;1,00;58,21;0
67;1000,00;1851,71;3;;;;;58,21;0
68;1000,00;1803,20;3;;;;;58,21;0
69;1000,00;1754,70;3;;;;;58,21;0
70;1000,00;1793,80;1;;;;;58,21;0
71;1000,00;1842,31;1;;;;;58,21;0
72;1000,00;1890,81;1;8,00;-123,37;-44,03;1,00;58,21;0
73;1000,00;1939,32;1;8,00;-89,69;-9,76;1,00;58,21;0
74;1037,82;1950,00;0;8,00;-113,37;-33,12;1,00;58,21;0
75;1086,33;1950,00;0;8,00;-100,89;-20,39;1,00;58,21;0
76;1134,83;1950,00;0;8,00;-87,36;-6,59;1,00;58,21;0
77;1183,33;1950,00;0;8,00;-78,71;2,34;0,79;58,21;0
78;1200,00;1918,16;3;8,00;-99,29;-18,44;1,00;58,21;0
79;1200,00;1869,66;3;8,00;-124,23;-43,86;1,00;58,21;0
80;1200,00;1821,15;3;8,00;-98,01;-18,12;1,00;58,21;0
81;1200,00;1772,65;3;8,00;-119,55;-40,16;1,00;58,21;0
82;1174,14;1750,00;2;;;;;58,21;0
83;1125,64;1750,00;2;;;;;58,21;0
84;1077,14;1750,00;2;;;;;58,21;0
85;1028,63;1750,00;2;;;;;58,21;0
86;1000,00;1769,87;1;;;;;58,21;0
87;1000,00;1818,38;1;;;;;58,21;0
88;1000,00;1866,88;1;8,00;-112,97;-33,92;1,00;58,21;0
89;1000,00;1915,39;1;8,00;-87,14;-7,50;1,00;58,21;0
90;1000,00;1936,11;3;8,00;-111,64;-31,75;1,00;58,21;0
91;1000,00;1887,61;3;8,00;-120,11;-40,81;1,00;58,21;0
92;1000,00;1839,10;3;;;;;58,21;0
93;1000,00;1790,60;3;;;;;58,21;0
94;992,09;1750,00;2;;;;;58,21;0
95;943,59;1750,00;2;;;;;58,21;0
96;895,08;1750,00;2;11,00;-87,83;-5,16;1,00;58,21;0
97;846,58;1750,00;2;11,00;-66,53;16,06;0,20;58,21;0
98;798,08;1750,00;2;11,00;-73,55;8,99;0,41;58,21;0
99;749,57;1750,00;2;11,00;-74,99;7,50;0,47;58,21;0
100;701,07;1750,00;2;11,00;-64,61;17,81;0,17;58,21;0
