Step,connected_gnb,gnb0_rsrp,gnb1_rsrp,gnb2_rsrp,gnb3_rsrp,gnb4_rsrp,gnb5_rsrp,gnb6_rsrp,gnb7_rsrp
0,000006,-109.51,-105.50,-103.86,-97.49,-103.31,-93.00,-61.21,-52.37
1,000006,-107.65,-104.21,-114.95,-108.27,-96.86,-93.99,-49.19,-47.85
2,000006,-100.48,-103.12,-108.08,-109.00,-105.67,-84.95,-65.88,-12.73
3,000006,-108.92,-107.31,-117.29,-95.68,-80.04,-98.82,-61.07,-35.94
4,000006,-106.99,-100.64,-118.96,-111.94,-96.72,-101.82,-79.44,-32.78
5,000006,-103.65,-94.91,-108.99,-105.66,-89.57,-91.26,-86.46,-44.74
6,000006,-105.47,-118.48,-124.21,-99.42,-89.90,-105.22,-77.41,-41.74
7,000006,-105.47,-113.59,-105.62,-93.81,-105.72,-106.45,-86.65,-51.38
8,000006,-111.02,-111.35,-116.22,-105.76,-104.75,-101.64,-91.17,-54.82
9,000006,-115.08,-103.87,-109.74,-99.93,-101.68,-90.11,-87.86,-17.24
10,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
11,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
12,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
13,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
14,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
15,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
16,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
17,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
18,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
19,000006,-112.43,-101.37,-112.97,-96.72,-112.48,-99.31,-91.12,-58.30
20,000006,-108.81,-103.76,-118.65,-85.24,-94.96,-104.07,-58.98,-71.69
21,000006,-106.16,-112.55,-105.47,-95.51,-79.65,-98.00,-75.83,-46.26
22,000006,-108.32,-105.61,-113.37,-110.48,-93.68,-99.77,-79.47,-42.09
23,000006,-117.33,-130.71,-101.77,-100.96,-95.76,-100.67,-80.86,-53.25
24,000006,-127.91,-101.82,-120.54,-100.02,-108.23,-96.15,-69.10,-18.99
25,000006,-105.73,-115.51,-115.32,-84.59,-93.83,-93.50,-82.22,-40.74
26,000006,-120.83,-105.33,-125.51,-94.13,-84.57,-90.82,-63.57,-35.26
27,000006,-118.51,-116.76,-111.33,-93.04,-87.09,-83.27,-70.12,-13.43
28,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
29,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
30,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
31,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
32,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
33,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
34,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
35,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
36,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
37,000006,-117.54,-110.20,-112.23,-94.69,-94.54,-85.73,-73.60,-75.86
38,000006,-120.40,-106.36,-110.58,-94.19,-86.56,-108.02,-64.78,-18.01
39,000006,-110.65,-111.19,-120.40,-112.37,-93.64,-97.95,-48.34,-54.41
40,000006,-108.99,-109.04,-104.84,-102.75,-104.61,-98.06,-63.76,-64.67
41,000006,-100.62,-109.83,-106.06,-89.74,-91.37,-102.72,-57.63,-42.23
42,000006,-100.01,-106.02,-115.88,-79.27,-81.79,-102.38,-73.31,-59.81
43,000006,-116.51,-115.32,-104.37,-98.24,-91.51,-101.43,-47.81,-31.91
44,000006,-111.35,-105.06,-104.36,-97.69,-68.00,-97.10,-71.07,-27.87
