Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx
0,5880.67,5000.00,2,5,-115.35,-15.35,23.20,0,6.00,-125.86,,,,,,
1,5861.34,5000.00,2,5,-116.49,-16.49,23.20,0,6.00,-118.62,,,,,,
2,5842.01,5000.00,2,5,-106.86,-8.70,23.20,0,6.00,-117.00,,,,,,
3,5822.68,5000.00,2,6,-101.14,-1.14,23.20,1,5.00,-114.25,,,,,,
4,5803.35,5000.00,2,5,-104.81,-4.81,23.20,1,6.00,-110.04,,,,,,
5,5784.02,5000.00,2,5,-109.24,-9.24,23.20,0,6.00,-115.30,,,,,,
6,5764.69,5000.00,2,5,-97.41,2.59,23.20,0,6.00,-113.18,,,,,,
7,5745.36,5000.00,2,5,-105.54,-5.54,23.20,0,6.00,-113.00,,,,,,
8,5726.02,5000.00,2,5,-106.07,-6.07,23.20,0,6.00,-114.75,,,,,,
9,5706.69,5000.00,2,5,-111.77,-11.77,23.20,0,6.00,-117.34,,,,,,
10,5700.00,5012.64,1,5,-105.07,-6.11,23.20,0,6.00,-117.49,,,,,,
11,5700.00,5031.97,1,6,-104.20,-4.20,23.20,1,5.00,-112.20,,,,,,
12,5700.00,5051.30,1,6,-91.21,8.79,23.20,0,5.00,-121.19,,,,,,
13,5700.00,5070.63,1,6,-101.99,-1.99,23.20,0,5.00,-116.97,,,,,,
14,5700.00,5089.96,1,6,-102.80,-2.80,23.20,0,5.00,-113.98,,,,,,
15,5700.00,5109.29,1,6,-100.62,-0.62,23.20,0,5.00,-121.09,,,,,,
16,5700.00,5128.62,1,6,-100.97,-2.31,23.20,0,5.00,-124.08,,,,,,
17,5700.00,5147.95,1,6,-102.22,-2.97,23.20,0,5.00,-128.30,,,,,,
18,5700.00,5167.28,1,6,-104.49,-4.49,23.20,0,,,,,,,,
19,5700.00,5186.61,1,6,-89.71,10.29,23.20,0,,,,,,,,
20,5700.00,5205.94,1,6,-85.73,13.46,23.20,0,,,,,,,,
21,5700.00,5225.27,1,6,-95.13,4.87,23.20,0,,,,,,,,
22,5700.00,5244.60,1,6,-102.16,-2.16,23.20,0,,,,,,,,
23,5700.00,5263.93,1,6,-79.22,20.05,23.20,0,,,,,,,,
24,5700.00,5283.26,1,6,-98.16,0.53,23.20,0,,,,,,,,
25,5700.00,5302.60,1,6,-88.68,11.32,23.20,0,,,,,,,,
26,5700.00,5321.93,1,6,-88.75,11.25,23.20,0,,,,,,,,
27,5700.00,5341.26,1,6,-84.50,15.50,23.20,0,,,,,,,,
28,5700.00,5360.59,1,6,-92.72,7.28,23.20,0,,,,,,,,
