Step,ue0_x,ue0_y,ue0_direction,ue0_connected_bs,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,6400.00,3846.15,1,54,-104.65,-6.28,55.38,0,55,-105.02,47,-108.45,48,-110.92,63,-119.86,62,-130.12
1,6400.00,3892.30,1,54,-98.61,0.95,55.38,0,55,-109.70,47,-124.46,48,-126.38,63,-135.55,62,-139.07
2,6400.00,3938.45,1,54,-108.32,-10.48,55.38,0,55,-112.19,47,-117.93,48,-118.02,63,-129.31,62,-132.57
3,6400.00,3984.60,1,55,-97.17,-0.07,55.38,1,48,-101.06,54,-107.71,47,-114.39,56,-129.05,62,-148.41
4,6400.00,3969.25,3,47,-114.14,-18.25,55.38,1,55,-107.47,54,-112.46,62,-118.47,48,-128.12,56,-148.84
5,6400.00,3923.10,3,55,-99.39,0.61,55.38,1,54,-110.81,47,-130.33,62,-137.32,48,-142.11,63,-148.58
6,6400.00,3876.95,3,55,-96.30,2.77,55.38,0,54,-106.26,47,-113.77,63,-118.96,62,-125.50,48,-146.03
7,6400.00,3830.80,3,55,-97.28,2.27,55.38,0,47,-109.54,54,-121.02,62,-133.10,48,-133.56,63,-134.14
8,6384.65,3800.00,2,55,-109.05,-9.05,55.38,0,47,-121.35,54,-122.98,46,-126.25,48,-127.40,62,-135.97
9,6338.50,3800.00,2,62,-111.57,-11.57,55.38,1,54,-115.75,47,-116.99,55,-117.56,48,-127.52,46,-132.17
10,6292.35,3800.00,2,47,-112.46,-12.46,55.38,1,62,-116.09,54,-119.35,55,-124.56,46,-132.28,48,-133.42
11,6246.20,3800.00,2,47,-91.76,7.80,55.38,0,55,-109.71,46,-122.06,54,-122.84,62,-130.77,48,-132.56
12,6200.05,3800.00,2,47,-109.70,-9.70,55.38,0,54,-113.74,55,-121.51,48,-124.06,46,-133.43,62,-140.73
13,6200.00,3800.00,1,47,-124.63,-25.17,0.00,0,55,-120.86,54,-129.58,62,-129.69,48,-130.14,46,-134.67
14,6200.00,3800.00,1,54,-115.96,-16.49,0.00,1,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
15,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
16,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
17,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
18,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
19,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
20,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
21,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
22,6200.00,3800.00,1,54,-115.96,-16.49,0.00,0,55,-120.94,46,-122.38,47,-124.63,48,-132.22,62,-135.64
23,6200.00,3823.07,1,54,-102.35,-3.57,27.69,0,55,-104.88,47,-119.95,48,-126.40,46,-129.23,62,-132.62
24,6200.00,3869.22,1,54,-106.09,-6.56,55.38,0,55,-109.36,46,-110.80,47,-110.91,62,-132.86,48,-135.76
25,6200.00,3915.37,1,55,-106.79,-8.11,55.38,1,56,-108.88,54,-113.23,47,-116.72,62,-117.44,48,-131.44
26,6200.00,3961.52,1,55,-109.81,-10.60,55.38,0,47,-107.03,54,-121.68,56,-123.78,62,-130.07,48,-130.17
27,6200.00,3992.33,3,55,-127.62,-28.35,55.38,0,47,-112.34,48,-113.21,54,-122.24,62,-132.18,56,-132.38
28,6200.00,3946.18,3,54,-108.85,-8.85,55.38,1,62,-114.27,48,-118.78,56,-125.66,47,-128.11,55,-139.99
29,6200.00,3900.03,3,54,-111.96,-11.96,55.38,0,48,-111.92,47,-112.68,55,-114.25,62,-124.49,56,-139.36
30,6200.00,3853.88,3,48,-115.13,-15.13,55.38,1,47,-121.96,55,-126.51,54,-137.26,62,-138.41,46,-140.57
31,6200.00,3807.73,3,48,-110.23,-11.11,55.38,0,47,-109.05,55,-119.29,54,-127.65,46,-137.54,62,-139.18
32,6200.00,3838.42,1,48,-117.71,-19.49,55.38,0,47,-118.72,55,-119.69,54,-119.88,62,-131.58,46,-148.27
33,6200.00,3884.57,1,47,-109.73,-9.73,55.38,1,54,-117.93,55,-118.37,48,-125.42,46,-127.25,62,-131.47
34,6200.00,3930.72,1,47,-114.63,-14.63,55.38,0,55,-114.33,48,-121.60,56,-124.48,62,-129.68,54,-134.79
35,6200.00,3976.87,1,47,-110.78,-10.78,55.38,0,55,-110.39,48,-119.89,54,-125.43,56,-131.16,62,-132.52
36,6200.00,4000.00,2,55,-109.70,-11.21,0.00,1,62,-116.76,54,-123.71,48,-131.08,56,-143.26,47,-145.36
37,6200.00,4000.00,2,47,-106.66,-7.82,0.00,1,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
38,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
39,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
40,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
41,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
42,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
43,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
44,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
45,6200.00,4000.00,2,47,-106.66,-7.82,0.00,0,48,-107.00,55,-109.70,62,-125.71,56,-130.59,54,-133.52
46,6176.93,4000.00,2,47,-97.20,2.80,27.69,0,55,-116.18,48,-119.44,54,-122.11,62,-136.25,56,-141.98
47,6130.78,4000.00,2,47,-110.18,-10.18,55.38,0,55,-116.59,56,-133.68,54,-133.84,48,-140.52,40,-141.16
48,6084.63,4000.00,2,47,-105.77,-6.47,55.38,0,55,-107.59,54,-118.72,56,-122.49,48,-130.77,40,-146.07
49,6038.48,4000.00,2,47,-110.75,-10.75,55.38,0,48,-115.07,55,-121.31,40,-127.05,56,-128.47,54,-139.52
50,6000.00,3992.33,3,47,-107.04,-7.85,55.38,0,48,-113.72,55,-121.91,40,-134.37,56,-135.22,54,-156.18
51,6000.00,3946.18,3,47,-109.74,-10.17,55.38,0,55,-109.76,48,-118.20,54,-120.74,46,-132.77,40,-133.49
52,6000.00,3900.03,3,47,-106.29,-7.51,55.38,0,55,-104.86,54,-117.91,46,-119.69,40,-137.38,48,-140.11
53,6000.00,3853.88,3,47,-112.54,-12.54,55.38,0,54,-116.08,48,-116.86,55,-125.45,40,-125.82,46,-131.88
54,6000.00,3807.73,3,54,-106.38,-6.38,55.38,1,47,-116.03,48,-124.99,46,-126.36,40,-131.89,55,-137.53
55,5961.58,3800.00,2,47,-100.98,-0.98,55.38,1,40,-105.79,54,-114.72,55,-114.76,48,-130.08,46,-130.97
56,5915.43,3800.00,2,47,-97.16,2.84,55.38,0,54,-110.65,48,-122.35,55,-124.17,40,-132.02,46,-132.27
57,5869.28,3800.00,2,47,-99.58,-0.66,55.38,0,55,-107.94,54,-109.08,48,-118.19,40,-133.43,46,-137.22
