Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,6621.24,4000.00,50.00,0,55,0.97,LOS,-59.73,6.26,25.49,0,63,-77.06,56,-77.13,47,-78.77,62,-80.08,54,-102.32
1,6642.48,4000.00,50.00,0,55,0.97,LOS,-64.06,-2.07,25.49,0,56,-70.50,62,-75.78,47,-81.11,63,-84.02,54,-119.38
2,6663.73,4000.00,50.00,0,56,0.77,LOS,-58.68,3.23,25.49,1,55,-65.50,62,-77.99,63,-85.35,47,-94.34,54,-124.01
3,6684.97,4000.00,50.00,0,55,0.96,LOS,-67.68,-15.32,25.49,1,62,-82.12,56,-82.67,63,-92.61,47,-105.92,54,-125.78
4,6706.21,4000.00,50.00,0,55,0.95,LOS,-57.13,10.39,25.49,0,47,-86.61,56,-88.96,63,-91.15,62,-110.42,54,-112.65
5,6727.45,4000.00,50.00,0,55,0.95,LOS,-56.15,3.72,25.49,0,56,-83.41,47,-84.59,63,-86.87,54,-91.71,62,-107.17
6,6748.69,4000.00,50.00,0,55,0.94,LOS,-61.75,-2.92,25.49,0,62,-63.99,54,-67.39,63,-72.18,47,-74.09,56,-83.62
7,6769.93,4000.00,50.00,0,55,0.94,LOS,-51.54,8.08,25.49,0,54,-68.96,63,-73.40,62,-87.62,47,-90.40,56,-93.69
8,6791.18,4000.00,50.00,0,55,0.93,LOS,-54.92,8.32,25.49,0,63,-68.95,47,-81.37,62,-92.61,56,-92.75,54,-93.13
9,6787.58,4000.00,50.00,2,63,0.83,LOS,-77.69,-34.10,25.49,1,55,-80.96,62,-87.89,47,-92.95,56,-96.87,54,-108.83
10,6766.34,4000.00,50.00,2,62,0.87,LOS,-65.28,0.69,25.49,1,56,-73.47,47,-77.94,63,-91.70,55,-92.99,54,-95.77
11,6745.10,4000.00,50.00,2,62,0.87,LOS,-46.66,15.77,25.49,0,47,-65.90,54,-80.73,55,-83.30,56,-86.96,63,-90.46
12,6723.86,4000.00,50.00,2,62,0.86,LOS,-47.91,7.53,25.49,0,47,-77.37,56,-79.56,55,-94.17,54,-94.28,63,-103.75
13,6702.61,4000.00,50.00,2,62,0.86,LOS,-53.25,1.28,25.49,0,56,-71.86,47,-75.51,55,-82.61,63,-93.54,54,-116.10
14,6681.37,4000.00,50.00,2,62,0.85,LOS,-77.59,-14.91,25.49,0,47,-75.59,56,-77.33,63,-79.95,55,-86.47,54,-110.16
15,6660.13,4000.00,50.00,2,47,0.78,LOS,-69.43,-6.60,25.49,1,55,-71.46,56,-79.11,62,-84.55,63,-93.89,54,-122.23
16,6638.89,4000.00,50.00,2,55,0.97,LOS,-65.36,0.37,25.49,1,47,-72.04,56,-78.24,54,-85.09,63,-87.41,62,-97.11
17,6617.65,4000.00,50.00,2,55,0.97,LOS,-51.86,14.11,25.49,0,47,-73.33,56,-86.13,62,-89.93,63,-91.27,54,-112.14
18,6596.41,4000.00,50.00,2,55,0.98,LOS,-36.91,25.45,25.49,0,54,-73.02,47,-77.95,56,-93.58,63,-98.28,62,-102.74
19,6575.16,4000.00,50.00,2,55,0.98,LOS,-36.83,26.49,25.49,0,47,-78.95,54,-81.16,48,-90.56,62,-93.27,63,-111.41
20,6553.92,4000.00,50.00,2,55,0.98,LOS,-49.38,6.78,25.49,0,54,-71.13,62,-82.65,47,-91.57,48,-92.32,63,-115.86
21,6532.68,4000.00,50.00,2,55,0.98,LOS,-33.90,27.48,25.49,0,47,-64.04,54,-74.14,62,-97.50,48,-100.10,63,-100.92
22,6511.44,4000.00,50.00,2,55,0.99,LOS,-36.08,26.27,25.49,0,47,-67.76,54,-79.18,62,-88.35,48,-96.14,63,-106.38
23,6490.20,4000.00,50.00,2,55,0.99,LOS,-46.11,19.05,25.49,0,47,-68.29,62,-83.20,63,-89.61,54,-91.79,48,-107.66
24,6468.95,4000.00,50.00,2,55,0.98,LOS,-48.81,14.33,25.49,0,47,-76.40,48,-84.98,62,-96.68,63,-98.75,54,-104.53
25,6447.71,4000.00,50.00,2,55,0.98,LOS,-71.58,-7.09,25.49,0,47,-77.50,48,-84.91,63,-85.11,62,-85.66,54,-95.72
26,6426.47,4000.00,50.00,2,55,0.98,LOS,-57.67,7.83,25.49,0,62,-69.91,63,-75.45,48,-82.05,47,-91.32,54,-111.67
