Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_prx,ue0_bs2_idx,ue0_bs2_prx,ue0_bs3_idx,ue0_bs3_prx,ue0_bs4_idx,ue0_bs4_prx,ue0_bs5_idx,ue0_bs5_prx
0,8656.37,5823.00,300.00,0,89,1.00,LOS,93.13,-0.04,-43.09,-4.51,49.15,0,90,-44.15,81,-47.38,80,-50.23,82,-51.70,88,-52.77
1,8657.73,5823.00,300.00,0,89,1.00,LOS,93.13,-0.04,-43.09,-4.50,49.15,0,90,-44.15,81,-47.40,80,-50.24,82,-51.71,88,-52.77
2,8659.10,5823.00,300.00,0,89,1.00,LOS,93.12,-0.04,-43.08,-4.49,49.15,0,90,-44.14,81,-47.41,80,-50.24,82,-51.72,88,-52.77
3,8660.46,5823.00,300.00,0,89,1.00,LOS,93.12,-0.04,-43.08,-4.48,49.15,0,90,-44.14,81,-47.43,80,-50.25,82,-51.72,88,-52.77
4,8661.83,5823.00,300.00,0,89,1.00,LOS,93.11,-0.04,-43.07,-4.47,49.15,0,90,-44.14,81,-47.45,80,-50.26,82,-51.73,88,-52.77
5,8663.19,5823.00,300.00,0,89,1.00,LOS,93.11,-0.04,-43.07,-4.46,49.15,0,90,-44.13,81,-47.46,80,-50.27,82,-51.74,88,-52.77
6,8664.56,5823.00,300.00,0,89,1.00,LOS,93.10,-0.04,-43.06,-4.46,49.15,0,90,-44.13,81,-47.48,80,-50.27,82,-51.74,88,-52.77
7,8665.92,5823.00,300.00,0,89,1.00,LOS,93.10,-0.04,-43.06,-4.45,49.15,0,90,-44.13,81,-47.50,80,-50.28,82,-51.75,88,-52.77
8,8667.29,5823.00,300.00,0,89,1.00,LOS,93.09,-0.04,-43.05,-4.44,49.15,0,90,-44.12,81,-47.51,80,-50.29,82,-51.76,88,-52.77
9,8668.65,5823.00,300.00,0,89,1.00,LOS,93.09,-0.04,-43.05,-4.43,49.15,0,90,-44.12,81,-47.53,80,-50.29,82,-51.76,88,-52.76
10,8670.02,5823.00,300.00,0,89,1.00,LOS,93.08,-0.04,-43.05,-4.42,49.15,0,90,-44.12,81,-47.55,80,-50.30,82,-51.77,88,-52.76
11,8671.38,5823.00,300.00,0,89,1.00,LOS,93.08,-0.04,-43.04,-4.42,49.15,0,90,-44.11,81,-47.56,80,-50.31,82,-51.78,88,-52.76
12,8672.75,5823.00,300.00,0,89,1.00,LOS,93.08,-0.04,-43.04,-4.41,49.15,0,90,-44.11,81,-47.58,80,-50.32,82,-51.78,88,-52.76
13,8674.11,5823.00,300.00,0,89,1.00,LOS,93.07,-0.04,-43.03,-4.40,49.15,0,90,-44.11,81,-47.60,80,-50.32,82,-51.79,88,-52.76
14,8675.48,5823.00,300.00,0,89,1.00,LOS,93.07,-0.04,-43.03,-4.39,49.15,0,90,-44.10,81,-47.61,80,-50.33,82,-51.79,88,-52.76
15,8676.85,5823.00,300.00,0,89,1.00,LOS,93.06,-0.04,-43.02,-4.39,49.15,0,90,-44.10,81,-47.63,80,-50.34,82,-51.80,88,-52.76
16,8678.21,5823.00,300.00,0,89,1.00,LOS,93.06,-0.04,-43.02,-4.38,49.15,0,90,-44.10,81,-47.65,80,-50.35,82,-51.81,88,-52.76
17,8679.58,5823.00,300.00,0,89,1.00,LOS,93.05,-0.04,-43.02,-4.37,49.15,0,90,-44.09,81,-47.66,80,-50.35,82,-51.81,88,-52.76
18,8680.94,5823.00,300.00,0,89,1.00,LOS,93.05,-0.04,-43.01,-4.36,49.15,0,90,-44.09,81,-47.68,80,-50.36,82,-51.82,88,-52.76
