Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_current_rsrp,ue0_current_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,1655.00,5218.16,23.00,1,12,0.83,LOS,91.46,-1.68,-69.56,-41.78,0.54,45.56,0,4,-76.92,3,-77.80,21,-77.86,13,-79.61,11,-109.80
1,1655.00,5230.81,23.00,1,12,0.83,LOS,91.62,-1.68,-69.72,-41.94,0.36,45.56,0,4,-76.80,21,-77.84,3,-77.93,13,-79.46,11,-109.97
2,1655.00,5243.47,23.00,1,4,0.81,LOS,92.33,-6.80,-65.32,-37.53,1.35,45.56,1,12,-68.76,13,-75.57,3,-77.58,21,-81.30,5,-112.94
3,1655.00,5256.12,23.00,1,4,0.81,LOS,92.22,-6.80,-65.20,-37.42,1.55,45.56,0,12,-68.93,13,-75.42,3,-77.71,21,-81.28,5,-112.78
4,1655.00,5268.78,23.00,1,12,0.82,LOS,92.12,-2.13,-69.77,-41.99,-1.80,45.56,1,13,-70.66,4,-74.71,21,-79.84,3,-80.23,11,-107.91
5,1655.00,5281.43,23.00,1,12,0.81,LOS,92.29,-2.13,-69.95,-42.16,-2.07,45.56,0,13,-70.51,4,-74.61,21,-79.82,3,-80.35,11,-108.07
6,1655.00,5294.09,23.00,1,12,0.81,LOS,92.46,3.37,-75.61,-47.83,-6.58,45.56,0,4,-72.76,3,-74.87,13,-78.32,21,-87.57,5,-115.97
7,1655.00,5306.74,23.00,1,4,0.82,LOS,91.83,1.06,-72.67,-44.89,-2.59,45.56,1,3,-74.99,12,-75.78,13,-78.16,21,-87.55,5,-115.80
8,1655.00,5319.40,23.00,1,4,0.82,LOS,91.75,-5.99,-65.54,-37.76,0.27,45.56,0,12,-67.17,13,-76.62,21,-77.56,3,-80.48,5,-111.60
9,1655.00,5332.05,23.00,1,4,0.82,LOS,91.67,-5.99,-65.47,-37.69,0.46,45.56,0,12,-67.35,13,-76.46,21,-77.54,3,-80.60,5,-111.43
10,1655.00,5344.71,23.00,1,4,0.83,LOS,91.61,0.76,-72.15,-44.36,-3.80,45.56,0,12,-72.98,3,-75.94,13,-76.29,21,-76.52,5,-105.78
11,1655.00,5357.36,23.00,1,4,0.83,LOS,91.55,0.76,-72.09,-44.31,-3.69,45.56,0,12,-73.16,3,-76.06,13,-76.13,21,-76.51,5,-105.60
