Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,4108.13,4166.50,1.50,0,0,0.04,NLOS,122.30,2.78,-104.87,5.38,29.27,0,3,-111.90,6,-115.65,2,-129.49,1,-138.55,5,-141.56
1,4116.26,4166.50,1.50,0,0,0.04,NLOS,122.19,2.78,-104.76,5.41,29.27,0,3,-111.82,6,-115.60,2,-129.34,1,-138.54,5,-141.48
2,4124.39,4166.50,1.50,0,0,0.04,NLOS,122.09,2.78,-104.66,5.44,29.27,0,3,-111.74,6,-115.54,2,-129.18,1,-138.53,5,-141.40
3,4132.52,4166.50,1.50,0,0,0.04,NLOS,122.00,2.78,-104.56,5.46,29.27,0,3,-111.66,6,-115.49,2,-129.02,1,-138.52,5,-141.32
4,4140.65,4166.50,1.50,0,0,0.04,NLOS,121.91,-9.63,-92.06,17.37,29.27,0,6,-110.96,3,-116.41,4,-121.98,1,-127.45,2,-131.25
5,4148.78,4166.50,1.50,0,0,0.04,NLOS,121.82,-9.63,-91.97,17.40,29.27,0,6,-110.91,3,-116.33,4,-121.95,1,-127.44,2,-131.09
6,4156.92,4166.50,1.50,0,0,0.05,NLOS,121.74,-9.63,-91.89,17.42,29.27,0,6,-110.85,3,-116.25,4,-121.92,1,-127.43,2,-130.93
7,4165.05,4166.50,1.50,0,0,0.05,NLOS,121.67,-9.63,-91.82,17.44,29.27,0,6,-110.80,3,-116.16,4,-121.89,1,-127.42,2,-130.77
8,4173.18,4166.50,1.50,0,0,0.05,NLOS,121.60,-29.05,-72.33,20.57,29.27,0,2,-92.92,1,-116.43,5,-132.91,3,-134.62,6,-135.45
9,4181.31,4166.50,1.50,0,0,0.05,NLOS,121.54,-29.05,-72.27,20.46,29.27,0,2,-92.75,1,-116.42,5,-132.83,3,-134.53,6,-135.40
10,4189.44,4166.50,1.50,0,0,0.05,NLOS,121.49,-29.05,-72.22,20.35,29.27,0,2,-92.59,1,-116.42,5,-132.74,3,-134.45,6,-135.35
11,4197.57,4166.50,1.50,0,0,0.05,NLOS,121.44,-29.05,-72.17,20.22,29.27,0,2,-92.41,1,-116.41,5,-132.66,3,-134.37,6,-135.29
12,4205.70,4166.50,1.50,0,0,0.05,NLOS,121.40,9.41,-110.59,-2.28,29.27,0,2,-109.42,3,-117.01,1,-120.13,4,-130.82,5,-131.19
13,4213.83,4166.50,1.50,0,0,0.05,NLOS,121.37,9.41,-110.56,-2.40,29.27,0,2,-109.25,3,-116.93,1,-120.13,4,-130.79,5,-131.11
14,4221.96,4166.50,1.50,0,0,0.05,NLOS,121.34,9.41,-110.53,-2.52,29.27,0,2,-109.07,3,-116.85,1,-120.13,4,-130.75,5,-131.02
15,4230.09,4166.50,1.50,0,0,0.05,NLOS,121.32,9.41,-110.51,-2.65,29.27,0,2,-108.89,3,-116.77,1,-120.12,4,-130.72,5,-130.94
16,4238.22,4166.50,1.50,0,0,0.05,NLOS,121.31,-3.43,-97.66,8.51,29.27,0,2,-108.42,3,-111.56,4,-117.14,1,-122.32,6,-132.62
17,4246.35,4166.50,1.50,0,0,0.05,NLOS,121.30,-3.43,-97.65,8.38,29.27,0,2,-108.24,3,-111.47,4,-117.11,1,-122.32,6,-132.57
18,4254.48,4166.50,1.50,0,0,0.05,NLOS,121.30,-3.43,-97.65,8.25,29.27,0,2,-108.05,3,-111.39,4,-117.08,1,-122.32,6,-132.52
19,4262.61,4166.50,1.50,0,0,0.05,NLOS,121.31,-3.43,-97.66,8.10,29.27,0,2,-107.87,3,-111.31,4,-117.05,1,-122.32,6,-132.46
20,4270.75,4166.50,1.50,0,0,0.05,NLOS,121.32,-0.19,-100.91,-1.08,29.27,0,2,-100.35,5,-110.51,4,-116.86,1,-123.82,6,-135.73
21,4278.88,4166.50,1.50,0,0,0.05,NLOS,121.34,-0.19,-100.93,-1.27,29.27,0,2,-100.16,5,-110.42,4,-116.83,1,-123.83,6,-135.68
22,4287.01,4166.50,1.50,0,0,0.05,NLOS,121.37,-0.19,-100.96,-1.48,29.27,0,2,-99.96,5,-110.33,4,-116.80,1,-123.83,6,-135.63
23,4295.14,4166.50,1.50,0,0,0.05,NLOS,121.41,-0.19,-100.99,-1.70,29.27,0,2,-99.77,5,-110.25,4,-116.77,1,-123.83,6,-135.57
24,4296.73,4166.50,1.50,2,0,0.05,NLOS,121.41,-8.88,-92.32,13.91,29.27,0,3,-107.83,2,-114.06,4,-116.23,1,-121.16,6,-131.66
25,4288.60,4166.50,1.50,2,0,0.05,NLOS,121.38,-8.88,-92.28,14.04,29.27,0,3,-107.91,2,-114.25,4,-116.26,1,-121.16,6,-131.71
26,4280.47,4166.50,1.50,2,0,0.05,NLOS,121.35,-8.88,-92.25,14.16,29.27,0,3,-107.99,2,-114.44,4,-116.29,1,-121.16,6,-131.77
27,4272.34,4166.50,1.50,2,0,0.05,NLOS,121.33,-8.88,-92.23,14.27,29.27,0,3,-108.07,2,-114.63,4,-116.32,1,-121.15,6,-131.82
28,4264.21,4166.50,1.50,2,0,0.05,NLOS,121.31,-9.06,-92.04,24.63,29.27,0,2,-119.61,1,-121.67,5,-131.01,6,-133.03,4,-133.40
29,4256.08,4166.50,1.50,2,0,0.05,NLOS,121.30,-9.06,-92.03,24.74,29.27,0,2,-119.79,1,-121.67,5,-131.10,6,-133.09,4,-133.43
30,4247.95,4166.50,1.50,2,0,0.05,NLOS,121.30,-9.06,-92.03,24.84,29.27,0,2,-119.98,1,-121.67,5,-131.18,6,-133.14,4,-133.46
31,4239.82,4166.50,1.50,2,0,0.05,NLOS,121.30,-9.06,-92.03,24.93,29.27,0,2,-120.16,1,-121.67,5,-131.27,6,-133.19,4,-133.49
32,4231.69,4166.50,1.50,2,0,0.05,NLOS,121.32,-2.91,-98.19,8.49,29.27,0,1,-108.14,3,-113.86,5,-119.73,4,-123.82,2,-124.43
33,4223.56,4166.50,1.50,2,0,0.05,NLOS,121.34,-2.91,-98.21,8.49,29.27,0,1,-108.15,3,-113.94,5,-119.81,4,-123.85,2,-124.61
34,4215.42,4166.50,1.50,2,0,0.05,NLOS,121.36,-2.91,-98.23,8.49,29.27,0,1,-108.15,3,-114.03,5,-119.90,4,-123.88,2,-124.78
35,4207.29,4166.50,1.50,2,0,0.05,NLOS,121.39,-2.91,-98.26,8.48,29.27,0,1,-108.15,3,-114.11,5,-119.98,4,-123.91,2,-124.96
36,4199.16,4166.50,1.50,2,0,0.05,NLOS,121.43,-3.08,-98.13,12.47,29.27,0,2,-111.46,5,-122.30,3,-122.66,6,-125.81,1,-138.64
37,4191.03,4166.50,1.50,2,0,0.05,NLOS,121.48,-3.08,-98.18,12.58,29.27,0,2,-111.63,5,-122.38,3,-122.75,6,-125.87,1,-138.64
38,4182.90,4166.50,1.50,2,0,0.05,NLOS,121.53,-3.08,-98.23,12.68,29.27,0,2,-111.80,5,-122.47,3,-122.83,6,-125.92,1,-138.65
39,4174.77,4166.50,1.50,2,0,0.05,NLOS,121.59,-3.08,-98.29,12.77,29.27,0,2,-111.97,5,-122.55,3,-122.91,6,-125.97,1,-138.65
