Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_sinr_interference,ue0_sinr_noise,ue0_sinr_denominator,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue0_interf_bs1_idx,ue0_interf_bs1_prx,ue0_interf_bs2_idx,ue0_interf_bs2_prx,ue0_interf_bs3_idx,ue0_interf_bs3_prx,ue0_interf_bs4_idx,ue0_interf_bs4_prx,ue0_interf_bs5_idx,ue0_interf_bs5_prx,ue0_interf_bs6_idx,ue0_interf_bs6_prx
0,3745.43,2452.00,3.00,2,31,0.03,LOS,95.66,-1.91,-73.53,-45.75,10.58,-56.33,-95.00,-56.33,34.45,0,23,-84.16,30,-106.32,24,-108.87,15,-110.32,39,-112.01,38,-115.26,32,-96.88,23,-56.38,24,-81.09,38,-87.48,39,-84.23,30,-78.54
1,3735.86,2452.00,3.00,2,31,0.03,LOS,95.78,-1.91,-73.65,-45.87,9.83,-55.70,-95.00,-55.69,34.45,0,23,-83.52,30,-106.48,24,-108.82,15,-110.19,39,-112.10,38,-115.39,32,-96.93,23,-55.74,24,-81.04,38,-87.61,39,-84.32,30,-78.70
2,3726.29,2452.00,3.00,2,31,0.03,LOS,95.89,-1.91,-73.76,-45.98,9.05,-55.04,-95.00,-55.04,34.45,0,23,-82.85,30,-106.65,24,-108.77,15,-110.05,39,-112.19,38,-115.52,32,-96.98,23,-55.07,24,-80.98,38,-87.74,39,-84.41,30,-78.87
3,3716.72,2452.00,3.00,2,31,0.03,LOS,96.01,-8.68,-67.11,-39.32,23.79,-63.12,-95.00,-63.11,34.45,0,23,-91.01,30,-108.82,16,-110.18,24,-113.34,38,-116.85,15,-117.73,32,-92.71,23,-63.23,24,-85.55,38,-89.06,39,-94.60,30,-81.04
4,3707.15,2452.00,3.00,2,31,0.03,LOS,96.12,-8.68,-67.22,-39.44,22.98,-62.42,-95.00,-62.41,34.45,0,23,-90.29,30,-108.98,16,-110.03,24,-113.29,38,-116.97,15,-117.60,32,-92.76,23,-62.51,24,-85.51,38,-89.19,39,-94.69,30,-81.20
5,3697.58,2452.00,3.00,2,31,0.03,LOS,96.23,-8.68,-67.33,-39.55,22.14,-61.69,-95.00,-61.68,34.45,0,23,-89.55,30,-109.15,16,-109.88,24,-113.24,38,-117.10,15,-117.46,32,-92.81,23,-61.76,24,-85.46,38,-89.31,39,-94.78,30,-81.37
6,3688.00,2452.00,3.00,2,31,0.03,LOS,96.34,-3.19,-72.93,-45.15,5.40,-50.55,-95.00,-50.55,34.45,0,23,-78.33,32,-111.96,15,-112.79,39,-113.02,25,-113.33,24,-114.39,32,-84.17,23,-50.55,24,-86.61,38,-95.99,39,-85.24,30,-87.71
7,3678.43,2452.00,3.00,2,31,0.03,LOS,96.45,-3.19,-73.04,-45.26,4.47,-49.73,-95.00,-49.73,34.45,0,23,-77.52,32,-112.01,15,-112.66,39,-113.11,25,-113.32,24,-114.35,32,-84.22,23,-49.74,24,-86.57,38,-96.11,39,-85.33,30,-87.88
8,3668.86,2452.00,3.00,2,31,0.03,LOS,96.56,-3.19,-73.15,-45.37,3.51,-48.88,-95.00,-48.88,34.45,0,23,-76.67,32,-112.05,15,-112.52,39,-113.20,25,-113.31,24,-114.31,32,-84.27,23,-48.89,24,-86.53,38,-96.23,39,-85.42,30,-88.04
9,3659.29,2452.00,3.00,2,31,0.03,LOS,96.67,-0.72,-75.74,-47.96,10.75,-58.71,-95.00,-58.71,34.45,0,23,-86.98,30,-96.62,24,-107.04,16,-115.93,15,-116.86,39,-120.22,32,-97.73,23,-59.20,24,-79.26,38,-93.98,39,-92.44,30,-68.84
