Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,4400.65,5750.00,1.50,0,1,0.05,NLOS,119.07,-5.17,-93.68,-65.90,4.31,117.63,0,4,-98.54,6,-107.70,0,-122.60,2,-123.39,5,-125.90,3,-130.58
1,4401.31,5750.00,1.50,0,1,0.05,NLOS,119.08,-5.17,-93.70,-65.91,4.28,117.63,0,4,-98.52,6,-107.69,0,-122.60,2,-123.39,5,-125.89,3,-130.58
2,4401.96,5750.00,1.50,0,1,0.05,NLOS,119.09,-5.17,-93.71,-65.93,4.25,117.63,0,4,-98.50,6,-107.69,0,-122.60,2,-123.39,5,-125.89,3,-130.57
3,4402.61,5750.00,1.50,0,1,0.05,NLOS,119.11,-5.17,-93.72,-65.94,4.22,117.63,0,4,-98.48,6,-107.68,0,-122.60,2,-123.39,5,-125.88,3,-130.56
4,4403.27,5750.00,1.50,0,1,0.05,NLOS,119.12,-5.17,-93.74,-65.96,4.19,117.63,0,4,-98.47,6,-107.67,0,-122.60,2,-123.38,5,-125.88,3,-130.55
5,4403.92,5750.00,1.50,0,1,0.05,NLOS,119.14,-5.17,-93.75,-65.97,4.16,117.63,0,4,-98.45,6,-107.66,0,-122.60,2,-123.38,5,-125.88,3,-130.55
6,4404.57,5750.00,1.50,0,1,0.05,NLOS,119.15,-5.17,-93.76,-65.98,4.13,117.63,0,4,-98.43,6,-107.65,0,-122.60,2,-123.38,5,-125.87,3,-130.54
7,4405.23,5750.00,1.50,0,1,0.05,NLOS,119.16,-5.17,-93.78,-66.00,4.09,117.63,0,4,-98.41,6,-107.65,0,-122.60,2,-123.38,5,-125.87,3,-130.53
8,4405.88,5750.00,1.50,0,1,0.05,NLOS,119.18,-5.17,-93.79,-66.01,4.06,117.63,0,4,-98.39,6,-107.64,0,-122.61,2,-123.37,5,-125.86,3,-130.53
9,4406.53,5750.00,1.50,0,1,0.05,NLOS,119.19,-5.17,-93.81,-66.02,4.03,117.63,0,4,-98.38,6,-107.63,0,-122.61,2,-123.37,5,-125.86,3,-130.52
10,4407.19,5750.00,1.50,0,1,0.05,NLOS,119.20,-5.17,-93.82,-66.04,4.00,117.63,0,4,-98.36,6,-107.62,0,-122.61,2,-123.37,5,-125.85,3,-130.51
11,4407.84,5750.00,1.50,0,1,0.05,NLOS,119.22,-5.17,-93.83,-66.05,3.97,117.63,0,4,-98.34,6,-107.62,0,-122.61,2,-123.37,5,-125.85,3,-130.50
12,4408.50,5750.00,1.50,0,1,0.05,NLOS,119.23,-5.17,-93.85,-66.07,3.94,117.63,0,4,-98.32,6,-107.61,0,-122.61,2,-123.37,5,-125.84,3,-130.50
13,4409.15,5750.00,1.50,0,1,0.05,NLOS,119.25,-5.17,-93.86,-66.08,3.91,117.63,0,4,-98.30,6,-107.60,0,-122.61,2,-123.36,5,-125.84,3,-130.49
14,4409.80,5750.00,1.50,0,1,0.05,NLOS,119.26,-5.17,-93.88,-66.09,3.88,117.63,0,4,-98.29,6,-107.59,0,-122.61,2,-123.36,5,-125.83,3,-130.48
15,4410.46,5750.00,1.50,0,1,0.05,NLOS,119.27,-5.17,-93.89,-66.11,3.85,117.63,0,4,-98.27,6,-107.58,0,-122.61,2,-123.36,5,-125.83,3,-130.48
16,4411.11,5750.00,1.50,0,1,0.05,NLOS,119.29,-5.17,-93.90,-66.12,3.82,117.63,0,4,-98.25,6,-107.58,0,-122.62,2,-123.36,5,-125.82,3,-130.47
17,4411.76,5750.00,1.50,0,1,0.05,NLOS,119.30,-5.17,-93.92,-66.14,3.79,117.63,0,4,-98.23,6,-107.57,0,-122.62,2,-123.35,5,-125.82,3,-130.46
18,4412.42,5750.00,1.50,0,1,0.05,NLOS,119.32,-5.17,-93.93,-66.15,3.76,117.63,0,4,-98.21,6,-107.56,0,-122.62,2,-123.35,5,-125.82,3,-130.45
19,4413.07,5750.00,1.50,0,1,0.05,NLOS,119.33,-5.17,-93.95,-66.16,3.73,117.63,0,4,-98.20,6,-107.55,0,-122.62,2,-123.35,5,-125.81,3,-130.45
20,4413.72,5750.00,1.50,0,1,0.05,NLOS,119.34,-5.17,-93.96,-66.18,3.69,117.63,0,4,-98.18,6,-107.55,0,-122.62,2,-123.35,5,-125.81,3,-130.44
21,4414.38,5750.00,1.50,0,1,0.05,NLOS,119.36,-5.17,-93.97,-66.19,3.66,117.63,0,4,-98.16,6,-107.54,0,-122.62,2,-123.35,5,-125.80,3,-130.43
22,4415.03,5750.00,1.50,0,1,0.05,NLOS,119.37,-5.17,-93.99,-66.21,3.63,117.63,0,4,-98.14,6,-107.53,0,-122.62,2,-123.34,5,-125.80,3,-130.43
23,4415.68,5750.00,1.50,0,1,0.05,NLOS,119.39,-5.17,-94.00,-66.22,3.60,117.63,0,4,-98.12,6,-107.52,0,-122.62,2,-123.34,5,-125.79,3,-130.42
24,4416.34,5750.00,1.50,0,1,0.05,NLOS,119.40,-5.17,-94.02,-66.24,3.57,117.63,0,4,-98.11,6,-107.51,0,-122.63,2,-123.34,5,-125.79,3,-130.41
25,4416.99,5750.00,1.50,0,1,0.05,NLOS,119.42,-5.17,-94.03,-66.25,3.54,117.63,0,4,-98.09,6,-107.51,0,-122.63,2,-123.34,5,-125.78,3,-130.40
26,4417.64,5750.00,1.50,0,1,0.05,NLOS,119.43,-5.17,-94.05,-66.26,3.51,117.63,0,4,-98.07,6,-107.50,0,-122.63,2,-123.33,5,-125.78,3,-130.40
27,4418.30,5750.00,1.50,0,1,0.05,NLOS,119.44,-5.17,-94.06,-66.28,3.48,117.63,0,4,-98.05,6,-107.49,0,-122.63,2,-123.33,5,-125.77,3,-130.39
28,4418.95,5750.00,1.50,0,1,0.05,NLOS,119.46,-5.17,-94.07,-66.29,3.44,117.63,0,4,-98.03,6,-107.48,0,-122.63,2,-123.33,5,-125.77,3,-130.38
29,4419.60,5750.00,1.50,0,1,0.05,NLOS,119.47,-5.17,-94.09,-66.31,3.41,117.63,0,4,-98.01,6,-107.47,0,-122.63,2,-123.33,5,-125.76,3,-130.38
30,4420.26,5750.00,1.50,0,1,0.05,NLOS,119.49,-5.17,-94.10,-66.32,3.38,117.63,0,4,-98.00,6,-107.47,0,-122.63,2,-123.33,5,-125.76,3,-130.37
31,4420.91,5750.00,1.50,0,1,0.05,NLOS,119.50,-5.17,-94.12,-66.34,3.35,117.63,0,4,-97.98,6,-107.46,0,-122.63,2,-123.32,5,-125.75,3,-130.36
32,4421.56,5750.00,1.50,0,1,0.05,NLOS,119.52,-5.17,-94.13,-66.35,3.32,117.63,0,4,-97.96,6,-107.45,0,-122.64,2,-123.32,5,-125.75,3,-130.35
33,4422.22,5750.00,1.50,0,1,0.05,NLOS,119.53,-5.17,-94.15,-66.37,3.29,117.63,0,4,-97.94,6,-107.44,0,-122.64,2,-123.32,5,-125.75,3,-130.35
34,4422.87,5750.00,1.50,0,1,0.05,NLOS,119.55,-5.17,-94.16,-66.38,3.25,117.63,0,4,-97.92,6,-107.43,0,-122.64,2,-123.32,5,-125.74,3,-130.34
35,4423.53,5750.00,1.50,0,1,0.05,NLOS,119.56,-5.17,-94.18,-66.39,3.22,117.63,0,4,-97.90,6,-107.43,0,-122.64,2,-123.31,5,-125.74,3,-130.33
36,4424.18,5750.00,1.50,0,1,0.05,NLOS,119.58,-5.17,-94.19,-66.41,3.19,117.63,0,4,-97.88,6,-107.42,0,-122.64,2,-123.31,5,-125.73,3,-130.33
37,4424.83,5750.00,1.50,0,1,0.05,NLOS,119.59,-5.17,-94.21,-66.42,3.16,117.63,0,4,-97.87,6,-107.41,0,-122.64,2,-123.31,5,-125.73,3,-130.32
38,4425.49,5750.00,1.50,0,1,0.05,NLOS,119.61,-5.17,-94.22,-66.44,3.13,117.63,0,4,-97.85,6,-107.40,0,-122.64,2,-123.31,5,-125.72,3,-130.31
39,4426.14,5750.00,1.50,0,4,0.03,NLOS,127.73,-8.41,-99.10,-71.32,3.10,117.63,1,1,-105.01,2,-108.47,0,-109.71,5,-116.10,3,-121.62,6,-126.56
40,4426.79,5750.00,1.50,0,4,0.03,NLOS,127.71,-8.41,-99.08,-71.30,3.12,117.63,0,1,-105.03,2,-108.47,0,-109.71,5,-116.10,3,-121.61,6,-126.55
41,4427.45,5750.00,1.50,0,4,0.03,NLOS,127.69,-8.41,-99.06,-71.28,3.15,117.63,0,1,-105.04,2,-108.47,0,-109.71,5,-116.09,3,-121.60,6,-126.54
42,4428.10,5750.00,1.50,0,4,0.03,NLOS,127.67,-8.41,-99.04,-71.26,3.17,117.63,0,1,-105.06,2,-108.47,0,-109.71,5,-116.09,3,-121.60,6,-126.53
43,4428.75,5750.00,1.50,0,4,0.03,NLOS,127.65,-8.41,-99.02,-71.24,3.20,117.63,0,1,-105.07,2,-108.46,0,-109.71,5,-116.08,3,-121.59,6,-126.52
44,4429.41,5750.00,1.50,0,4,0.03,NLOS,127.64,-8.41,-99.00,-71.22,3.23,117.63,0,1,-105.09,2,-108.46,0,-109.71,5,-116.08,3,-121.58,6,-126.52
45,4430.06,5750.00,1.50,0,4,0.03,NLOS,127.62,-8.41,-98.99,-71.20,3.25,117.63,0,1,-105.10,2,-108.46,0,-109.71,5,-116.07,3,-121.57,6,-126.51
46,4430.71,5750.00,1.50,0,4,0.03,NLOS,127.60,-8.41,-98.97,-71.19,3.28,117.63,0,1,-105.12,2,-108.46,0,-109.72,5,-116.07,3,-121.57,6,-126.50
47,4431.37,5750.00,1.50,0,4,0.03,NLOS,127.58,-8.41,-98.95,-71.17,3.30,117.63,0,1,-105.13,2,-108.46,0,-109.72,5,-116.06,3,-121.56,6,-126.49
48,4432.02,5750.00,1.50,0,4,0.03,NLOS,127.56,-8.41,-98.93,-71.15,3.33,117.63,0,1,-105.15,2,-108.45,0,-109.72,5,-116.06,3,-121.55,6,-126.48
49,4432.67,5750.00,1.50,0,4,0.03,NLOS,127.54,-8.41,-98.91,-71.13,3.36,117.63,0,1,-105.16,2,-108.45,0,-109.72,5,-116.05,3,-121.55,6,-126.48
50,4433.33,5750.00,1.50,0,4,0.03,NLOS,127.52,-8.41,-98.89,-71.11,3.38,117.63,0,1,-105.18,2,-108.45,0,-109.72,5,-116.05,3,-121.54,6,-126.47
51,4433.98,5750.00,1.50,0,4,0.03,NLOS,127.50,-8.41,-98.87,-71.09,3.41,117.63,0,1,-105.19,2,-108.45,0,-109.72,5,-116.04,3,-121.53,6,-126.46
