Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,4005.71,3400.00,2.00,0,24,0.03,NLOS,125.51,-5.51,-99.78,-72.00,0.42,20.57,0,32,-101.19,17,-111.91,25,-112.48,48,-113.57,40,-113.93,23,-114.10
1,4011.43,3400.00,2.00,0,24,0.03,NLOS,125.68,-5.51,-99.96,-72.17,0.13,20.57,0,32,-101.03,17,-111.98,25,-112.54,48,-113.53,40,-113.87,23,-114.14
2,4017.14,3400.00,2.00,0,24,0.03,NLOS,125.86,-5.51,-100.13,-72.35,-0.17,20.57,0,32,-100.87,17,-112.05,25,-112.60,48,-113.49,40,-113.80,23,-114.18
3,4022.86,3400.00,2.00,0,24,0.03,NLOS,126.04,-5.51,-100.31,-72.53,-0.46,20.57,0,32,-100.72,17,-112.13,25,-112.66,48,-113.45,40,-113.74,23,-114.22
4,4028.57,3400.00,2.00,0,24,0.03,NLOS,126.21,-5.51,-100.48,-72.70,-0.75,20.57,0,32,-100.57,17,-112.20,25,-112.72,48,-113.41,40,-113.68,23,-114.26
5,4034.29,3400.00,2.00,0,32,0.05,NLOS,119.67,0.35,-99.81,-72.02,0.74,20.57,1,31,-101.37,23,-105.33,24,-110.10,39,-115.81,16,-119.88,40,-120.13
6,4040.00,3400.00,2.00,0,32,0.05,NLOS,119.52,0.35,-99.65,-71.87,0.85,20.57,0,31,-101.31,23,-105.38,24,-110.27,39,-115.71,16,-119.94,40,-120.06
7,4045.72,3400.00,2.00,0,32,0.05,NLOS,119.37,0.35,-99.50,-71.72,0.97,20.57,0,31,-101.26,23,-105.42,24,-110.44,39,-115.61,40,-120.00,16,-120.00
8,4051.43,3400.00,2.00,0,32,0.05,NLOS,119.22,0.35,-99.36,-71.57,1.09,20.57,0,31,-101.20,23,-105.46,24,-110.60,39,-115.51,40,-119.94,16,-120.07
9,4057.15,3400.00,2.00,0,32,0.05,NLOS,119.08,0.35,-99.21,-71.43,1.20,20.57,0,31,-101.15,23,-105.50,24,-110.77,39,-115.41,40,-119.87,33,-120.11
10,4062.86,3400.00,2.00,0,32,0.05,NLOS,118.93,-1.10,-97.61,-69.83,6.03,20.57,0,24,-106.40,30,-107.30,40,-110.05,31,-112.30,23,-115.59,25,-115.67
11,4068.57,3400.00,2.00,0,32,0.05,NLOS,118.79,-1.10,-97.47,-69.69,6.24,20.57,0,24,-106.56,30,-107.29,40,-109.99,31,-112.25,23,-115.63,25,-115.73
12,4074.29,3400.00,2.00,0,32,0.06,NLOS,118.65,-1.10,-97.33,-69.55,6.45,20.57,0,24,-106.72,30,-107.28,40,-109.92,31,-112.20,23,-115.67,25,-115.80
13,4080.00,3400.00,2.00,0,32,0.06,NLOS,118.51,-1.10,-97.19,-69.41,6.64,20.57,0,24,-106.88,30,-107.27,40,-109.86,31,-112.15,23,-115.71,25,-115.86
14,4085.72,3400.00,2.00,0,32,0.06,NLOS,118.37,-1.10,-97.05,-69.27,6.84,20.57,0,24,-107.04,30,-107.26,40,-109.79,31,-112.10,23,-115.75,25,-115.93
15,4091.43,3400.00,2.00,0,32,0.06,NLOS,118.24,-7.68,-90.34,-62.56,12.49,20.57,0,24,-103.55,31,-114.31,46,-114.55,18,-117.20,40,-117.38,26,-117.47
16,4097.15,3400.00,2.00,0,32,0.06,NLOS,118.11,-7.68,-90.21,-62.42,12.75,20.57,0,24,-103.70,31,-114.27,46,-114.50,18,-117.24,40,-117.32,26,-117.49
17,4102.86,3400.00,2.00,0,32,0.06,NLOS,117.98,-7.68,-90.08,-62.30,13.00,20.57,0,24,-103.85,31,-114.23,46,-114.45,40,-117.25,18,-117.28,26,-117.51
18,4108.58,3400.00,2.00,0,32,0.06,NLOS,117.85,-7.68,-89.95,-62.17,13.25,20.57,0,24,-104.01,31,-114.18,46,-114.39,40,-117.19,18,-117.32,26,-117.53
19,4114.29,3400.00,2.00,0,32,0.06,NLOS,117.73,-7.68,-89.83,-62.05,13.49,20.57,0,24,-104.16,31,-114.14,46,-114.34,40,-117.13,18,-117.36,26,-117.55
