Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp,ue1_x,ue1_y,ue1_height,ue1_direction,ue1_connected_bs,ue1_los_probability,ue1_los_state,ue1_pathloss,ue1_shadow_fading,ue1_rsrp,ue1_prx,ue1_sinr,ue1_speed,ue1_handover,ue1_bs1_idx,ue1_bs1_rsrp,ue1_bs2_idx,ue1_bs2_rsrp,ue1_bs3_idx,ue1_bs3_rsrp,ue1_bs4_idx,ue1_bs4_rsrp,ue1_bs5_idx,ue1_bs5_rsrp,ue1_bs6_idx,ue1_bs6_rsrp,ue2_x,ue2_y,ue2_height,ue2_direction,ue2_connected_bs,ue2_los_probability,ue2_los_state,ue2_pathloss,ue2_shadow_fading,ue2_rsrp,ue2_prx,ue2_sinr,ue2_speed,ue2_handover,ue2_bs1_idx,ue2_bs1_rsrp,ue2_bs2_idx,ue2_bs2_rsrp,ue2_bs3_idx,ue2_bs3_rsrp,ue2_bs4_idx,ue2_bs4_rsrp,ue2_bs5_idx,ue2_bs5_rsrp,ue2_bs6_idx,ue2_bs6_rsrp,ue3_x,ue3_y,ue3_height,ue3_direction,ue3_connected_bs,ue3_los_probability,ue3_los_state,ue3_pathloss,ue3_shadow_fading,ue3_rsrp,ue3_prx,ue3_sinr,ue3_speed,ue3_handover,ue3_bs1_idx,ue3_bs1_rsrp,ue3_bs2_idx,ue3_bs2_rsrp,ue3_bs3_idx,ue3_bs3_rsrp,ue3_bs4_idx,ue3_bs4_rsrp,ue3_bs5_idx,ue3_bs5_rsrp,ue3_bs6_idx,ue3_bs6_rsrp,ue4_x,ue4_y,ue4_height,ue4_direction,ue4_connected_bs,ue4_los_probability,ue4_los_state,ue4_pathloss,ue4_shadow_fading,ue4_rsrp,ue4_prx,ue4_sinr,ue4_speed,ue4_handover,ue4_bs1_idx,ue4_bs1_rsrp,ue4_bs2_idx,ue4_bs2_rsrp,ue4_bs3_idx,ue4_bs3_rsrp,ue4_bs4_idx,ue4_bs4_rsrp,ue4_bs5_idx,ue4_bs5_rsrp,ue4_bs6_idx,ue4_bs6_rsrp
0,3000.00,3084.24,1.50,3,13,0.05,LOS,90.86,-4.59,-66.06,-38.27,39.22,56.75,0,26,-106.10,20,-108.20,14,-110.62,21,-111.05,19,-114.83,8,-117.76,3400.00,4314.70,1.50,1,21,0.12,NLOS,110.14,-4.99,-84.93,-57.15,4.78,52.93,0,14,-89.82,15,-109.43,28,-110.45,22,-115.30,2,-116.25,27,-116.47,4200.00,3084.53,1.50,3,26,0.09,NLOS,113.65,1.53,-94.96,-67.18,14.53,55.68,0,34,-114.34,32,-114.47,39,-114.70,20,-115.78,33,-116.60,27,-119.12,7592.85,4100.00,1.50,2,60,0.05,NLOS,121.64,-3.68,-97.74,-69.96,4.06,25.75,0,54,-103.46,53,-110.67,59,-110.97,41,-114.13,61,-116.43,66,-118.06,3189.28,2700.00,1.50,2,19,0.04,NLOS,122.52,-1.70,-100.60,-72.82,-0.05,38.58,0,20,-103.52,13,-104.83,6,-113.37,14,-115.74,27,-115.78,7,-116.16
1,3000.00,3068.47,1.50,3,13,0.06,LOS,90.31,-4.59,-65.51,-37.73,39.94,56.75,0,26,-106.07,20,-108.38,14,-110.99,21,-111.25,19,-114.57,8,-117.89,3400.00,4329.41,1.50,1,21,0.11,NLOS,111.16,-4.99,-85.95,-58.17,3.95,52.93,0,14,-90.02,15,-109.30,28,-110.37,22,-114.94,2,-116.23,27,-116.61,4200.00,3069.06,1.50,3,26,0.10,NLOS,112.62,1.53,-93.93,-66.15,15.59,55.68,0,32,-114.31,34,-114.50,39,-114.67,20,-115.87,33,-116.68,27,-119.54,7585.69,4100.00,1.50,2,60,0.04,NLOS,121.93,-3.68,-98.03,-70.25,3.67,25.75,0,54,-103.33,53,-110.52,59,-111.03,41,-114.06,61,-116.48,66,-118.15,3178.57,2700.00,1.50,2,19,0.04,NLOS,122.83,-1.70,-100.91,-73.12,-0.44,38.58,0,20,-103.65,13,-104.45,6,-113.22,14,-115.68,27,-115.87,7,-116.03
2,3000.00,3052.71,1.50,3,13,0.06,LOS,89.77,5.21,-74.76,-46.98,28.53,56.75,0,20,-107.27,19,-108.13,14,-111.97,7,-112.73,15,-115.53,26,-116.77,3400.00,4344.11,1.50,1,21,0.10,NLOS,112.14,-1.77,-90.15,-62.37,-1.22,52.93,0,14,-88.97,34,-114.37,23,-115.04,22,-115.19,27,-115.62,9,-118.05,4200.00,3053.60,1.50,3,26,0.11,NLOS,111.52,5.45,-96.76,-68.98,9.36,55.68,0,20,-109.17,33,-112.33,32,-115.35,27,-117.68,19,-119.11,7,-121.60,7578.54,4100.00,1.50,2,60,0.04,NLOS,122.22,-3.68,-98.32,-70.54,3.29,25.75,0,54,-103.21,53,-110.37,59,-111.09,41,-114.00,61,-116.53,66,-118.24,3167.85,2700.00,1.50,2,19,0.04,NLOS,123.13,-1.70,-101.21,-73.43,-0.85,38.58,0,20,-103.79,13,-104.06,6,-113.08,14,-115.61,7,-115.91,27,-115.96
3,3000.00,3036.95,1.50,3,13,0.06,LOS,89.24,5.21,-74.23,-46.45,29.11,56.75,0,20,-107.47,19,-107.87,14,-112.33,7,-112.79,15,-115.70,26,-116.74,3400.00,4358.82,1.50,1,21,0.09,NLOS,113.08,-1.77,-91.09,-63.31,-1.96,52.93,0,14,-89.16,34,-114.39,22,-114.81,23,-114.88,27,-115.76,9,-117.98,4200.00,3038.13,1.50,3,26,0.12,NLOS,110.36,5.45,-95.59,-67.81,10.59,55.68,0,20,-109.28,33,-112.42,32,-115.19,27,-118.07,19,-118.92,7,-121.61,7571.39,4100.00,1.50,2,60,0.04,NLOS,122.50,-3.68,-98.60,-70.82,2.91,25.75,0,54,-103.09,53,-110.22,59,-111.15,41,-113.94,61,-116.59,66,-118.34,3157.14,2700.00,1.50,2,19,0.04,NLOS,123.43,4.87,-108.08,-80.30,0.09,38.58,0,13,-112.45,20,-114.00,26,-114.80,0,-119.37,21,-119.71,27,-121.31
4,3000.00,3021.19,1.50,3,13,0.06,LOS,88.91,-0.93,-67.77,-39.99,31.37,56.75,0,14,-101.76,20,-103.69,7,-110.02,27,-112.33,21,-114.84,6,-118.71,3400.00,4373.52,1.50,1,14,0.02,LOS,107.75,-3.61,-83.92,-56.14,17.90,52.93,1,21,-102.53,22,-106.26,13,-113.61,27,-114.25,15,-115.01,3,-118.67,4200.00,3022.66,1.50,3,26,0.13,NLOS,109.11,2.16,-91.05,-63.27,13.12,55.68,0,33,-108.28,20,-110.39,21,-110.70,27,-116.44,19,-118.13,32,-118.38,7564.23,4100.00,1.50,2,53,0.04,NLOS,125.32,-3.48,-101.62,-73.84,2.09,25.75,1,60,-107.88,66,-108.91,59,-109.73,52,-110.32,67,-111.55,54,-113.45,3146.42,2700.00,1.50,2,19,0.04,NLOS,123.73,4.87,-108.38,-80.60,-0.30,38.58,0,13,-112.05,20,-114.15,26,-114.96,0,-119.28,21,-119.74,27,-121.40
5,3000.00,3005.42,1.50,3,13,0.07,LOS,88.63,-0.93,-67.48,-39.70,31.92,56.75,0,14,-102.10,20,-103.91,7,-110.09,27,-112.42,21,-115.04,6,-118.59,3400.00,4388.22,1.50,1,14,0.02,LOS,107.95,-3.61,-84.11,-56.33,18.43,52.93,0,21,-103.39,22,-105.87,13,-113.75,27,-114.39,15,-114.91,3,-118.63,4200.00,3007.19,1.50,3,26,0.15,NLOS,107.78,2.16,-89.72,-61.94,14.56,55.68,0,33,-108.37,20,-110.51,21,-110.87,27,-116.82,19,-117.95,32,-118.22,7557.08,4100.00,1.50,2,53,0.04,NLOS,125.17,-3.48,-101.47,-73.69,2.33,25.75,0,60,-108.15,66,-109.01,59,-109.79,52,-110.30,67,-111.64,54,-113.33,3135.70,2700.00,1.50,2,19,0.04,NLOS,124.03,4.87,-108.68,-80.90,-0.70,38.58,0,13,-111.63,20,-114.29,26,-115.12,0,-119.18,21,-119.77,6,-121.35
6,3000.00,2989.66,1.50,3,13,0.07,LOS,88.35,-5.88,-62.25,-34.47,46.14,56.75,0,20,-113.32,6,-113.46,14,-115.65,19,-118.83,26,-120.02,27,-120.42,3400.00,4402.93,1.50,1,14,0.02,LOS,108.14,-3.26,-84.66,-56.88,12.53,52.93,0,21,-97.52,28,-106.79,15,-110.09,16,-110.12,22,-113.31,8,-116.85,4200.00,2991.73,1.50,3,26,0.17,NLOS,106.35,3.05,-89.18,-61.39,18.58,55.68,0,32,-111.50,19,-114.20,27,-115.46,39,-116.20,33,-117.93,34,-119.80,7549.93,4100.00,1.50,2,53,0.04,NLOS,125.03,-3.48,-101.32,-73.54,2.56,25.75,0,60,-108.42,66,-109.10,59,-109.85,52,-110.28,67,-111.73,54,-113.21,3124.99,2700.00,1.50,2,19,0.04,NLOS,124.33,-5.71,-98.40,-70.62,-0.81,38.58,0,13,-99.70,20,-103.92,26,-106.12,28,-117.25,16,-119.39,14,-119.84
7,3000.00,2973.90,1.50,3,13,0.07,LOS,88.09,-5.88,-61.99,-34.21,46.48,56.75,0,6,-113.34,20,-113.56,14,-115.99,19,-118.56,26,-119.99,27,-120.51,3400.00,4417.63,1.50,1,14,0.02,LOS,108.34,-3.26,-84.86,-57.08,13.06,52.93,0,21,-98.31,28,-106.74,16,-109.94,15,-110.00,22,-112.90,8,-116.88,4200.00,2976.26,1.50,3,26,0.20,NLOS,104.80,3.05,-87.63,-59.85,20.09,55.68,0,32,-111.34,19,-114.02,27,-115.82,39,-116.18,33,-118.03,34,-119.95,7542.78,4100.00,1.50,2,53,0.04,NLOS,124.88,-3.48,-101.18,-73.40,2.79,25.75,0,60,-108.69,66,-109.19,59,-109.92,52,-110.26,67,-111.82,54,-113.09,3114.27,2700.00,1.50,2,19,0.04,NLOS,124.63,-5.71,-98.69,-70.91,-1.33,38.58,0,13,-99.27,20,-104.06,26,-106.28,28,-117.30,16,-119.38,14,-119.78
8,3000.00,2958.13,1.50,3,13,0.08,LOS,87.85,0.34,-67.97,-40.18,33.30,56.75,0,20,-101.98,19,-111.26,21,-113.48,14,-117.93,6,-119.97,15,-120.34,3400.00,4432.33,1.50,1,14,0.02,LOS,108.53,3.73,-92.05,-64.27,1.22,52.93,0,21,-93.83,15,-102.59,23,-112.75,22,-115.63,16,-115.84,28,-116.09,4200.00,2960.79,1.50,3,26,0.23,NLOS,103.12,-0.41,-82.49,-54.71,16.88,55.68,0,20,-99.82,27,-113.45,28,-114.85,19,-115.45,21,-118.62,8,-119.23,7535.62,4100.00,1.50,2,54,0.03,NLOS,126.59,-11.36,-95.01,-67.23,10.86,25.75,1,60,-109.05,53,-111.46,61,-114.83,47,-118.18,42,-119.06,68,-119.85,3103.56,2700.00,1.50,2,19,0.04,NLOS,124.92,-5.71,-98.99,-71.21,-1.86,38.58,0,13,-98.83,20,-104.21,26,-106.44,28,-117.34,16,-119.37,14,-119.72
9,3000.00,2942.37,1.50,3,13,0.08,LOS,87.62,0.34,-67.74,-39.96,33.71,56.75,0,20,-102.22,19,-111.00,21,-113.68,14,-118.25,6,-119.86,15,-120.50,3400.00,4447.04,1.50,1,14,0.02,LOS,108.73,3.73,-92.24,-64.46,1.65,52.93,0,21,-94.57,15,-102.52,23,-112.58,22,-115.20,16,-115.66,28,-116.05,4200.00,2945.32,1.50,3,26,0.27,NLOS,101.29,-0.41,-80.66,-52.88,18.85,55.68,0,20,-99.96,27,-113.79,28,-115.01,19,-115.27,21,-118.79,8,-119.28,7528.47,4100.00,1.50,2,54,0.03,NLOS,126.47,-11.36,-94.90,-67.12,11.05,25.75,0,60,-109.31,53,-111.32,61,-114.88,47,-118.06,42,-119.02,68,-119.90,3092.84,2700.00,1.50,2,20,0.03,NLOS,130.73,-14.87,-95.64,-67.85,10.70,38.58,1,13,-110.17,19,-111.28,21,-116.99,14,-117.87,27,-117.99,15,-121.96
