Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,5600.00,2779.81,69.00,3,46,1.00,LOS,82.85,-0.68,-61.95,-34.17,9.66,72.67,0,39,-74.90,38,-77.93,47,-79.01,31,-80.57,53,-81.18,30,-82.07
1,5600.00,2759.63,69.00,3,46,0.99,LOS,83.29,-0.68,-62.39,-34.61,9.29,72.67,0,39,-75.05,38,-77.79,47,-79.21,31,-80.58,53,-81.10,30,-82.00
2,5600.00,2739.44,69.00,3,46,0.99,LOS,83.80,1.62,-65.20,-37.42,6.61,72.67,0,53,-75.40,39,-77.90,38,-78.11,31,-80.52,24,-82.56,47,-83.01
3,5600.00,2719.25,69.00,3,46,0.99,LOS,84.38,1.62,-65.77,-37.99,6.03,72.67,0,53,-75.33,38,-77.98,39,-78.06,31,-80.54,24,-82.58,47,-83.20
4,5600.00,2699.07,69.00,3,46,0.99,LOS,84.98,-1.75,-63.01,-35.23,6.63,72.67,0,38,-71.68,39,-77.05,31,-79.09,53,-79.16,47,-81.62,16,-82.94
5,5600.00,2678.88,69.00,3,46,0.98,LOS,85.59,-1.75,-63.63,-35.84,5.96,72.67,0,38,-71.56,39,-77.21,53,-79.10,31,-79.11,47,-81.80,16,-82.94
6,5600.00,2658.69,69.00,3,46,0.98,LOS,86.21,-0.35,-65.64,-37.86,3.91,72.67,0,38,-71.72,39,-76.89,53,-78.59,47,-80.43,32,-80.50,48,-80.75
7,5600.00,2638.51,69.00,3,46,0.98,LOS,86.81,-0.35,-66.25,-38.46,3.27,72.67,0,38,-71.61,39,-77.06,53,-78.54,32,-80.56,47,-80.61,48,-80.85
8,5600.00,2618.32,69.00,3,46,0.97,LOS,87.41,3.92,-71.11,-43.33,-1.42,72.67,0,38,-71.89,39,-76.09,47,-79.26,61,-80.21,32,-81.62,30,-82.09
9,5600.00,2598.14,69.00,3,46,0.97,LOS,87.99,3.92,-71.69,-43.90,-2.01,72.67,0,38,-71.79,39,-76.25,47,-79.43,61,-80.23,32,-81.69,30,-82.03
