Bước,ue0_x,ue0_y,ue0_huong,ue0_BS_ketnoi,ue0_prx_hientai,ue0_SINR,ue0_speed,ue0_handover
0,8200.00,4222.87,1,70,-102.75,-31.37,27.44,0
1,8200.00,4245.74,1,70,-98.19,-32.32,27.44,0
2,8200.00,4268.61,1,70,-98.21,-37.38,27.44,0
3,8200.00,4291.48,1,70,-100.30,-36.11,27.44,0
4,8200.00,4314.35,1,70,-99.12,-37.42,27.44,0
5,8200.00,4337.22,1,70,-120.04,-66.99,27.44,0
6,8200.00,4360.08,1,70,-110.85,-42.25,27.44,0
7,8200.00,4382.95,1,70,-108.05,-37.78,27.44,0
8,8194.18,4400.00,2,70,-110.97,-50.90,27.44,0
9,8171.31,4400.00,2,70,-115.02,-53.34,27.44,0
10,8148.44,4400.00,2,70,-117.23,-48.59,27.44,0
11,8125.57,4400.00,2,70,-114.38,-46.99,27.44,0
12,8102.70,4400.00,2,70,-112.06,-53.37,27.44,0
13,8079.83,4400.00,2,70,-107.85,-39.83,27.44,0
14,8056.96,4400.00,2,70,-108.22,-38.32,27.44,0
15,8034.09,4400.00,2,70,-100.41,-33.31,27.44,0
16,8011.22,4400.00,2,70,-107.09,-38.04,27.44,0
17,8011.65,4400.00,0,70,-104.55,-48.34,27.44,0
18,8034.52,4400.00,0,70,-107.10,-44.54,27.44,0
19,8057.39,4400.00,0,70,-118.98,-67.08,27.44,0
20,8080.25,4400.00,0,70,-130.20,-74.18,27.44,0
21,8103.12,4400.00,0,70,-119.91,-59.92,27.44,0
22,8125.99,4400.00,0,70,-125.55,-67.71,27.44,0
23,8148.86,4400.00,0,70,-110.73,-61.41,27.44,0
24,8171.73,4400.00,0,70,-113.49,-41.57,27.44,0
25,8194.60,4400.00,0,70,-111.32,-40.35,27.44,0
26,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
27,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
28,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
29,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
30,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
31,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
32,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
33,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
34,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
35,8200.00,4400.00,2,70,-113.57,-44.84,0.00,0
36,8188.57,4400.00,2,70,-106.99,-43.62,13.72,0
37,8165.70,4400.00,2,70,-108.76,-41.34,27.44,0
38,8142.83,4400.00,2,70,-119.85,-53.33,27.44,0
39,8119.96,4400.00,2,70,-105.00,-44.98,27.44,0
40,8097.09,4400.00,2,70,-98.82,-33.78,27.44,0
41,8074.22,4400.00,2,70,-89.61,-22.13,27.44,0
42,8051.35,4400.00,2,70,-102.00,-35.99,27.44,0
43,8028.48,4400.00,2,70,-93.33,-38.27,27.44,0
44,8005.61,4400.00,2,70,-89.49,-44.66,27.44,0
45,8000.00,4417.26,1,70,-108.99,-52.27,27.44,0
46,8000.00,4440.13,1,70,-103.69,-35.48,27.44,0
47,8000.00,4463.00,1,99,-63.39,5.86,27.44,1
48,8000.00,4485.87,1,99,-70.00,-3.00,27.44,0
49,8000.00,4508.74,1,99,-61.12,6.38,27.44,0
50,8000.00,4531.60,1,99,-71.24,-15.23,27.44,0
51,8000.00,4554.47,1,99,-74.23,-9.72,27.44,0
52,8000.00,4577.34,1,99,-76.00,-10.53,27.44,0
53,8000.00,4600.21,1,99,-85.75,-19.95,27.44,0
54,8000.00,4623.08,1,99,-82.57,-23.67,27.44,0
55,8000.00,4645.95,1,99,-82.81,-16.38,27.44,0
56,8000.00,4668.82,1,99,-85.39,-29.17,27.44,0
57,8000.00,4691.69,1,99,-84.42,-16.19,27.44,0
58,8000.00,4714.56,1,99,-82.62,-1.60,27.44,0
59,8000.00,4737.43,1,99,-64.76,13.95,27.44,0
60,8000.00,4760.30,1,99,-87.66,-13.36,27.44,0
61,8000.00,4783.17,1,99,-78.96,-20.76,27.44,0
62,8006.04,4800.00,0,99,-55.52,3.57,27.44,0
63,8028.90,4800.00,0,99,-53.86,10.50,27.44,0
64,8051.77,4800.00,0,99,-63.45,-10.36,27.44,0
65,8074.64,4800.00,0,99,-68.21,-7.51,27.44,0
66,8097.51,4800.00,0,99,-75.04,-10.02,27.44,0
67,8120.38,4800.00,0,99,-74.37,-5.23,27.44,0
68,8143.25,4800.00,0,99,-34.75,35.73,27.44,0
69,8166.12,4800.00,0,99,-44.44,25.90,27.44,0
70,8188.99,4800.00,0,99,-69.77,1.19,27.44,0
71,8211.86,4800.00,0,99,-47.07,17.09,27.44,0
72,8234.73,4800.00,0,99,-38.60,24.25,27.44,0
73,8257.60,4800.00,0,99,-45.35,16.16,27.44,0
74,8280.47,4800.00,0,99,-44.72,21.25,27.44,0
75,8303.34,4800.00,0,99,-48.98,19.57,27.44,0
76,8326.21,4800.00,0,99,-70.64,3.85,27.44,0
77,8349.07,4800.00,0,99,-73.83,4.83,27.44,0
78,8371.94,4800.00,0,99,-77.54,-6.24,27.44,0
79,8394.81,4800.00,0,99,-76.97,-3.65,27.44,0
80,8417.68,4800.00,0,99,-77.50,-9.55,27.44,0
81,8440.55,4800.00,0,99,-74.72,-4.25,27.44,0
82,8463.42,4800.00,0,99,-68.28,-0.56,27.44,0
83,8486.29,4800.00,0,99,-58.04,17.29,27.44,0
84,8509.16,4800.00,0,99,-64.28,-2.27,27.44,0
85,8532.03,4800.00,0,99,-90.88,-30.77,27.44,0
86,8554.90,4800.00,0,99,-91.68,-18.63,27.44,0
87,8577.77,4800.00,0,99,-76.77,-16.53,27.44,0
88,8600.00,4800.00,2,78,-106.14,-42.40,0.00,1
89,8600.00,4800.00,2,99,-72.56,-8.20,0.00,1
90,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
91,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
92,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
93,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
94,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
95,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
96,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
97,8600.00,4800.00,2,99,-72.56,-8.20,0.00,0
98,8588.57,4800.00,2,99,-73.20,-14.36,13.72,0
99,8565.70,4800.00,2,99,-74.52,-18.36,27.44,0
100,8542.83,4800.00,2,99,-75.17,-12.26,27.44,0
