Bước,ue0_x,ue0_y,ue0_huong,ue0_BS_ketnoi,ue0_prx_hientai,ue0_SINR,ue0_speed,ue0_handover,ue1_x,ue1_y,ue1_huong,ue1_BS_ketnoi,ue1_prx_hientai,ue1_SINR,ue1_speed,ue1_handover
0,7164.11,5900,2,49,-118.89,-61.22,43.07,0,3222.35,6100,0,70,-76.3,-13.05,26.82,0
1,7128.22,5900,2,49,-118.51,-57.64,43.07,0,3244.69,6100,0,70,-91.09,-24.92,26.82,0
2,7092.33,5900,2,69,-85.92,-19.74,43.07,1,3267.04,6100,0,70,-85.43,-8.03,26.82,0
3,7056.44,5900,2,69,-96.52,-16.74,43.07,0,3289.39,6100,0,70,-68.77,2.36,26.82,0
4,7020.55,5900,2,69,-64.58,3.77,43.07,0,3311.74,6100,0,70,-56.16,19.1,26.82,0
5,7015.34,5900,0,69,-95.43,-27.2,43.07,0,3334.08,6100,0,70,-52.56,3.22,26.82,0
6,7051.23,5900,0,69,-66.71,11.86,43.07,0,3356.43,6100,0,70,-61.51,-4.82,26.82,0
7,7087.12,5900,0,69,-74.49,7.64,43.07,0,3378.78,6100,0,70,-72.34,-13.12,26.82,0
8,7123.01,5900,0,69,-87.89,-15.45,43.07,0,3400,6098.88,3,70,-73.18,-10.94,26.82,0
9,7158.9,5900,0,69,-76.83,-5.02,43.07,0,3400,6076.53,3,70,-64.98,6.39,26.82,0
10,7194.79,5900,0,69,-89.44,-18.48,43.07,0,3400,6054.18,3,70,-82.71,-9.92,26.82,0
11,7200,5869.33,3,69,-81.99,-22.15,43.07,0,3400,6031.84,3,70,-61.18,2.29,26.82,0
12,7200,5833.44,3,69,-86.08,-14.8,43.07,0,3400,6009.49,3,70,-67.76,2.93,26.82,0
13,7200,5797.55,3,69,-103.86,-36.67,43.07,0,3400,5987.14,3,70,-56.75,13.53,26.82,0
14,7200,5761.66,3,69,-86.49,-20.26,43.07,0,3400,5964.79,3,70,-56.96,3.79,26.82,0
