Step,UE_ID,x,y,direction,connected_bs,current_prx,sinr,speed,handover
0,0,1433.27,8000.00,0,7,-116.12,-45.43,39.92,0
0,1,2444.38,5400.00,0,11,-110.22,-38.37,53.25,0
0,2,7200.00,4958.31,3,98,-84.56,-16.55,50.03,0
0,3,6557.56,3000.00,2,87,-67.25,-1.45,50.93,0
0,4,8400.00,4445.58,1,99,-83.24,-10.08,54.70,0
0,5,8027.15,3400.00,0,69,-99.71,-35.28,32.58,0
0,6,4000.00,2840.03,1,85,-67.81,-11.19,48.04,0
0,7,4817.72,3400.00,0,91,-84.33,-27.58,21.26,0
0,8,4436.24,6200.00,0,102,-50.69,16.34,43.49,0
0,9,1200.00,3427.36,1,2,-83.62,-16.74,32.84,0
0,10,3365.09,6200.00,2,101,-77.79,-13.01,41.89,0
0,11,4764.03,2000.00,2,30,-115.39,-48.18,43.16,0
0,12,7400.00,5618.98,1,104,-75.10,-9.90,22.78,0
0,13,1800.00,5970.67,3,12,-100.78,-28.90,35.20,0
0,14,7200.00,4818.24,1,98,-55.43,-0.53,21.89,0
0,15,8400.00,4848.11,1,99,-64.74,6.14,57.73,0
0,16,4400.00,2367.55,3,85,-79.30,-5.56,38.94,0
0,17,3218.94,4400.00,0,18,-102.65,-40.20,22.72,0
0,18,7232.84,3000.00,0,87,-95.23,-25.36,39.40,0
0,19,5017.48,6600.00,0,102,-75.70,-14.87,20.98,0
0,20,6362.13,7400.00,2,59,-107.21,-49.92,45.44,0
0,21,5000.00,3831.26,1,91,-44.34,19.75,37.51,0
0,22,1219.06,5800.00,0,4,-116.90,-55.00,22.87,0
0,23,5824.06,2000.00,0,45,-108.05,-47.75,28.87,0
0,24,5552.58,6600.00,2,43,-107.21,-44.84,56.90,0
0,25,1000.00,6960.91,3,6,-100.43,-23.91,46.91,0
0,26,1420.27,5800.00,0,12,-103.54,-31.31,24.32,0
0,27,1800.00,2168.93,3,83,-62.10,18.55,37.28,0
0,28,4760.17,6600.00,2,102,-59.63,5.37,47.79,0
0,29,5564.18,6200.00,2,102,-70.07,-17.48,42.99,0
0,30,1423.63,7800.00,0,7,-97.48,-35.76,28.35,0
0,31,1800.00,2156.10,3,83,-84.89,-12.83,52.68,0
0,32,7231.19,7400.00,0,109,-56.00,13.29,37.43,0
0,33,8969.99,2600.00,2,76,-111.01,-43.93,36.01,0
0,34,7000.00,4951.76,3,98,-64.04,5.57,57.89,0
0,35,3600.00,7630.22,1,29,-91.77,-34.02,36.26,0
0,36,7572.24,5200.00,2,64,-100.98,-37.86,33.31,0
0,37,3418.11,4200.00,0,90,-83.47,-12.48,21.73,0
0,38,2800.00,7843.88,1,22,-99.42,-31.46,52.65,0
0,39,1042.95,7000.00,0,6,-94.83,-33.37,51.54,0
0,40,1561.07,5200.00,2,94,-54.79,13.57,46.72,0
0,41,3020.48,3800.00,0,17,-101.66,-44.15,24.57,0
0,42,2374.00,7000.00,2,21,-107.00,-56.20,31.20,0
0,43,2247.16,4800.00,0,94,-72.79,-10.37,56.60,0
0,44,3753.12,7800.00,2,29,-119.57,-49.60,56.26,0
0,45,7572.43,6800.00,2,73,-110.83,-42.27,33.08,0
0,46,6966.47,7000.00,2,109,-52.67,14.23,40.23,0
0,47,1400.00,6027.08,1,5,-118.72,-48.14,32.50,0
0,48,8600.00,4179.17,3,78,-96.75,-32.37,24.99,0
0,49,5000.00,7167.94,3,44,-96.13,-28.60,38.47,0
0,50,8200.00,7621.84,1,110,-88.02,-25.21,26.21,0
0,51,3200.00,6842.33,1,106,-75.50,-8.15,50.80,0
0,52,3400.00,3434.75,1,90,-61.34,2.80,41.70,0
0,53,3400.00,4230.45,1,90,-69.97,-9.86,36.54,0
0,54,6600.00,3431.81,1,92,-65.51,-5.85,38.17,0
0,55,3800.00,2231.96,1,23,-107.54,-37.30,38.35,0
0,56,2200.00,3968.20,3,89,-66.61,0.45,38.15,0
0,57,3200.00,4582.03,3,95,-37.49,25.31,21.56,0
0,58,1000.00,2953.76,3,1,-102.86,-36.86,55.49,0
0,59,4600.00,5021.49,1,96,-48.53,18.40,25.79,0
0,60,1200.00,5846.87,1,4,-119.14,-42.48,56.24,0
0,61,8770.18,4200.00,2,78,-107.28,-35.85,35.79,0
0,62,6000.00,5648.88,1,103,-77.89,-25.54,58.66,0
0,63,7047.13,7800.00,0,109,-81.50,-9.49,56.55,0
0,64,1000.00,2033.61,1,0,-106.88,-39.39,40.33,0
0,65,4200.00,5221.73,1,96,-70.47,-11.82,26.07,0
0,66,5400.00,7552.63,3,108,-75.83,-14.22,56.85,0
0,67,1800.00,2436.47,1,83,-62.59,1.56,43.77,0
0,68,5624.48,3400.00,0,47,-98.83,-31.35,29.38,0
0,69,8021.00,8000.00,0,74,-99.96,-27.93,25.20,0
0,70,7979.35,5800.00,2,104,-81.77,-18.24,24.78,0
0,71,3000.00,5030.49,1,95,-58.66,-3.76,36.58,0
0,72,5600.00,6770.05,3,108,-88.98,-26.35,35.94,0
0,73,5600.00,2178.97,3,45,-94.20,-29.99,25.23,0
0,74,2400.00,4221.50,1,89,-62.34,10.86,25.80,0
0,75,3000.00,6238.17,1,20,-99.18,-28.83,45.81,0
0,76,6381.84,5800.00,2,103,-53.18,11.83,21.79,0
0,77,8600.00,4632.57,1,99,-63.56,5.06,39.08,0
0,78,5634.84,5200.00,0,97,-44.45,22.03,41.81,0
0,79,8800.00,3180.47,3,76,-102.45,-25.81,23.43,0
0,80,5200.00,4826.44,1,97,-68.18,-3.41,31.73,0
0,81,4600.00,6177.36,3,102,-55.63,12.91,27.17,0
0,82,7171.72,7200.00,2,109,-68.04,-5.14,33.93,0
0,83,8639.46,6000.00,0,80,-90.72,-23.00,47.35,0
0,84,5618.20,6000.00,0,50,-100.78,-51.66,21.84,0
0,85,7200.00,7366.79,3,109,-60.32,9.70,39.85,0
0,86,6222.34,8000.00,0,59,-122.26,-51.81,26.80,0
0,87,6000.00,2445.26,1,86,-73.21,-5.31,54.31,0
0,88,6848.62,6600.00,0,58,-109.24,-50.59,58.34,0
0,89,4229.19,2000.00,0,30,-93.10,-30.96,35.02,0
0,90,7400.00,7832.90,1,67,-91.79,-22.93,39.48,0
0,91,6800.00,4648.08,1,98,-65.35,1.62,57.70,0
0,92,4583.31,8000.00,2,37,-114.35,-43.67,20.02,0
0,93,3363.77,5200.00,2,95,-80.33,-17.15,43.48,0
0,94,7000.00,7150.61,3,109,-51.62,21.79,59.26,0
0,95,4225.58,3000.00,0,85,-61.82,-3.02,30.69,0
0,96,2800.00,7374.84,3,106,-77.50,-9.20,30.19,0
0,97,2230.81,3000.00,0,83,-87.80,-20.21,36.97,0
0,98,2231.32,4600.00,0,10,-110.97,-53.31,37.58,0
0,99,8800.00,2044.82,1,75,-101.50,-40.99,53.78,0
1,0,1466.53,8000.00,0,7,-107.42,-42.07,39.92,0
1,1,2488.76,5400.00,0,11,-101.72,-38.87,53.25,0
1,2,7200.00,4916.62,3,98,-63.46,-12.28,50.03,0
1,3,6515.12,3000.00,2,87,-83.03,-10.51,50.93,0
1,4,8400.00,4491.16,1,99,-89.75,-16.31,54.70,0
1,5,8054.29,3400.00,0,69,-88.99,-25.79,32.58,0
1,6,4000.00,2880.06,1,85,-63.14,-4.34,48.04,0
1,7,4835.43,3400.00,0,91,-77.05,-22.01,21.26,0
1,8,4472.48,6200.00,0,102,-77.71,-19.82,43.49,0
1,9,1200.00,3454.73,1,2,-110.00,-38.87,32.84,0
1,10,3330.18,6200.00,2,101,-81.54,-12.47,41.89,0
1,11,4728.07,2000.00,2,38,-108.80,-38.38,43.16,1
1,12,7400.00,5637.96,1,104,-87.96,-21.78,22.78,0
1,13,1800.00,5941.34,3,12,-114.76,-52.51,35.20,0
1,14,7200.00,4836.49,1,98,-54.96,7.93,21.89,0
1,15,8400.00,4896.22,1,99,-81.75,-10.76,57.73,0
1,16,4400.00,2335.10,3,85,-77.39,-9.13,38.94,0
1,17,3237.87,4400.00,0,25,-99.76,-35.34,22.72,1
1,18,7265.67,3000.00,0,87,-88.45,-28.38,39.40,0
1,19,5034.97,6600.00,0,102,-60.81,-9.95,20.98,0
1,20,6324.26,7400.00,2,59,-113.04,-43.43,45.44,0
1,21,5000.00,3862.51,1,91,-43.04,2.65,37.51,0
1,22,1238.12,5800.00,0,4,-111.04,-47.57,22.87,0
1,23,5848.11,2000.00,0,45,-103.00,-43.89,28.87,0
1,24,5505.16,6600.00,2,43,-107.63,-57.14,56.90,0
1,25,1000.00,6921.81,3,6,-105.92,-36.51,46.91,0
1,26,1440.53,5800.00,0,12,-108.58,-42.07,24.32,0
1,27,1800.00,2137.86,3,83,-64.47,18.65,37.28,0
1,28,4720.35,6600.00,2,102,-70.11,-10.11,47.79,0
1,29,5528.36,6200.00,2,102,-84.07,-14.07,42.99,0
1,30,1447.25,7800.00,0,7,-102.79,-39.46,28.35,0
1,31,1800.00,2112.20,3,83,-99.27,-29.19,52.68,0
1,32,7262.38,7400.00,0,109,-64.59,3.59,37.43,0
1,33,8939.99,2600.00,2,76,-109.30,-40.93,36.01,0
1,34,7000.00,4903.52,3,98,-71.06,0.07,57.89,0
1,35,3600.00,7660.43,1,29,-93.26,-33.24,36.26,0
1,36,7544.49,5200.00,2,64,-106.67,-46.02,33.31,0
1,37,3436.21,4200.00,0,90,-81.90,-21.36,21.73,0
1,38,2800.00,7887.75,1,22,-95.45,-37.59,52.65,0
1,39,1085.90,7000.00,0,6,-99.81,-33.78,51.54,0
1,40,1522.14,5200.00,2,94,-80.84,-8.96,46.72,0
1,41,3040.96,3800.00,0,17,-107.73,-56.52,24.57,0
1,42,2348.00,7000.00,2,13,-98.51,-33.41,31.20,1
1,43,2294.33,4800.00,0,94,-83.36,-18.17,56.60,0
1,44,3706.23,7800.00,2,29,-103.56,-26.32,56.26,0
1,45,7544.87,6800.00,2,66,-100.34,-33.86,33.08,1
1,46,6932.95,7000.00,2,109,-81.19,-12.52,40.23,0
1,47,1400.00,6054.16,1,5,-127.74,-53.69,32.50,0
1,48,8600.00,4158.34,3,78,-107.94,-51.12,24.99,0
1,49,5000.00,7135.88,3,44,-108.10,-53.09,38.47,0
1,50,8200.00,7643.68,1,110,-71.24,7.93,26.21,0
1,51,3200.00,6884.66,1,106,-54.26,11.00,50.80,0
1,52,3400.00,3469.50,1,90,-55.57,12.16,41.70,0
1,53,3400.00,4260.91,1,90,-63.54,-4.86,36.54,0
1,54,6600.00,3463.61,1,92,-55.03,7.05,38.17,0
1,55,3800.00,2263.92,1,23,-111.39,-49.94,38.35,0
1,56,2200.00,3936.41,3,89,-71.68,-9.28,38.15,0
1,57,3200.00,4564.07,3,95,-55.36,8.90,21.56,0
1,58,1000.00,2907.52,3,1,-108.87,-38.01,55.49,0
1,59,4600.00,5042.98,1,96,-46.76,10.72,25.79,0
1,60,1200.00,5893.73,1,4,-109.12,-39.29,56.24,0
1,61,8740.35,4200.00,2,78,-106.36,-40.60,35.79,0
1,62,6000.00,5697.76,1,103,-81.18,-18.40,58.66,0
1,63,7094.26,7800.00,0,109,-69.85,-0.80,56.55,0
1,64,1000.00,2067.22,1,0,-107.01,-40.69,40.33,0
1,65,4200.00,5243.45,1,96,-89.62,-33.80,26.07,0
1,66,5400.00,7505.26,3,108,-85.41,-17.43,56.85,0
1,67,1800.00,2472.95,1,83,-63.13,8.36,43.77,0
1,68,5648.96,3400.00,0,46,-106.65,-42.26,29.38,1
1,69,8042.01,8000.00,0,74,-100.20,-29.67,25.20,0
1,70,7958.70,5800.00,2,72,-89.59,-26.90,24.78,1
1,71,3000.00,5060.97,1,95,-69.14,-20.76,36.58,0
1,72,5600.00,6740.10,3,108,-83.45,-20.64,35.94,0
1,73,5600.00,2157.94,3,86,-81.23,-8.65,25.23,1
1,74,2400.00,4243.01,1,89,-90.93,-20.87,25.80,0
1,75,3000.00,6276.35,1,20,-95.54,-34.84,45.81,0
1,76,6363.68,5800.00,2,103,-52.48,-5.68,21.79,0
1,77,8600.00,4665.13,1,99,-77.81,-8.38,39.08,0
1,78,5669.68,5200.00,0,97,-74.32,-19.25,41.81,0
1,79,8800.00,3160.95,3,76,-116.12,-43.09,23.43,0
1,80,5200.00,4852.88,1,97,-64.12,13.32,31.73,0
1,81,4600.00,6154.72,3,102,-79.20,-11.81,27.17,0
1,82,7143.45,7200.00,2,109,-56.54,10.64,33.93,0
1,83,8678.91,6000.00,0,80,-92.08,-20.44,47.35,0
1,84,5636.40,6000.00,0,50,-103.44,-43.11,21.84,0
1,85,7200.00,7333.58,3,109,-67.24,-4.22,39.85,0
1,86,6244.67,8000.00,0,59,-111.31,-39.31,26.80,0
1,87,6000.00,2490.52,1,86,-55.42,5.21,54.31,0
1,88,6897.23,6600.00,0,58,-104.48,-39.70,58.34,0
1,89,4258.37,2000.00,0,30,-91.06,-16.23,35.02,0
1,90,7400.00,7865.81,1,67,-108.12,-35.30,39.48,0
1,91,6800.00,4696.16,1,98,-66.32,-3.53,57.70,0
1,92,4566.63,8000.00,2,37,-119.40,-55.76,20.02,0
1,93,3327.54,5200.00,2,95,-82.04,-27.32,43.48,0
1,94,7000.00,7101.23,3,109,-60.85,3.49,59.26,0
1,95,4251.16,3000.00,0,85,-51.86,6.11,30.69,0
1,96,2800.00,7349.68,3,106,-79.81,-15.65,30.19,0
1,97,2261.61,3000.00,0,83,-90.65,-29.23,36.97,0
1,98,2262.63,4600.00,0,11,-98.99,-41.99,37.58,1
1,99,8800.00,2089.64,1,75,-96.82,-34.64,53.78,0
2,0,1499.80,8000.00,0,7,-112.29,-45.18,39.92,0
2,1,2533.14,5400.00,0,11,-106.80,-49.59,53.25,0
2,2,7200.00,4874.93,3,98,-63.96,-9.70,50.03,0
2,3,6472.68,3000.00,2,87,-70.43,-5.68,50.93,0
2,4,8400.00,4536.74,1,99,-85.46,-19.27,54.70,0
2,5,8081.44,3400.00,0,69,-109.87,-41.73,32.58,0
2,6,4000.00,2920.09,1,85,-42.48,28.08,48.04,0
2,7,4853.15,3400.00,0,91,-69.97,-7.28,21.26,0
