Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,5942.48,4429.50,10.50,0,11,0.10,NLOS,106.96,-4.02,-82.73,-54.95,19.02,26.93,0,7,-106.88,10,-106.92,9,-108.17,14,-108.18,15,-112.62,12,-114.51
1,5949.96,4429.50,10.50,0,11,0.09,NLOS,107.40,-4.02,-83.16,-55.38,18.59,26.93,0,10,-106.96,7,-107.01,14,-108.00,9,-108.21,15,-112.51,12,-114.53
2,5957.44,4429.50,10.50,0,11,0.09,NLOS,107.82,-4.02,-83.59,-55.81,18.16,26.93,0,10,-107.01,7,-107.13,14,-107.82,9,-108.25,15,-112.40,12,-114.56
3,5964.92,4429.50,10.50,0,11,0.09,NLOS,108.24,-4.02,-84.01,-56.23,17.74,26.93,0,10,-107.06,7,-107.25,14,-107.64,9,-108.29,15,-112.29,12,-114.58
4,5972.40,4429.50,10.50,0,11,0.08,NLOS,108.66,-5.65,-82.80,-55.01,16.80,26.93,0,10,-104.23,14,-105.00,7,-107.35,8,-110.13,15,-110.27,13,-111.42
5,5979.88,4429.50,10.50,0,11,0.08,NLOS,109.07,-5.65,-83.20,-55.42,16.37,26.93,0,10,-104.28,14,-104.81,7,-107.47,15,-110.16,8,-110.23,13,-111.43
6,5987.36,4429.50,10.50,0,11,0.08,NLOS,109.47,-5.65,-83.61,-55.83,15.95,26.93,0,10,-104.33,14,-104.63,7,-107.59,15,-110.04,8,-110.32,13,-111.44
7,5994.84,4429.50,10.50,0,11,0.07,NLOS,109.87,-5.65,-84.00,-56.22,15.53,26.93,0,10,-104.38,14,-104.44,7,-107.70,15,-109.93,8,-110.42,13,-111.45
8,6002.32,4429.50,10.50,0,11,0.07,NLOS,110.26,0.72,-90.76,-62.98,7.08,26.93,0,15,-98.69,14,-108.06,7,-111.42,13,-112.97,12,-113.95,4,-117.65
9,6009.80,4429.50,10.50,0,11,0.07,NLOS,110.64,0.72,-91.14,-63.36,6.59,26.93,0,15,-98.58,14,-107.87,7,-111.53,13,-112.98,12,-113.98,4,-117.72
10,6017.28,4429.50,10.50,0,11,0.07,NLOS,111.02,0.72,-91.52,-63.74,6.11,26.93,0,15,-98.47,14,-107.68,7,-111.65,13,-112.99,12,-114.01,4,-117.79
11,6024.76,4429.50,10.50,0,11,0.07,NLOS,111.39,0.72,-91.89,-64.11,5.64,26.93,0,15,-98.36,14,-107.49,7,-111.76,13,-113.00,12,-114.05,4,-117.86
12,6032.24,4429.50,10.50,0,11,0.06,NLOS,111.76,-0.63,-90.91,-63.13,4.81,26.93,0,14,-97.82,10,-102.71,15,-103.81,16,-109.91,5,-111.23,7,-114.80
