Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,1792.51,4133.50,15.00,0,1,0.15,NLOS,102.03,8.94,-90.75,-62.97,10.66,34.23,0,6,-106.06,5,-107.63,3,-108.07,7,-108.72,2,-110.73,9,-112.33
1,1802.01,4133.50,15.00,0,1,0.16,NLOS,101.23,8.94,-89.95,-62.17,11.35,34.23,0,6,-105.92,5,-107.49,3,-108.06,7,-108.66,2,-110.69,9,-112.26
2,1811.52,4133.50,15.00,0,1,0.17,NLOS,100.40,8.94,-89.12,-61.34,12.08,34.23,0,6,-105.78,5,-107.35,3,-108.05,7,-108.60,2,-110.65,9,-112.18
3,1821.03,4133.50,15.00,0,1,0.18,NLOS,99.53,2.87,-82.18,-54.40,11.02,34.23,0,0,-95.95,6,-97.17,2,-106.64,5,-111.48,12,-115.94,7,-116.50
4,1830.54,4133.50,15.00,0,1,0.20,NLOS,98.60,2.87,-81.26,-53.48,11.86,34.23,0,0,-95.92,6,-97.02,2,-106.60,5,-111.33,12,-115.89,7,-116.44
5,1840.04,4133.50,15.00,0,1,0.21,NLOS,97.63,2.87,-80.28,-52.50,12.75,34.23,0,0,-95.88,6,-96.88,2,-106.57,5,-111.19,12,-115.85,7,-116.38
6,1849.55,4133.50,15.00,0,1,0.23,NLOS,96.59,-2.88,-73.49,-45.71,26.29,34.23,0,5,-104.01,2,-104.64,6,-106.61,15,-108.14,7,-111.30,11,-116.79
7,1859.06,4133.50,15.00,0,1,0.25,NLOS,95.49,-2.88,-72.38,-44.60,27.29,34.23,0,5,-103.86,2,-104.61,6,-106.47,15,-108.07,7,-111.25,11,-116.72
8,1868.56,4133.50,15.00,0,1,0.27,NLOS,94.31,-2.88,-71.21,-43.42,28.37,34.23,0,5,-103.71,2,-104.58,6,-106.32,15,-108.01,7,-111.19,11,-116.64
9,1878.07,4133.50,15.00,0,1,0.30,NLOS,93.04,-0.26,-72.56,-44.78,30.11,34.23,0,7,-106.17,9,-108.18,2,-109.12,5,-111.20,6,-111.21,3,-111.59
10,1887.58,4133.50,15.00,0,1,0.32,NLOS,91.67,-0.26,-71.19,-43.41,31.40,34.23,0,7,-106.11,9,-108.11,2,-109.10,5,-111.06,6,-111.06,3,-111.59
11,1897.09,4133.50,15.00,0,1,0.36,NLOS,90.19,-0.26,-69.71,-41.92,32.81,34.23,0,7,-106.06,9,-108.03,2,-109.07,5,-110.91,6,-110.91,3,-111.58
12,1906.59,4133.50,15.00,0,1,0.39,NLOS,88.56,-8.03,-60.32,-32.53,39.76,34.23,0,6,-103.41,0,-106.09,5,-108.75,2,-110.62,10,-114.89,12,-115.84
13,1916.10,4133.50,15.00,0,1,0.44,NLOS,86.76,-8.03,-58.52,-30.74,41.46,34.23,0,6,-103.25,0,-106.08,5,-108.60,2,-110.60,10,-114.79,12,-115.79
14,1925.61,4133.50,15.00,0,1,0.49,NLOS,84.75,-8.03,-56.51,-28.73,43.36,34.23,0,6,-103.10,0,-106.06,5,-108.45,2,-110.58,10,-114.69,12,-115.74
15,1935.11,4133.50,15.00,0,1,0.55,NLOS,82.48,-0.82,-61.44,-33.65,35.57,34.23,0,0,-99.24,2,-104.73,6,-106.04,5,-107.81,3,-110.92,7,-114.92
16,1944.62,4133.50,15.00,0,1,0.61,NLOS,79.86,-0.82,-58.82,-31.04,38.14,34.23,0,0,-99.23,2,-104.72,6,-105.88,5,-107.65,3,-110.92,7,-114.87
17,1954.13,4133.50,15.00,0,1,0.69,NLOS,76.79,-0.82,-55.75,-27.96,41.18,34.23,0,0,-99.21,2,-104.71,6,-105.73,5,-107.50,3,-110.92,7,-114.81
18,1963.64,4133.50,15.00,0,1,0.78,NLOS,73.07,0.39,-53.24,-25.46,44.30,34.23,0,5,-98.36,3,-99.93,6,-108.91,14,-110.61,7,-111.76,0,-112.06
19,1973.14,4133.50,15.00,0,1,0.89,NLOS,68.41,0.39,-48.58,-20.80,48.81,34.23,0,5,-98.20,3,-99.92,6,-108.75,14,-110.54,7,-111.71,0,-112.06
20,1982.65,4133.50,15.00,0,1,1.00,NLOS,62.66,0.39,-42.83,-15.05,54.42,34.23,0,5,-98.04,3,-99.92,6,-108.59,14,-110.47,7,-111.65,0,-112.05
21,1992.16,4133.50,15.00,0,1,1.00,NLOS,59.33,-8.03,-31.08,-3.30,65.44,34.23,0,2,-98.56,10,-104.55,0,-106.08,3,-106.37,6,-109.81,7,-110.81
22,2001.67,4133.50,15.00,0,1,1.00,NLOS,59.33,-8.03,-31.08,-3.30,65.41,34.23,0,2,-98.56,10,-104.45,0,-106.08,3,-106.37,6,-109.65,7,-110.75
23,2011.17,4133.50,15.00,0,1,1.00,NLOS,59.90,-8.03,-31.64,-3.86,64.82,34.23,0,2,-98.56,10,-104.34,0,-106.08,3,-106.37,6,-109.49,7,-110.70
24,2020.68,4133.50,15.00,0,1,0.96,NLOS,64.66,0.99,-45.43,-17.65,52.09,34.23,0,0,-99.30,6,-105.49,2,-107.44,5,-110.43,9,-112.87,11,-113.78
25,2030.19,4133.50,15.00,0,1,0.85,NLOS,70.18,0.99,-50.95,-23.17,46.54,34.23,0,0,-99.30,6,-105.32,2,-107.44,5,-110.26,9,-112.79,11,-113.70
26,2039.69,4133.50,15.00,0,1,0.75,NLOS,74.46,0.99,-55.23,-27.45,42.22,34.23,0,0,-99.31,6,-105.16,2,-107.45,5,-110.10,9,-112.71,11,-113.62
27,2049.20,4133.50,15.00,0,1,0.66,NLOS,77.93,2.14,-59.85,-32.07,42.22,34.23,0,6,-105.90,2,-109.66,5,-109.89,14,-110.87,0,-111.17,15,-111.44
28,2058.71,4133.50,15.00,0,1,0.59,NLOS,80.82,2.14,-62.74,-34.96,39.21,34.23,0,6,-105.73,2,-109.67,5,-109.72,14,-110.80,0,-111.18,15,-111.37
29,2068.22,4133.50,15.00,0,1,0.52,NLOS,83.31,2.14,-65.23,-37.45,36.62,34.23,0,6,-105.57,5,-109.56,2,-109.68,14,-110.73,0,-111.19,15,-111.30
30,2077.72,4133.50,15.00,0,1,0.47,NLOS,85.48,2.23,-67.49,-39.71,26.94,34.23,0,6,-96.87,5,-99.99,0,-103.62,9,-106.01,10,-112.69,2,-112.79
31,2087.23,4133.50,15.00,0,1,0.42,NLOS,87.41,2.23,-69.42,-41.64,24.86,34.23,0,6,-96.70,5,-99.82,0,-103.64,9,-105.92,10,-112.57,2,-112.81
32,2096.74,4133.50,15.00,0,1,0.38,NLOS,89.15,2.23,-71.16,-43.38,22.98,34.23,0,6,-96.53,5,-99.65,0,-103.66,9,-105.84,10,-112.46,2,-112.83
33,2106.24,4133.50,15.00,0,1,0.34,NLOS,90.72,9.73,-80.23,-52.45,22.78,34.23,0,2,-106.88,6,-108.11,12,-109.93,10,-111.19,14,-112.22,0,-115.58
34,2115.75,4133.50,15.00,0,1,0.31,NLOS,92.17,9.73,-81.68,-53.90,21.26,34.23,0,2,-106.90,6,-107.93,12,-109.88,10,-111.07,14,-112.15,11,-115.54
35,2125.26,4133.50,15.00,0,1,0.29,NLOS,93.50,9.73,-83.01,-55.23,19.86,34.23,0,2,-106.93,6,-107.76,12,-109.84,10,-110.96,14,-112.07,11,-115.46
36,2134.77,4133.50,15.00,0,1,0.26,NLOS,94.73,2.02,-76.53,-48.75,23.96,34.23,0,5,-103.85,2,-106.54,11,-107.89,0,-108.71,6,-110.11,3,-116.75
37,2144.27,4133.50,15.00,0,1,0.24,NLOS,95.88,2.02,-77.68,-49.90,22.71,34.23,0,5,-103.68,2,-106.57,11,-107.80,0,-108.74,6,-109.93,3,-116.76
38,2153.78,4133.50,15.00,0,1,0.22,NLOS,96.96,2.02,-78.76,-50.98,21.54,34.23,0,5,-103.50,2,-106.60,11,-107.72,0,-108.77,6,-109.75,3,-116.77
39,2163.29,4133.50,15.00,0,1,0.21,NLOS,97.97,1.93,-79.69,-51.91,12.05,34.23,0,2,-92.27,5,-103.89,0,-106.27,6,-113.17,7,-113.76,15,-115.12
40,2172.79,4133.50,15.00,0,1,0.19,NLOS,98.93,1.93,-80.65,-52.86,11.11,34.23,0,2,-92.30,5,-103.71,0,-106.31,6,-112.99,7,-113.71,15,-115.04
41,2182.30,4133.50,15.00,0,1,0.18,NLOS,99.84,1.93,-81.55,-53.77,10.23,34.23,0,2,-92.34,5,-103.53,0,-106.34,6,-112.81,7,-113.66,15,-114.97
42,2183.00,4142.31,15.00,1,1,0.18,NLOS,99.92,0.15,-79.85,-52.07,13.88,34.23,0,2,-96.54,10,-99.85,6,-103.41,0,-103.51,9,-109.69,5,-112.12
43,2183.00,4151.82,15.00,1,1,0.18,NLOS,99.98,0.15,-79.91,-52.13,13.72,34.23,0,2,-96.36,10,-99.85,6,-103.28,0,-103.68,9,-109.75,5,-112.26
44,2183.00,4161.32,15.00,1,1,0.18,NLOS,100.09,0.15,-80.02,-52.23,13.52,34.23,0,2,-96.18,10,-99.86,6,-103.14,0,-103.86,9,-109.81,5,-112.40
45,2183.00,4170.83,15.00,1,1,0.17,NLOS,100.24,-8.37,-71.65,-43.86,26.50,34.23,0,2,-101.18,5,-104.24,0,-106.73,11,-107.30,10,-111.57,6,-111.81
46,2183.00,4180.34,15.00,1,1,0.17,NLOS,100.43,-8.37,-71.84,-44.05,26.27,34.23,0,2,-101.00,5,-104.38,0,-106.91,11,-107.25,10,-111.58,6,-111.67
47,2183.00,4189.84,15.00,1,1,0.17,NLOS,100.66,-8.37,-72.06,-44.28,25.98,34.23,0,2,-100.81,5,-104.53,0,-107.07,11,-107.19,6,-111.54,10,-111.58
48,2183.00,4199.35,15.00,1,1,0.16,NLOS,100.92,5.02,-85.72,-57.94,13.42,34.23,0,9,-102.27,6,-102.86,0,-103.47,2,-108.10,5,-112.24,14,-115.17
49,2183.00,4208.86,15.00,1,1,0.16,NLOS,101.21,5.02,-86.01,-58.23,13.11,34.23,0,9,-102.33,6,-102.73,0,-103.63,2,-107.91,5,-112.38,14,-115.19
50,2183.00,4218.37,15.00,1,1,0.16,NLOS,101.53,5.02,-86.33,-58.55,12.77,34.23,0,9,-102.39,6,-102.60,0,-103.80,2,-107.71,5,-112.52,3,-115.09
51,2183.00,4227.87,15.00,1,1,0.15,NLOS,101.88,-1.87,-79.79,-52.01,14.30,34.23,0,5,-95.73,6,-102.29,2,-105.47,0,-106.83,10,-108.80,11,-110.55
52,2183.00,4237.38,15.00,1,1,0.15,NLOS,102.25,-1.87,-80.16,-52.37,14.00,34.23,0,5,-95.87,6,-102.16,2,-105.27,0,-106.99,10,-108.81,11,-110.50
53,2183.00,4246.89,15.00,1,1,0.14,NLOS,102.63,-1.87,-80.54,-52.76,13.69,34.23,0,5,-96.01,6,-102.04,2,-105.07,0,-107.15,10,-108.82,11,-110.44
54,2183.00,4256.40,15.00,1,1,0.14,NLOS,103.03,-2.88,-79.93,-52.15,18.86,34.23,0,6,-99.95,7,-108.26,10,-109.92,11,-112.39,23,-114.89,19,-116.34
55,2183.00,4265.90,15.00,1,1,0.14,NLOS,103.45,-2.88,-80.34,-52.56,18.35,34.23,0,6,-99.83,7,-108.15,10,-109.93,11,-112.33,23,-114.90,19,-116.35
56,2183.00,4275.41,15.00,1,1,0.13,NLOS,103.87,-2.88,-80.76,-52.98,17.82,34.23,0,6,-99.71,7,-108.04,10,-109.94,11,-112.28,23,-114.91,19,-116.35
57,2183.00,4284.92,15.00,1,1,0.13,NLOS,104.30,-5.75,-78.33,-50.55,17.93,34.23,0,6,-97.92,7,-105.86,0,-105.97,10,-110.14,2,-110.93,9,-110.95
58,2183.00,4294.42,15.00,1,1,0.12,NLOS,104.73,-5.75,-78.76,-50.98,17.42,34.23,0,6,-97.81,7,-105.74,0,-106.12,10,-110.16,2,-110.71,9,-111.01
59,2183.00,4303.93,15.00,1,1,0.12,NLOS,105.17,-5.75,-79.20,-51.42,16.90,34.23,0,6,-97.70,7,-105.63,0,-106.28,10,-110.17,2,-110.50,9,-111.07
60,2183.00,4313.44,15.00,1,1,0.12,NLOS,105.61,-2.80,-82.59,-54.81,12.27,34.23,0,2,-98.49,6,-99.52,5,-102.36,11,-109.65,10,-110.21,3,-111.55
61,2183.00,4322.95,15.00,1,1,0.11,NLOS,106.05,-2.80,-83.03,-55.25,11.72,34.23,0,2,-98.27,6,-99.42,5,-102.51,11,-109.60,10,-110.23,3,-111.45
62,2183.00,4332.45,15.00,1,1,0.11,NLOS,106.49,-2.80,-83.47,-55.69,11.17,34.23,0,2,-98.04,6,-99.31,5,-102.65,11,-109.55,10,-110.24,3,-111.35
63,2191.46,4333.50,15.00,0,1,0.11,NLOS,106.89,-0.34,-86.34,-58.56,9.91,34.23,0,6,-99.64,0,-102.03,7,-105.31,5,-107.49,11,-108.06,2,-109.79
64,2200.97,4333.50,15.00,0,1,0.10,NLOS,107.30,-0.34,-86.74,-58.96,9.38,34.23,0,6,-99.40,0,-102.06,7,-105.25,5,-107.36,11,-107.96,2,-109.86
65,2210.47,4333.50,15.00,0,1,0.10,NLOS,107.70,-0.34,-87.15,-59.37,8.84,34.23,0,6,-99.15,0,-102.09,7,-105.20,5,-107.24,11,-107.86,2,-109.92
66,2219.98,4333.50,15.00,0,1,0.10,NLOS,108.10,4.53,-92.42,-64.64,-0.88,34.23,0,6,-94.03,5,-97.45,2,-100.22,0,-106.31,12,-111.62,7,-113.10
67,2229.49,4333.50,15.00,0,1,0.09,NLOS,108.51,4.53,-92.82,-65.04,-1.45,34.23,0,6,-93.77,5,-97.32,2,-100.29,0,-106.34,12,-111.57,7,-113.04
68,2239.00,4333.50,15.00,0,1,0.09,NLOS,108.90,4.53,-93.22,-65.44,-2.02,34.23,0,6,-93.51,5,-97.20,2,-100.37,0,-106.37,12,-111.51,7,-112.98
