Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,8684.50,8521.46,36.00,1,124,0.85,LOS,93.30,0.30,-73.39,-45.60,-1.57,62.87,0,104,-75.04,136,-75.65,135,-76.76,114,-77.71,125,-78.44,115,-79.85
1,8684.50,8538.93,36.00,1,124,0.84,LOS,93.63,0.30,-73.71,-45.93,-1.96,62.87,0,104,-75.01,136,-75.55,135,-76.78,114,-77.73,125,-78.00,115,-79.73
2,8684.50,8556.39,36.00,1,125,0.89,LOS,89.91,-3.48,-66.22,-38.44,1.79,62.87,1,124,-70.41,135,-73.80,115,-79.22,104,-79.70,123,-80.53,114,-81.28
3,8684.50,8573.85,36.00,1,125,0.90,LOS,89.43,-3.48,-65.73,-37.95,2.44,62.87,0,124,-70.71,135,-73.82,115,-79.10,104,-79.67,123,-80.65,114,-81.32
4,8684.50,8591.31,36.00,1,125,0.90,LOS,88.92,0.19,-68.90,-41.12,2.82,62.87,0,124,-75.24,114,-79.40,135,-80.27,101,-81.33,136,-81.83,113,-82.20
5,8684.50,8608.78,36.00,1,125,0.91,LOS,88.39,0.19,-68.36,-40.58,3.48,62.87,0,124,-75.53,114,-79.44,135,-80.31,101,-81.38,136,-81.73,113,-82.31
6,8684.50,8626.24,36.00,1,125,0.91,LOS,87.82,-5.39,-62.22,-34.43,5.19,62.87,0,114,-70.57,124,-74.20,104,-76.12,113,-76.87,136,-78.88,115,-79.19
7,8684.50,8643.70,36.00,1,125,0.92,LOS,87.22,-5.39,-61.62,-33.84,5.87,62.87,0,114,-70.63,124,-74.48,104,-76.10,113,-76.98,136,-78.78,115,-79.06
8,8684.50,8661.16,36.00,1,125,0.92,LOS,86.59,2.66,-69.02,-41.24,3.64,62.87,0,115,-78.47,135,-79.79,124,-79.81,114,-79.92,104,-81.45,136,-82.16
9,8684.50,8678.63,36.00,1,125,0.93,LOS,85.91,2.66,-68.35,-40.57,4.35,62.87,0,115,-78.35,135,-79.84,114,-79.99,124,-80.07,104,-81.43,136,-82.06
10,8684.50,8696.09,36.00,1,125,0.94,LOS,85.19,2.46,-67.43,-39.65,2.84,62.87,0,115,-74.83,124,-75.62,103,-76.00,114,-79.29,135,-80.45,136,-80.73
11,8684.50,8694.45,36.00,3,125,0.94,LOS,85.26,2.46,-67.50,-39.72,2.77,62.87,0,115,-74.84,124,-75.59,103,-76.00,114,-79.28,135,-80.45,136,-80.74
12,8684.50,8676.99,36.00,3,125,0.93,LOS,85.98,2.46,-68.22,-40.43,2.01,62.87,0,115,-74.96,124,-75.34,103,-75.95,114,-79.21,135,-80.39,136,-80.84
13,8684.50,8659.52,36.00,3,125,0.92,LOS,86.65,2.27,-68.70,-40.92,1.11,62.87,0,114,-73.09,124,-76.97,115,-77.89,136,-78.80,102,-83.12,135,-83.33
14,8684.50,8642.06,36.00,3,125,0.92,LOS,87.28,2.27,-69.33,-41.55,0.43,62.87,0,114,-73.03,124,-76.71,115,-78.01,136,-78.90,102,-83.06,135,-83.28
15,8684.50,8624.60,36.00,3,125,0.91,LOS,87.87,-5.86,-61.80,-34.02,6.95,62.87,0,114,-73.96,124,-75.45,135,-76.21,113,-76.97,103,-77.86,123,-78.92
16,8684.50,8607.13,36.00,3,125,0.91,LOS,88.44,-5.86,-62.36,-34.58,6.31,62.87,0,114,-73.90,124,-75.17,135,-76.18,113,-76.85,103,-77.82,123,-78.81
17,8684.50,8589.67,36.00,3,125,0.90,LOS,88.97,-7.77,-60.98,-33.20,6.64,62.87,0,115,-71.20,103,-72.95,124,-73.17,113,-75.51,114,-80.47,136,-82.23
18,8684.50,8572.21,36.00,3,125,0.90,LOS,89.47,-7.77,-61.48,-33.70,6.08,62.87,0,115,-71.32,124,-72.87,103,-72.91,113,-75.40,114,-80.42,135,-82.23
19,8684.50,8554.75,36.00,3,125,0.89,LOS,89.96,0.60,-70.34,-42.56,-3.41,62.87,0,124,-69.35,135,-73.35,136,-77.78,115,-80.12,114,-80.15,104,-83.08
20,8684.50,8537.28,36.00,3,125,0.89,LOS,90.41,0.60,-70.80,-43.02,-4.05,62.87,0,124,-69.04,135,-73.33,136,-77.89,114,-80.12,115,-80.24,104,-83.11
21,8684.50,8519.82,36.00,3,124,0.85,LOS,93.27,-4.12,-68.93,-41.15,-0.93,62.87,1,114,-71.31,125,-72.56,136,-76.93,135,-77.58,101,-78.70,103,-80.51
22,8686.14,8504.00,36.00,0,124,0.85,LOS,92.95,-4.12,-68.62,-40.83,-0.49,62.87,0,114,-71.32,125,-72.94,136,-77.02,135,-77.55,101,-78.65,103,-80.49
23,8703.60,8504.00,36.00,0,125,0.88,LOS,91.17,-2.06,-68.89,-41.11,-0.19,62.87,1,124,-74.92,135,-74.99,114,-75.80,136,-76.36,123,-77.07,102,-78.82
24,8721.07,8504.00,36.00,0,125,0.88,LOS,91.13,-2.06,-68.85,-41.07,-0.16,62.87,0,135,-74.78,124,-74.89,114,-76.03,136,-76.25,123,-77.07,102,-78.88
25,8738.53,8504.00,36.00,0,125,0.88,LOS,91.11,-1.91,-68.98,-41.20,2.60,62.87,0,114,-76.40,124,-77.92,135,-78.11,123,-78.97,136,-80.28,103,-82.88
26,8755.99,8504.00,36.00,0,125,0.88,LOS,91.10,-1.91,-68.97,-41.19,2.62,62.87,0,114,-76.62,135,-77.88,124,-77.92,123,-78.97,136,-80.18,103,-82.99
27,8773.45,8504.00,36.00,0,124,0.85,LOS,92.88,1.18,-73.84,-46.06,-4.29,62.87,1,135,-73.95,113,-74.20,125,-77.37,114,-79.12,136,-81.34,115,-84.57
28,8790.92,8504.00,36.00,0,124,0.85,LOS,92.90,1.18,-73.87,-46.08,-4.34,62.87,0,135,-73.72,113,-74.30,125,-77.41,114,-79.34,136,-81.24,115,-84.67
29,8808.38,8504.00,36.00,0,125,0.88,LOS,91.21,-0.33,-70.66,-42.87,1.00,62.87,1,135,-77.57,114,-77.74,124,-78.86,136,-79.87,115,-80.80,103,-81.44
30,8825.84,8504.00,36.00,0,125,0.88,LOS,91.28,-0.33,-70.73,-42.94,0.93,62.87,0,135,-77.33,114,-77.94,124,-78.91,136,-79.77,115,-80.91,103,-81.53
31,8843.31,8504.00,36.00,0,125,0.88,LOS,91.37,1.32,-72.46,-44.68,-4.02,62.87,0,124,-70.01,103,-78.43,113,-79.38,135,-80.20,136,-80.23,115,-81.45
32,8860.77,8504.00,36.00,0,125,0.87,LOS,91.47,1.32,-72.57,-44.78,-4.08,62.87,0,124,-70.08,103,-78.53,113,-79.48,135,-79.95,136,-80.14,115,-81.55
33,8878.23,8504.00,36.00,0,125,0.87,LOS,91.59,-1.12,-70.25,-42.47,-0.28,62.87,0,135,-75.14,136,-75.27,124,-78.01,113,-80.33,115,-80.73,114,-81.72
34,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
35,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
36,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
37,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
38,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
39,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
40,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
41,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
42,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
43,8884.50,8504.00,36.00,3,125,0.87,LOS,91.63,-1.12,-70.30,-42.51,-0.35,0.00,0,135,-75.04,136,-75.23,124,-78.05,113,-80.37,115,-80.77,114,-81.79
44,8884.50,8495.27,36.00,3,125,0.87,LOS,91.82,-1.12,-70.48,-42.70,-0.54,31.43,0,135,-75.04,136,-75.30,124,-77.88,113,-80.32,115,-80.81,114,-81.78
45,8884.50,8477.81,36.00,3,125,0.86,LOS,92.19,1.67,-73.64,-45.86,-4.90,62.87,0,114,-73.29,124,-73.34,104,-75.97,115,-78.55,123,-78.97,135,-79.78
46,8884.50,8460.34,36.00,3,125,0.86,LOS,92.54,1.67,-73.99,-46.21,-5.37,62.87,0,124,-72.99,114,-73.29,104,-75.99,115,-78.64,123,-78.84,135,-79.78
47,8884.50,8442.88,36.00,3,125,0.85,LOS,92.88,-8.51,-64.16,-36.38,0.86,62.87,0,124,-66.76,135,-73.46,115,-76.30,113,-76.63,114,-80.24,136,-83.04
48,8884.50,8425.42,36.00,3,125,0.85,LOS,93.22,-8.51,-64.49,-36.71,0.28,62.87,0,124,-66.39,135,-73.48,115,-76.39,113,-76.54,114,-80.25,136,-83.17
49,8884.50,8407.96,36.00,3,124,0.88,LOS,91.27,-5.76,-65.29,-37.51,1.97,62.87,1,114,-69.99,135,-73.92,125,-75.45,113,-78.19,115,-79.87,103,-81.80
50,8884.50,8390.49,36.00,3,124,0.88,LOS,90.87,-5.76,-64.89,-37.11,2.41,62.87,0,114,-70.00,135,-73.95,125,-75.76,113,-78.09,115,-79.97,103,-81.78
51,8884.50,8373.03,36.00,3,124,0.89,LOS,90.46,-4.13,-66.11,-38.33,-1.01,62.87,0,125,-65.98,136,-76.74,135,-77.23,123,-77.67,114,-79.62,113,-80.26
52,8884.50,8355.57,36.00,3,124,0.89,LOS,90.03,-4.13,-65.68,-37.90,-0.34,62.87,0,125,-66.27,136,-76.87,135,-77.27,123,-77.54,114,-79.64,113,-80.17
53,8884.50,8338.10,36.00,3,124,0.90,LOS,89.58,-5.36,-64.00,-36.22,4.88,62.87,0,135,-70.60,125,-75.27,115,-78.62,104,-82.02,113,-82.70,102,-83.15
54,8884.50,8320.64,36.00,3,124,0.90,LOS,89.12,-5.36,-63.53,-35.75,5.43,62.87,0,135,-70.66,125,-75.55,115,-78.72,104,-82.05,113,-82.61,102,-83.10
55,8885.32,8304.00,36.00,0,124,0.91,LOS,88.67,1.33,-69.78,-42.00,-0.45,62.87,0,125,-72.46,135,-75.65,113,-77.69,123,-79.38,114,-83.93,136,-84.17
56,8902.78,8304.00,36.00,0,124,0.90,LOS,88.92,1.33,-70.03,-42.25,-0.71,62.87,0,125,-72.52,135,-75.39,113,-77.80,123,-79.39,136,-84.10,114,-84.11
57,8920.25,8304.00,36.00,0,124,0.90,LOS,89.19,-4.27,-64.70,-36.92,4.13,62.87,0,125,-74.24,135,-75.07,123,-75.26,113,-75.97,115,-79.42,136,-79.45
58,8937.71,8304.00,36.00,0,124,0.90,LOS,89.47,-4.27,-64.98,-37.20,3.84,62.87,0,125,-74.32,135,-74.80,123,-75.28,113,-76.08,136,-79.38,115,-79.50
59,8955.17,8304.00,36.00,0,124,0.89,LOS,89.76,2.14,-71.68,-43.90,-1.84,62.87,0,135,-75.66,123,-76.27,113,-77.14,114,-77.43,125,-78.07,103,-80.13
60,8972.63,8304.00,36.00,0,124,0.89,LOS,90.05,2.14,-71.98,-44.20,-2.15,62.87,0,135,-75.37,123,-76.30,113,-77.25,114,-77.60,125,-78.16,103,-80.22
61,8990.10,8304.00,36.00,0,124,0.89,LOS,90.36,-6.24,-63.89,-36.11,8.90,62.87,0,125,-76.67,135,-78.50,113,-81.27,136,-81.41,123,-82.37,114,-84.43
62,9007.56,8304.00,36.00,0,124,0.88,LOS,90.66,-6.24,-64.20,-36.42,8.59,62.87,0,125,-76.77,135,-78.20,136,-81.35,113,-81.38,123,-82.40,114,-84.59
63,9025.02,8304.00,36.00,0,124,0.88,LOS,90.97,-4.51,-66.24,-38.46,0.82,62.87,0,135,-67.96,125,-78.68,103,-79.41,113,-79.78,136,-80.06,114,-81.76
64,9042.48,8304.00,36.00,0,124,0.88,LOS,91.27,-4.51,-66.54,-38.76,0.27,62.87,0,135,-67.64,125,-78.79,103,-79.50,113,-79.89,136,-80.00,114,-81.92
65,9059.95,8304.00,36.00,0,124,0.87,LOS,91.57,2.47,-73.83,-46.05,-4.21,62.87,0,135,-72.22,114,-77.98,125,-78.05,113,-79.48,123,-81.99,115,-82.36
66,9077.41,8304.00,36.00,0,124,0.87,LOS,91.88,2.47,-74.13,-46.35,-4.65,62.87,0,135,-71.88,114,-78.13,125,-78.17,113,-79.59,123,-82.03,115,-82.45
67,9084.50,8293.63,36.00,3,124,0.87,LOS,91.85,-0.99,-70.65,-42.86,2.11,62.87,0,135,-76.90,125,-79.09,136,-79.22,114,-81.11,123,-81.74,113,-82.74
68,9084.50,8276.16,36.00,3,124,0.87,LOS,91.61,-0.99,-70.41,-42.62,2.43,62.87,0,135,-77.04,125,-79.30,136,-79.36,114,-81.13,123,-81.61,113,-82.67
69,9084.50,8258.70,36.00,3,124,0.88,LOS,91.38,-0.98,-70.18,-42.40,-1.75,62.87,0,125,-72.73,135,-72.75,114,-76.67,113,-80.82,123,-81.31,115,-82.54
70,9084.50,8241.24,36.00,3,124,0.88,LOS,91.15,-0.98,-69.95,-42.17,-1.39,62.87,0,135,-72.92,125,-72.94,114,-76.70,113,-80.75,123,-81.17,115,-82.62
71,9084.50,8223.78,36.00,3,135,0.85,LOS,93.01,-5.60,-67.19,-39.41,0.22,62.87,1,124,-70.29,125,-74.46,123,-75.68,114,-76.72,132,-81.83,113,-82.88
72,9084.50,8206.31,36.00,3,135,0.85,LOS,93.19,-5.60,-67.37,-39.59,-0.05,62.87,0,124,-70.08,125,-74.66,123,-75.53,114,-76.76,132,-81.76,113,-82.82
73,9084.50,8188.85,36.00,3,135,0.85,LOS,93.37,-2.33,-70.82,-43.04,-0.91,62.87,0,124,-72.61,114,-75.73,132,-77.38,104,-78.10,125,-78.41,113,-78.98
74,9084.50,8171.39,36.00,3,135,0.84,LOS,93.56,-2.33,-71.01,-43.23,-1.16,62.87,0,124,-72.43,114,-75.76,132,-77.31,104,-78.13,125,-78.60,113,-78.92
75,9084.50,8153.93,36.00,3,124,0.89,LOS,90.17,-3.76,-66.19,-38.40,5.56,62.87,1,125,-75.25,135,-77.39,136,-78.30,114,-78.87,102,-82.58,123,-83.96
76,9084.50,8136.46,36.00,3,124,0.89,LOS,90.01,-3.76,-66.03,-38.25,5.84,62.87,0,125,-75.43,135,-77.59,136,-78.42,114,-78.91,102,-82.54,123,-83.81
77,9084.50,8119.00,36.00,3,135,0.84,LOS,94.14,-7.40,-66.52,-38.74,2.49,62.87,1,124,-72.56,125,-73.25,113,-77.79,136,-78.57,115,-82.32,114,-82.36
78,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
79,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
80,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
81,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
82,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
83,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
84,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
85,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
86,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
87,9084.50,8104.00,36.00,0,135,0.83,LOS,94.31,-7.40,-66.69,-38.91,2.35,0.00,0,124,-72.47,125,-73.40,113,-77.74,136,-78.67,115,-82.39,114,-82.39
88,9093.23,8104.00,36.00,0,135,0.83,LOS,94.19,-7.40,-66.57,-38.79,2.58,31.43,0,124,-72.70,125,-73.44,113,-77.80,136,-78.65,115,-82.42,114,-82.46
89,9110.69,8104.00,36.00,0,124,0.89,LOS,90.47,0.75,-71.00,-43.22,0.37,62.87,1,135,-74.67,115,-75.61,113,-78.01,125,-79.88,114,-80.34,111,-82.09
90,9115.50,8091.34,36.00,3,124,0.89,LOS,90.54,0.75,-71.06,-43.28,0.37,62.87,0,135,-74.77,115,-75.68,113,-78.00,125,-80.03,114,-80.41,111,-82.06
91,9115.50,8073.88,36.00,3,124,0.89,LOS,90.47,-2.06,-68.19,-40.41,-1.23,62.87,0,125,-72.30,123,-72.48,135,-72.80,113,-75.62,136,-77.69,114,-82.27
92,9115.50,8056.42,36.00,3,124,0.89,LOS,90.43,-2.06,-68.15,-40.37,-1.14,62.87,0,123,-72.32,125,-72.46,135,-73.01,113,-75.57,136,-77.81,114,-82.32
93,9115.50,8038.96,36.00,3,124,0.89,LOS,90.41,4.07,-74.26,-46.48,-5.72,62.87,0,113,-71.47,114,-75.09,135,-76.42,115,-77.95,136,-79.58,123,-79.83
94,9115.50,8021.49,36.00,3,124,0.89,LOS,90.41,4.07,-74.26,-46.48,-5.71,62.87,0,113,-71.42,114,-75.14,135,-76.63,115,-78.02,123,-79.67,136,-79.69
95,9115.50,8004.03,36.00,3,124,0.89,LOS,90.43,5.29,-75.51,-47.73,-3.05,62.87,0,123,-75.23,136,-77.51,135,-78.59,114,-82.73,125,-83.48,103,-84.15
96,9115.50,7986.57,36.00,3,124,0.89,LOS,90.48,5.29,-75.55,-47.77,-3.12,62.87,0,123,-75.06,136,-77.63,135,-78.81,114,-82.78,125,-83.64,103,-84.15
97,9115.50,7969.10,36.00,3,124,0.89,LOS,90.54,-3.87,-66.46,-38.67,0.54,62.87,0,123,-68.65,125,-74.19,135,-77.44,111,-83.91,114,-84.66,103,-84.77
98,9115.50,7951.64,36.00,3,124,0.88,LOS,90.63,-3.87,-66.54,-38.76,0.38,62.87,0,123,-68.48,125,-74.34,135,-77.65,111,-83.84,114,-84.72,103,-84.77
99,9115.50,7934.18,36.00,3,124,0.88,LOS,90.73,-5.13,-65.38,-37.60,2.27,62.87,0,135,-68.77,136,-77.38,113,-77.91,114,-79.97,123,-80.60,103,-81.69
100,9115.50,7916.72,36.00,3,124,0.88,LOS,90.85,-5.13,-65.50,-37.72,2.29,62.87,0,135,-68.98,136,-77.49,113,-77.87,114,-80.03,123,-80.42,103,-81.69
101,9110.75,7904.00,36.00,2,124,0.88,LOS,90.84,2.25,-72.87,-45.09,-1.58,62.87,0,123,-74.46,113,-77.23,115,-78.74,102,-79.30,125,-79.74,104,-82.95
102,9093.29,7904.00,36.00,2,124,0.89,LOS,90.42,2.25,-72.45,-44.67,-1.24,62.87,0,123,-74.37,113,-77.09,115,-78.69,102,-79.22,125,-79.69,104,-82.88
103,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,1,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
104,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
105,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
106,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
107,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
108,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
109,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
110,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
111,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
112,9084.50,7904.00,36.00,3,123,0.76,LOS,98.02,-5.03,-72.77,-44.99,2.93,0.00,0,125,-77.47,124,-77.73,113,-80.04,114,-82.31,135,-82.37,120,-84.48
113,9084.50,7895.27,36.00,3,123,0.76,LOS,97.93,-5.03,-72.68,-44.90,3.07,31.43,0,125,-77.54,124,-77.82,113,-80.02,114,-82.34,135,-82.47,120,-84.45
114,9084.50,7877.81,36.00,3,124,0.89,LOS,90.47,0.82,-71.07,-43.29,1.10,62.87,1,125,-76.86,135,-77.32,113,-80.33,123,-81.71,114,-82.75,136,-83.14
115,9084.50,7860.34,36.00,3,124,0.88,LOS,90.67,0.82,-71.27,-43.48,0.98,62.87,0,125,-77.00,135,-77.51,113,-80.29,123,-81.52,114,-82.81,136,-83.24
116,9084.50,7842.88,36.00,3,124,0.88,LOS,90.88,1.55,-72.21,-44.42,0.09,62.87,0,135,-76.23,113,-77.46,123,-79.57,120,-80.21,136,-80.98,103,-82.38
117,9084.50,7825.42,36.00,3,124,0.88,LOS,91.09,1.55,-72.42,-44.64,-0.10,62.87,0,135,-76.41,113,-77.43,123,-79.37,120,-80.16,136,-81.09,103,-82.39
118,9084.50,7807.96,36.00,3,124,0.88,LOS,91.32,-3.12,-67.98,-40.20,0.57,62.87,0,125,-72.25,135,-74.03,123,-75.63,100,-79.33,136,-80.10,113,-80.64
119,9084.50,7790.49,36.00,3,124,0.87,LOS,91.55,-3.12,-68.22,-40.43,0.40,62.87,0,125,-72.39,135,-74.21,123,-75.42,100,-79.28,136,-80.20,113,-80.62
120,9084.50,7773.03,36.00,3,124,0.87,LOS,91.79,-3.41,-68.16,-40.38,-0.40,62.87,0,135,-69.49,125,-77.13,123,-77.71,134,-81.52,103,-81.84,114,-81.96
121,9084.50,7755.57,36.00,3,124,0.87,LOS,92.03,-3.41,-68.41,-40.63,-0.54,62.87,0,135,-69.67,125,-77.26,123,-77.50,134,-81.30,103,-81.85,114,-82.03
122,9084.50,7738.10,36.00,3,124,0.86,LOS,92.28,1.66,-73.72,-45.94,1.34,62.87,0,136,-77.48,103,-79.64,102,-80.09,101,-81.03,125,-81.15,123,-81.44
