Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,7867.06,5858.50,261.50,0,79,1.00,LOS,87.56,-0.54,-66.80,-39.02,4.39,158.61,0,72,-77.48,87,-78.85,71,-79.07,86,-79.39,78,-79.55,80,-79.96
1,7911.12,5858.50,261.50,0,79,1.00,LOS,86.88,-0.35,-66.31,-38.53,4.77,158.61,0,72,-77.31,71,-77.63,87,-79.23,86,-79.51,78,-79.55,80,-80.97
2,7955.17,5858.50,261.50,0,79,1.00,LOS,86.42,0.05,-66.25,-38.47,4.96,158.61,0,80,-78.03,72,-78.42,87,-78.94,78,-79.00,71,-79.89,86,-80.07
3,7999.23,5858.50,261.50,0,79,1.00,LOS,86.25,0.02,-66.05,-38.27,5.40,158.61,0,80,-77.97,86,-78.79,71,-79.45,72,-79.76,78,-79.80,87,-79.99
4,8023.00,5838.21,261.50,3,79,1.00,LOS,86.35,-0.25,-65.89,-38.11,5.21,158.61,0,78,-77.79,80,-78.25,87,-78.28,71,-79.51,86,-79.77,72,-80.23
5,8023.00,5794.15,261.50,3,79,1.00,LOS,86.71,0.61,-67.10,-39.32,4.16,158.61,0,78,-77.77,86,-78.69,87,-78.80,71,-79.39,80,-79.75,72,-80.28
6,8023.00,5750.09,261.50,3,79,1.00,LOS,87.31,-0.03,-67.06,-39.28,4.01,158.61,0,78,-76.66,86,-77.70,80,-79.11,71,-79.65,87,-80.33,72,-81.48
7,8023.00,5706.04,261.50,3,79,1.00,LOS,88.08,0.04,-67.89,-40.11,2.76,158.61,0,78,-76.65,86,-77.05,71,-78.86,87,-79.28,72,-79.50,80,-80.64
8,8023.00,5661.98,261.50,3,79,1.00,LOS,88.93,-1.49,-67.22,-39.44,3.44,158.61,0,86,-76.41,78,-77.45,71,-78.88,80,-78.92,87,-79.24,72,-81.27
9,8023.00,5699.08,261.50,1,79,1.00,LOS,88.21,0.01,-68.00,-40.22,2.00,158.61,0,78,-75.58,86,-76.84,71,-77.23,87,-78.71,80,-80.00,72,-80.29
10,8023.00,5743.14,261.50,1,79,1.00,LOS,87.42,1.24,-68.45,-40.67,1.66,158.61,0,78,-77.04,72,-77.14,71,-78.02,87,-78.15,86,-78.34,80,-78.91
11,8023.00,5787.19,261.50,1,79,1.00,LOS,86.79,0.54,-67.11,-39.33,3.92,158.61,0,78,-77.34,86,-77.61,80,-79.14,87,-79.32,71,-80.07,72,-80.29
12,8023.00,5831.25,261.50,1,79,1.00,LOS,86.39,-0.85,-65.32,-37.54,5.60,158.61,0,86,-76.74,78,-78.50,80,-78.84,72,-79.01,71,-79.71,87,-80.35
13,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
14,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
15,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
16,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
17,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
18,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
19,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
20,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
21,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
22,8023.00,5858.50,261.50,2,79,1.00,LOS,86.29,1.35,-67.43,-39.65,3.47,0.00,0,87,-77.53,78,-78.51,86,-78.84,71,-78.85,72,-79.23,80,-79.35
23,8000.97,5858.50,261.50,2,79,1.00,LOS,86.25,1.35,-67.39,-39.60,3.52,79.30,0,87,-77.73,78,-78.51,71,-78.66,72,-79.04,86,-79.04,80,-79.35
24,7956.91,5858.50,261.50,2,79,1.00,LOS,86.41,0.12,-66.31,-38.53,4.54,158.61,0,72,-77.43,80,-78.03,71,-78.36,86,-78.81,78,-79.78,87,-79.94
25,7912.86,5858.50,261.50,2,79,1.00,LOS,86.86,-0.92,-65.72,-37.93,5.81,158.61,0,71,-78.53,72,-78.72,80,-79.31,87,-79.54,86,-79.55,78,-80.45
26,7868.80,5858.50,261.50,2,79,1.00,LOS,87.53,0.39,-67.70,-39.92,3.01,158.61,0,71,-77.35,72,-78.21,87,-78.24,78,-78.36,80,-79.16,86,-80.14
27,7824.74,5858.50,261.50,2,79,1.00,LOS,88.34,-0.10,-68.02,-40.24,3.37,158.61,0,72,-77.39,71,-77.74,78,-79.34,87,-80.32,80,-80.71,86,-80.94
28,7823.00,5816.18,261.50,3,79,1.00,LOS,88.50,-1.46,-66.82,-39.04,3.72,158.61,0,72,-75.07,71,-77.36,78,-78.58,80,-79.54,86,-81.15,87,-82.12
29,7823.00,5772.12,261.50,3,79,1.00,LOS,88.83,-0.12,-68.49,-40.71,2.98,158.61,0,71,-77.71,72,-78.57,78,-78.61,80,-79.93,87,-80.50,86,-81.18
30,7823.00,5728.07,261.50,3,79,1.00,LOS,89.31,-1.14,-67.95,-40.17,3.18,158.61,0,71,-76.59,78,-78.30,72,-78.74,86,-79.25,87,-80.66,80,-81.88
31,7823.00,5684.01,261.50,3,79,1.00,LOS,89.91,-0.06,-69.63,-41.85,0.77,158.61,0,71,-75.63,78,-77.18,72,-77.75,86,-79.03,80,-80.93,87,-81.38
