Step,x,y,direction,connected_bs,current_prx,sinr,speed,handover
0,6044.38,3700.00,0,40,-101.28,-37.25,53.25,0
1,6088.75,3700.00,0,40,-104.83,-44.29,53.25,0
2,6133.13,3700.00,0,46,-98.87,-26.75,53.25,1
3,6177.50,3700.00,0,46,-102.76,-28.85,53.25,0
4,6200.00,3721.88,1,46,-111.69,-50.34,53.25,0
5,6200.00,3766.25,1,40,-112.66,-42.59,53.25,1
6,6200.00,3810.63,1,80,-76.07,-0.56,53.25,1
7,6200.00,3855.00,1,80,-76.21,-6.84,53.25,0
8,6200.00,3899.38,1,80,-67.40,-2.78,53.25,0
9,6200.00,3856.25,3,80,-79.69,-17.76,53.25,0
10,6200.00,3811.87,3,80,-65.41,-6.07,53.25,0
11,6200.00,3767.50,3,80,-73.07,-6.43,53.25,0
12,6200.00,3723.12,3,80,-94.92,-28.25,53.25,0
13,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
14,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
15,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
16,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
17,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
18,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
19,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
20,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
21,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
22,6200.00,3700.00,2,80,-74.97,-15.16,0.00,0
23,6177.81,3700.00,2,80,-91.75,-30.68,26.63,0
24,6133.44,3700.00,2,80,-95.19,-39.78,53.25,0
25,6089.06,3700.00,2,80,-88.44,-37.45,53.25,0
26,6044.69,3700.00,2,40,-96.06,-43.81,53.25,1
27,6000.31,3700.00,2,74,-73.18,-14.89,53.25,1
28,6000.00,3744.06,1,74,-84.82,-23.68,53.25,0
29,6000.00,3788.44,1,74,-77.71,-15.31,53.25,0
30,6000.00,3832.82,1,74,-88.11,-29.97,53.25,0
31,6000.00,3877.19,1,80,-72.03,-0.77,53.25,1
32,6021.57,3900.00,0,80,-81.59,-20.46,53.25,0
33,6065.94,3900.00,0,80,-95.39,-27.72,53.25,0
34,6110.32,3900.00,0,80,-70.54,6.17,53.25,0
35,6154.69,3900.00,0,80,-72.07,-7.93,53.25,0
36,6199.07,3900.00,0,80,-61.89,-0.53,53.25,0
37,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
38,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
39,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
40,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
41,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
42,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
43,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
44,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
45,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
46,6200.00,3900.00,3,80,-53.67,4.84,0.00,0
47,6200.00,3877.81,3,80,-64.03,7.75,26.63,0
48,6200.00,3833.44,3,80,-81.29,-17.40,53.25,0
49,6200.00,3789.06,3,80,-72.41,-1.15,53.25,0
50,6200.00,3744.69,3,80,-63.82,4.22,53.25,0
51,6200.00,3700.31,3,80,-84.95,-20.33,53.25,0
52,6155.94,3700.00,2,80,-83.85,-31.84,53.25,0
53,6111.56,3700.00,2,40,-81.91,-36.10,53.25,1
54,6067.18,3700.00,2,40,-100.84,-48.42,53.25,0
55,6022.81,3700.00,2,74,-74.02,-11.99,53.25,1
56,5978.43,3700.00,2,74,-78.59,-12.33,53.25,0
57,5934.06,3700.00,2,74,-95.82,-31.72,53.25,0
58,5889.68,3700.00,2,74,-88.39,-18.15,53.25,0
59,5845.31,3700.00,2,74,-82.26,-26.48,53.25,0
60,5800.93,3700.00,2,40,-65.97,-6.37,53.25,1
61,5800.00,3743.44,1,74,-91.10,-18.34,53.25,1
62,5800.00,3787.82,1,74,-85.32,-12.23,53.25,0
63,5800.00,3832.19,1,74,-91.26,-37.45,53.25,0
64,5800.00,3876.57,1,74,-94.14,-33.05,53.25,0
65,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
66,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
67,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
68,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
69,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
70,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
71,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
72,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
73,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
74,5800.00,3900.00,0,74,-73.17,-15.23,0.00,0
75,5822.19,3900.00,0,74,-94.96,-22.80,26.63,0
76,5866.56,3900.00,0,74,-101.83,-30.47,53.25,0
77,5910.94,3900.00,0,74,-95.83,-28.64,53.25,0
78,5955.31,3900.00,0,74,-81.20,-16.42,53.25,0
79,5999.69,3900.00,0,80,-71.43,-2.05,53.25,1
80,6000.00,3944.06,1,80,-80.68,-10.40,53.25,0
81,6000.00,3988.44,1,80,-83.91,-21.95,53.25,0
82,6000.00,4032.82,1,80,-95.09,-45.91,53.25,0
83,6000.00,4077.19,1,80,-90.85,-25.00,53.25,0
84,6000.00,4121.57,1,80,-88.31,-22.26,53.25,0
85,6000.00,4165.94,1,80,-97.71,-39.89,53.25,0
86,6000.00,4210.32,1,80,-94.58,-34.25,53.25,0
87,6000.00,4254.69,1,80,-67.54,-13.54,53.25,0
88,6000.00,4299.07,1,80,-38.58,23.93,53.25,0
89,6000.00,4256.56,3,80,-63.70,5.63,53.25,0
90,6000.00,4212.18,3,80,-81.59,-13.20,53.25,0
91,6000.00,4167.81,3,80,-84.06,-17.96,53.25,0
92,6000.00,4123.43,3,80,-75.42,-5.59,53.25,0
93,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
94,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
95,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
96,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
97,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
98,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
99,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
100,6000.00,4100.00,0,80,-67.49,0.81,0.00,0
