Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp
0,7551.50,4006.12,22.25,3,54,0.24,LOS,92.73,-2.76,-69.75,3.35,55.36,0,47,-74.74,55,-91.06,48,-95.20,53,-99.23,41,-103.94
1,7551.50,3990.74,22.25,3,54,0.23,LOS,92.82,-2.76,-69.84,3.10,55.36,0,47,-74.50,55,-91.28,48,-95.56,53,-98.97,41,-103.97
2,7551.50,3975.37,22.25,3,54,0.23,LOS,92.92,-2.54,-70.16,9.38,55.36,0,47,-82.74,48,-97.29,41,-105.89,53,-106.12,46,-107.56
3,7551.50,3959.99,22.25,3,54,0.23,LOS,93.03,-2.54,-70.27,9.17,55.36,0,47,-82.50,48,-97.64,53,-105.86,41,-105.92,46,-107.34
4,7551.50,3944.61,22.25,3,47,0.29,LOS,90.97,0.54,-71.29,4.67,55.36,1,54,-76.79,48,-88.21,53,-96.14,46,-98.02,55,-106.93
5,7551.50,3929.23,22.25,3,47,0.29,LOS,90.73,0.54,-71.05,5.02,55.36,0,54,-76.91,48,-88.55,53,-95.87,46,-97.80,55,-107.14
6,7551.50,3913.85,22.25,3,47,0.30,LOS,90.50,-3.25,-67.03,8.74,55.36,0,54,-77.20,48,-89.99,53,-97.61,46,-99.75,41,-103.82
7,7551.50,3898.48,22.25,3,47,0.30,LOS,90.27,-3.25,-66.80,9.07,55.36,0,54,-77.33,48,-90.31,53,-97.34,46,-99.53,41,-103.87
8,7551.50,3883.10,22.25,3,47,0.31,LOS,90.05,-2.36,-67.47,10.54,55.36,0,54,-79.44,55,-99.86,53,-99.94,48,-100.14,46,-103.03
9,7551.50,3867.72,22.25,3,47,0.31,LOS,89.84,-2.36,-67.26,10.86,55.36,0,54,-79.58,40,-98.53,53,-99.66,48,-100.46,46,-102.80
