Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,6600.00,5309.72,1.50,1,49,0.03,NLOS,127.13,-10.25,-96.66,-68.88,9.06,34.98,0,55,-106.42,47,-109.74,54,-110.26,62,-112.58,24,-115.62,35,-115.81
1,6600.00,5319.43,1.50,1,49,0.03,NLOS,126.84,-10.25,-96.37,-68.59,9.32,34.98,0,55,-106.38,47,-109.88,54,-110.39,62,-112.54,24,-115.60,35,-115.83
2,6600.00,5329.15,1.50,1,49,0.03,NLOS,126.55,-10.25,-96.08,-68.30,9.58,34.98,0,55,-106.33,47,-110.02,54,-110.51,62,-112.50,24,-115.58,35,-115.85
3,6600.00,5338.87,1.50,1,48,0.05,NLOS,119.18,-19.35,-79.62,-51.83,19.01,34.98,1,55,-99.86,49,-107.54,54,-109.40,5,-112.70,33,-115.81,41,-116.08
4,6600.00,5348.59,1.50,1,48,0.05,NLOS,119.62,-19.35,-80.06,-52.28,18.52,34.98,0,55,-99.82,49,-107.23,54,-109.52,5,-112.69,33,-115.86,41,-116.17
5,6600.00,5358.30,1.50,1,48,0.05,NLOS,120.05,-19.35,-80.49,-52.71,18.03,34.98,0,55,-99.79,49,-106.93,54,-109.64,5,-112.68,33,-115.90,41,-116.27
6,6600.00,5368.02,1.50,1,48,0.05,NLOS,120.47,-3.91,-96.34,-68.56,-2.83,34.98,0,42,-93.96,55,-105.03,49,-109.48,56,-111.42,29,-116.73,5,-117.15
7,6600.00,5377.74,1.50,1,48,0.05,NLOS,120.88,-3.91,-96.75,-68.97,-3.26,34.98,0,42,-93.95,55,-105.00,49,-109.16,56,-111.30,29,-116.73,5,-117.14
8,6600.00,5387.45,1.50,1,42,0.02,NLOS,134.07,-19.92,-93.94,-66.16,2.89,34.98,1,48,-97.15,55,-104.98,49,-108.84,56,-111.18,29,-116.73,5,-117.13
9,6600.00,5397.17,1.50,1,49,0.04,NLOS,124.34,-3.68,-100.45,-72.67,3.61,34.98,1,48,-106.74,61,-107.50,42,-108.79,46,-110.68,53,-111.37,35,-112.69
10,6600.00,5406.89,1.50,1,49,0.04,NLOS,124.00,-3.68,-100.11,-72.33,4.14,34.98,0,48,-107.12,61,-107.53,42,-108.78,46,-110.76,53,-111.46,35,-112.71
11,6600.00,5416.61,1.50,1,49,0.04,NLOS,123.66,-3.68,-99.76,-71.98,4.66,34.98,0,48,-107.50,61,-107.57,42,-108.77,46,-110.84,53,-111.54,35,-112.74
12,6600.00,5426.32,1.50,1,48,0.04,NLOS,122.81,-8.97,-93.62,-65.84,8.34,34.98,1,55,-104.37,56,-105.93,38,-107.78,54,-107.98,40,-108.72,35,-110.94
13,6600.00,5436.04,1.50,1,48,0.04,NLOS,123.17,-8.97,-93.98,-66.20,8.01,34.98,0,55,-104.37,56,-105.81,38,-107.73,54,-108.10,40,-108.79,35,-110.97
14,6600.00,5445.76,1.50,1,48,0.04,NLOS,123.53,-8.97,-94.34,-66.55,7.68,34.98,0,55,-104.37,56,-105.69,38,-107.68,54,-108.22,40,-108.87,35,-111.00
15,6600.00,5455.47,1.50,1,55,0.03,NLOS,129.51,-15.23,-94.06,-66.28,12.77,34.98,1,27,-104.84,60,-107.08,48,-109.00,62,-111.98,45,-115.25,47,-118.73
16,6600.00,5465.19,1.50,1,55,0.03,NLOS,129.52,-15.23,-94.07,-66.29,12.94,34.98,0,27,-104.88,60,-107.13,48,-109.35,62,-111.95,45,-115.30,47,-118.86
17,6600.00,5474.91,1.50,1,55,0.03,NLOS,129.54,-15.23,-94.09,-66.30,13.09,34.98,0,27,-104.91,60,-107.19,48,-109.68,62,-111.91,45,-115.35,47,-118.98
18,6600.00,5484.63,1.50,1,48,0.04,NLOS,124.88,-15.23,-89.43,-61.65,-0.11,34.98,1,49,-89.46,57,-103.80,41,-107.31,55,-107.39,36,-109.42,53,-111.08
19,6600.00,5494.34,1.50,1,48,0.04,NLOS,125.20,-15.23,-89.75,-61.97,-0.83,34.98,0,49,-89.05,57,-103.71,41,-107.40,55,-107.41,36,-109.40,53,-111.16
20,6595.94,5500.00,1.50,2,48,0.04,NLOS,125.36,-15.23,-89.91,-62.13,-1.27,34.98,0,49,-88.76,57,-103.68,41,-107.42,55,-107.53,36,-109.35,53,-111.22
