Step,ue0_x,ue0_y,ue0_height,ue0_direction,ue0_connected_bs,ue0_los_probability,ue0_los_state,ue0_pathloss,ue0_shadow_fading,ue0_rsrp,ue0_prx,ue0_sinr,ue0_speed,ue0_handover,ue0_bs1_idx,ue0_bs1_rsrp,ue0_bs2_idx,ue0_bs2_rsrp,ue0_bs3_idx,ue0_bs3_rsrp,ue0_bs4_idx,ue0_bs4_rsrp,ue0_bs5_idx,ue0_bs5_rsrp,ue0_bs6_idx,ue0_bs6_rsrp
0,6809.61,7479.00,2.00,2,57,0.03,NLOS,126.08,-10.26,-95.60,-67.82,2.88,39.19,0,51,-98.89,50,-112.47,44,-113.55,38,-117.67,64,-118.44,54,-119.00
1,6798.73,7479.00,2.00,2,57,0.03,NLOS,126.36,-10.26,-95.88,-68.10,2.12,39.19,0,51,-98.37,50,-112.38,44,-113.39,38,-117.57,64,-118.59,54,-119.01
2,6787.84,7479.00,2.00,2,57,0.03,NLOS,126.63,-10.26,-96.15,-68.37,1.34,39.19,0,51,-97.83,50,-112.30,44,-113.23,38,-117.46,64,-118.74,54,-119.02
3,6776.96,7479.00,2.00,2,51,0.07,NLOS,116.20,1.06,-97.04,-69.26,7.36,39.19,1,50,-105.07,56,-111.35,57,-115.15,43,-119.55,67,-119.63,48,-122.48
4,6766.07,7479.00,2.00,2,51,0.07,NLOS,115.63,1.06,-96.47,-68.69,7.87,39.19,0,50,-104.99,56,-111.41,57,-115.42,43,-119.48,67,-119.66,48,-122.47
5,6755.19,7479.00,2.00,2,51,0.07,NLOS,115.05,1.06,-95.89,-68.11,8.41,39.19,0,50,-104.91,56,-111.46,57,-115.69,43,-119.40,67,-119.69,48,-122.47
6,6744.30,7479.00,2.00,2,51,0.08,NLOS,114.45,9.09,-103.32,-75.54,2.17,39.19,0,44,-108.52,64,-112.39,50,-113.20,57,-117.27,43,-119.32,63,-119.82
7,6733.42,7479.00,2.00,2,51,0.08,NLOS,113.84,9.09,-102.70,-74.92,2.73,39.19,0,44,-108.35,64,-112.54,50,-113.13,57,-117.54,43,-119.24,63,-119.93
8,6722.53,7479.00,2.00,2,51,0.09,NLOS,113.20,9.09,-102.07,-74.29,3.30,39.19,0,44,-108.18,64,-112.68,50,-113.06,57,-117.80,43,-119.17,63,-120.04
9,6711.64,7479.00,2.00,2,57,0.03,NLOS,128.49,-6.95,-101.32,-73.54,0.81,39.19,1,51,-105.96,44,-107.30,64,-111.12,56,-112.98,50,-114.68,43,-121.04
10,6700.76,7479.00,2.00,2,57,0.03,NLOS,128.74,-6.95,-101.57,-73.79,0.23,39.19,0,51,-105.29,44,-107.12,64,-111.26,56,-113.04,50,-114.62,43,-120.97
11,6689.87,7479.00,2.00,2,57,0.03,NLOS,128.99,-6.95,-101.82,-74.04,-0.37,39.19,0,51,-104.61,44,-106.95,64,-111.40,56,-113.10,50,-114.56,43,-120.89
12,6678.99,7479.00,2.00,2,51,0.11,NLOS,110.51,5.23,-95.51,-67.73,10.12,39.19,1,57,-109.47,50,-110.24,64,-114.03,42,-115.89,49,-116.37,63,-116.77
13,6668.10,7479.00,2.00,2,51,0.12,NLOS,109.79,5.23,-94.80,-67.02,10.92,39.19,0,57,-109.72,50,-110.19,64,-114.17,42,-115.86,49,-116.35,63,-116.87
14,6657.22,7479.00,2.00,2,51,0.13,NLOS,109.06,5.23,-94.07,-66.29,11.74,39.19,0,57,-109.97,50,-110.14,64,-114.30,42,-115.82,49,-116.34,63,-116.98
15,6646.33,7479.00,2.00,2,51,0.14,NLOS,108.32,-0.01,-88.09,-60.31,20.99,39.19,0,57,-112.52,56,-112.59,44,-114.63,63,-116.97,38,-119.34,50,-120.43
16,6635.44,7479.00,2.00,2,51,0.15,NLOS,107.57,-0.01,-87.34,-59.56,21.78,39.19,0,56,-112.66,57,-112.76,44,-114.44,63,-117.07,38,-119.23,50,-120.39
17,6624.56,7479.00,2.00,2,51,0.16,NLOS,106.81,-0.01,-86.58,-58.80,22.58,39.19,0,56,-112.72,57,-112.99,44,-114.26,63,-117.18,38,-119.12,50,-120.35
18,6627.33,7479.00,2.00,0,51,0.16,NLOS,107.00,-0.01,-86.78,-58.99,22.38,39.19,0,56,-112.71,57,-112.93,44,-114.31,63,-117.15,38,-119.15,50,-120.36
19,6638.21,7479.00,2.00,0,51,0.15,NLOS,107.76,-1.58,-85.96,-58.18,13.37,39.19,0,57,-100.38,44,-107.98,50,-113.17,43,-115.83,56,-119.38,64,-120.15
20,6649.10,7479.00,2.00,0,51,0.14,NLOS,108.51,-1.58,-86.72,-58.93,12.45,39.19,0,57,-100.14,44,-108.17,50,-113.21,43,-115.91,56,-119.32,64,-120.01
21,6659.98,7479.00,2.00,0,51,0.13,NLOS,109.25,-1.58,-87.46,-59.67,11.54,39.19,0,57,-99.90,44,-108.35,50,-113.26,43,-115.98,56,-119.25,64,-119.88
22,6670.87,7479.00,2.00,0,51,0.12,NLOS,109.98,-9.22,-80.54,-52.76,22.29,39.19,0,57,-105.55,50,-107.15,38,-117.38,56,-117.53,44,-117.70,64,-120.97
23,6681.75,7479.00,2.00,0,51,0.11,NLOS,110.69,-9.22,-81.25,-53.47,21.47,39.19,0,57,-105.30,50,-107.20,56,-117.46,38,-117.49,44,-117.88,64,-120.84
